bid_id,contract_id,source_id,source_vendor_id,bidder_name,bid_rank,bid_total,percent_of_low,is_apparent_low,is_awarded,source_page
ia_idot_20260616_54_0211_046_a_bid_1,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,IO081,"IOWA BRIDGE & CULVERT, L.C.",1,3419051.71,100.00,true,true,2
ia_idot_20260616_54_0211_046_a_bid_2,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,KR027,"KRAEMER NORTH AMERICA, LLC",2,3795498.95,111.01,false,false,2
ia_idot_20260616_57_3806_499_bid_1,ia_idot_20260616_57_3806_499,ia_idot_bid_tabs_2026_06_16,IN231,INTERSTATE MAINTENANCE INCORPORATED,1,58300,100.00,true,true,16
ia_idot_20260616_57_3806_499_bid_2,ia_idot_20260616_57_3806_499,ia_idot_bid_tabs_2026_06_16,MI919,"MINTURN, INC.",2,63250,108.49,false,false,16
ia_idot_20260616_57_3806_499_bid_3,ia_idot_20260616_57_3806_499,ia_idot_bid_tabs_2026_06_16,CR120,"CRAMER AND ASSOC., INC.",3,64200,110.12,false,false,16
ia_idot_20260616_57_3806_499_bid_4,ia_idot_20260616_57_3806_499,ia_idot_bid_tabs_2026_06_16,JA250,"JASPER CONSTRUCTION SERVICES, INC.",4,64825,111.19,false,false,16
ia_idot_20260616_57_3806_499_bid_5,ia_idot_20260616_57_3806_499,ia_idot_bid_tabs_2026_06_16,IO127,"IOWA CIVIL CONTRACTING, INC.",5,125925,215.99,false,false,16
ia_idot_20260616_77_2351_521_bid_1,ia_idot_20260616_77_2351_521,ia_idot_bid_tabs_2026_06_16,CR120,"CRAMER AND ASSOC., INC.",1,313515,100.00,true,true,22
ia_idot_20260616_77_2351_521_bid_2,ia_idot_20260616_77_2351_521,ia_idot_bid_tabs_2026_06_16,JO433,JORGENSEN CONTRACTING CO.,2,330990,105.57,false,false,22
ia_idot_20260616_77_2351_521_bid_3,ia_idot_20260616_77_2351_521,ia_idot_bid_tabs_2026_06_16,IO127,"IOWA CIVIL CONTRACTING, INC.",3,349629,111.52,false,false,22
ia_idot_20260616_77_2351_521_bid_4,ia_idot_20260616_77_2351_521,ia_idot_bid_tabs_2026_06_16,HA760,HAWKEYE PAVING CORP.,4,352500,112.43,false,false,22
ia_idot_20260616_77_2351_521_bid_5,ia_idot_20260616_77_2351_521,ia_idot_bid_tabs_2026_06_16,MI919,"MINTURN, INC.",5,380190,121.27,false,false,22
