contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
ia_idot_20240117_06_1502_024,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,06-1502-024,001,SIGNED CONTRACT,"COHRON, A.M. & SON, INC.",1271408.56,BENTON,IOWA 150,BRIDGE REPLACEMENT - PPCB,Start Date: 09/09/24 40 Working Days,0.0%,6,Prairie Creek 1.8 mi N of Co Rd V71,,,
ia_idot_20240117_06_c006_121,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,06-C006-121,002,SIGNED CONTRACT,"BOULDER CONTRACTING, LLC.",482882.4,BENTON,63RD STREET,BRIDGE REPLACEMENT - CCS,Start Date: 07/22/24 70 Working Days,0.0%,7,"On 63rd ST, Over MUD CREEK, S12 T84 R11",,,
ia_idot_20240117_06_c006_122,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,06-C006-122,003,SIGNED CONTRACT,"TAYLOR CONSTRUCTION, INC.",615355.4,BENTON,21 AVENUE DRIVE,BRIDGE REPLACEMENT - CCS,Start Date: 07/08/24 75 Working Days,4.0%,6,"On 21 AVE DR, Over MUD CREEK, S13 T84 R11",,,
ia_idot_20240117_07_0202_508,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,07-0202-508,601,SIGNED CONTRACT,"OMEGA COATINGS & CONSTRUCTION, LLC",441100,BLACK HAWK,U.S. 20,BRIDGE PAINTING,Start Date: 06/24/24 80 Working Days,0.0%,8,Over NB-WB Ramp At E I-380 Interchange (EB/WB),,,
ia_idot_20240117_09_2188_143,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,09-2188-143,401,SIGNED CONTRACT,LODGE CONSTRUCTION INC.,24000,BREMER,U.S. 218,SALVAGE AND REMOVAL,Start Date: 03/18/24 15 Working Days,0.0%,6,"Parcel No 1, 1406 260th St, Waverly",,,
ia_idot_20240117_10_0207_045,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,10-0207-045,151,SIGNED CONTRACT,MATHY CONST. D/B/A RIVER CITY PAVING,3920790.73,BUCHANAN,U.S. 20,HMA RESURFACING,Start Date: 05/06/24 95 Working Days,2.0%,2,IA 187 to IA 38,,,
ia_idot_20240117_15_0802_257,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,15-0802-257,004,SIGNED CONTRACT,"CRAMER AND ASSOC., INC.",47200,CASS,I-80,BRIDGE REPAIR,Start Date: 10/21/24 15 Working Days,0.0%,5,770th St 1.9 mi E of IA 148 Interchange (EB/WB),,,
ia_idot_20240117_16_0308_049,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,16-0308-049,152,SIGNED CONTRACT,"MANATT'S, INC.",1499998.73,CEDAR,U.S. 30,HMA RESURFACING,Start Date: 08/12/24 60 Working Days,0.0%,6,"In Clarence, from WCL to ECL",,,
ia_idot_20240117_16_c016_116,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,16-C016-116,005,SIGNED CONTRACT,"SCHROEDER, JIM CONSTRUCTION, INC.",588907.07,CEDAR,F51,BRIDGE REPLACEMENT - CCS,Start Date: 07/08/24 75 Working Days,4.0%,4,"On F 51, Over ELKHORN CREEK (LITTLE), S28 T79 R01",,,
ia_idot_20240117_17_0182_713,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,17-0182-713,451,SIGNED CONTRACT,NORTEX CONCRETE LIFT & STABILIZATION INC,403814,CERRO GORDO,U.S. 18,MISCELLANEOUS,Start Date: 10/07/24 25 Working Days,0.0%,1,Lark Ave to W of Co Rd B35 - Various Locations,,,
ia_idot_20240117_18_c018_085,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,18-C018-085,153,SIGNED CONTRACT,BLACKTOP SERVICE CO. & SUBSID.,1619853.29,CHEROKEE,L56,HMA RESURFACING WITH MILLING,Start Date: 09/09/24 45 Working Days,0.0%,4,"On L56, from C44 to Cherokee City limits",,,
ia_idot_20240117_19_c019_113,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,19-C019-113,101,SIGNED CONTRACT,"CROELL, INC.",4216487.16,CHICKASAW,V18,PCC OVERLAY,Start Date: 06/10/24 95 Working Days,2.0%,3,"On V18, from U.S. Hwy. 18 North approximately 8.6 miles to the South Corporate Limits of the City of Alta Vista",,,
ia_idot_20240117_22_0562_010,ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,22-0562-010,154,SIGNED CONTRACT,MATHY CONST. D/B/A RIVER CITY PAVING,5343843.04,"CLAYTON, FAYETTE",IOWA 56,HMA RESURFACING WITH MILLING,Start Date: 04/01/24 140 Working Days,3.0%,1,IA 150 in West Union to Clayton Co Line,,,
