item_code,official_abbreviated_description,official_unit,official_description,master_line,pdf_description,pdf_unit,spec_reference_code,source_page
2101-0850001,CLEAR+GRUBB,ACRE,CLEARING AND GRUBBING,1,CLEARING AND GRUBBING,ACRE,STD,3
2101-0850002,CLEAR+GRUBB,UNIT,CLEARING AND GRUBBING,2,CLEARING AND GRUBBING,UNIT,STD,3
2101-1001005,RMVL OF FLOOD DEBRIS,TON,REMOVAL OF FLOOD DEBRIS,3,REMOVAL OF FLOOD DEBRIS,TON,DS,3
2101-1001010,RMVL OF DEBRIS FROM WATERWAYS,LS,REMOVAL OF DEBRIS FROM WATERWAY AREAS,4,REMOVAL OF DEBRIS FROM WATERWAY AREAS,LS,SP2,3
2102-0425046,SELECTED BACKFILL,CY,SELECTED BACKFILL,5,SELECTED BACKFILL,CY,STD,3
2102-0425070,SPECIAL BACKFILL,TON,SPECIAL BACKFILL,6,SPECIAL BACKFILL,TON,STD,3
2102-0425071,SPECIAL BACKFILL,CY,SPECIAL BACKFILL,7,SPECIAL BACKFILL,CY,STD,3
2102-0425120,"SPECIAL BACKFILL MAT'L, PLACE ONLY",TON,"SPECIAL BACKFILL MATERIAL, PLACE ONLY",8,"SPECIAL BACKFILL MATERIAL, PLACE ONLY",TON,STD,3
2102-0425220,"SPECIAL BACKFILL MAT'L, PLACE ONLY",CY,"SPECIAL BACKFILL MATERIAL, PLACE ONLY",9,"SPECIAL BACKFILL MATERIAL, PLACE ONLY",CY,STD,3
2102-2200000,INTERCEPT DITCH+FLUME,LF,INTERCEPTING DITCHES AND FLUMES,10,INTERCEPTING DITCHES AND FLUMES,LF,STD,3
2102-2624980,CONTRACTOR FURNISH SELECT TREATMENT,CY,CONTRACTOR FURNISHED SELECT TREATMENT,11,CONTRACTOR FURNISHED SELECT TREATMENT,CY,STD,3
2102-2625000,EMBANKMENT-IN-PLACE,CY,EMBANKMENT-IN-PLACE,12,EMBANKMENT-IN-PLACE,CY,STD,3
2102-2625001,"EMBANKMENT-IN-PLACE, CONTRACTOR FURNISH",CY,"EMBANKMENT-IN-PLACE, CONTRACTOR FURNISHED",13,"EMBANKMENT-IN-PLACE, CONTRACTOR FURNISHED",CY,STD,3
2102-2625010,"EMBANKMENT-IN-PLACE, STKP",CY,"EMBANKMENT-IN-PLACE, STOCKPILE",14,"EMBANKMENT-IN-PLACE, STOCKPILE",CY,STD6,3
2102-2710070,"EXCAVATION, CL 10, RDWY+BORROW",CY,"EXCAVATION, CLASS 10, ROADWAY AND BORROW",15,"EXCAVATION, CLASS 10, ROADWAY AND BORROW",CY,STD,3
2102-2710080,"EXCAVATION, CL 10, UNSUIT/UNSTABLE MAT'L",CY,"EXCAVATION, CLASS 10, UNSUITABLE OR UNSTABLE MATERIAL",16,"EXCAVATION, CLASS 10, UNSUITABLE OR UNSTABLE MATERIAL",CY,STD,3
2102-2710090,"EXCAVATION, CL 10, WASTE",CY,"EXCAVATION, CLASS 10, WASTE",17,"EXCAVATION, CLASS 10, WASTE",CY,STD,3
2102-2712015,"EXCAVATION, CL 12, BOULDER/ROCK FRAGMENT",CY,"EXCAVATION, CLASS 12, BOULDERS OR ROCK FRAGMENTS",18,"EXCAVATION, CLASS 12, BOULDERS OR ROCK FRAGMENTS",CY,STD,3
2102-2712070,"EXCAVATION, CL 12, RDWY+BORROW",CY,"EXCAVATION, CLASS 12, ROADWAY AND BORROW",19,"EXCAVATION, CLASS 12, ROADWAY AND BORROW",CY,STD,3
2102-2713070,"EXCAVATION, CL 13, RDWY+BORROW",CY,"EXCAVATION, CLASS 13, ROADWAY AND BORROW",20,"EXCAVATION, CLASS 13, ROADWAY AND BORROW",CY,STD,3
2102-2713090,"EXCAVATION, CL 13, WASTE",CY,"EXCAVATION, CLASS 13, WASTE",21,"EXCAVATION, CLASS 13, WASTE",CY,STD6,3
2102-3240000,WATER-EMBANKMENT CONSTRUCTION,MGAL,WATER FOR EMBANKMENT CONSTRUCTION,22,WATER FOR EMBANKMENT CONSTRUCTION,MGAL,STD,3
2102-4560000,LOCATING TILE LINE,STA,LOCATING TILE LINES,23,LOCATING TILE LINES,STA,STD,3
2102-4600000,CRUSH CL 12 EXCAVATION,CY,CRUSHING OF CLASS 12 EXCAVATION,24,CRUSHING OF CLASS 12 EXCAVATION,CY,STD,3
2102-5020010,OBLITERATE OLD ROADBED,STA,OBLITERATE OLD ROADBED,25,OBLITERATE OLD ROADBED,STA,PLAN,3
2103-0000100,PRESPLITTING OF ROCK CUT,SY,PRESPLITTING OF ROCK CUT,26,PRESPLITTING OF ROCK CUT,SY,STD,3
2104-2710020,"EXCAVATION, CL 10, CHANNEL",CY,"EXCAVATION, CLASS 10, CHANNEL",27,"EXCAVATION, CLASS 10, CHANNEL",CY,STD,3
