source_id,report_series,period_start_date,period_end_date,period_label,source_url,source_file_name,report_generated_on,retrieved_on,sha256,page_count,parser_layout,inventory_status,failure_reason
ne_ndot_aup_july_june_2016_2017,july_june,2016-07-01,2017-06-30,July 2016 - June 2017,https://dot.nebraska.gov/media/l4ra5ih4/aup-j2016_j2017-english-projects.pdf,aup-july-2016-june-2017.pdf,,2026-08-05,b99b1a2ba93e93abdd7e916e4728fbaeb577cef70862b7a9ad32962ac9b59c03,40,coordinate_table_compact,skipped_out_of_scope,outside approved 2018-2025 calendar and 2017-18 through 2025-26 July-June scope
ne_ndot_aup_calendar_2017,calendar_year,2017-01-01,2017-12-31,January 2017 - December 2017,https://dot.nebraska.gov/media/sjsl1idv/aup-j2017_d2017-english-projects.pdf,aup-january-2017-december-2017.pdf,,2026-08-05,8c56752df79ef5e3beba1c124ac0fbe8b313e9c728baad428ec865fd91ff8570,35,coordinate_table_compact,skipped_out_of_scope,outside approved 2018-2025 calendar and 2017-18 through 2025-26 July-June scope
ne_ndot_aup_july_june_2017_2018,july_june,2017-07-01,2018-06-30,July 2017 - June 2018,https://dot.nebraska.gov/media/s2nfx2ca/aup_j2017_j2018.pdf,aup-july-2017-june-2018.pdf,,2026-08-05,81faaae13c2cc16f8bd848afe91a1089dcbb76559f7163a8d509f0d75e0e5c8f,16,coordinate_table_concat,parsed,
ne_ndot_aup_calendar_2018,calendar_year,2018-01-01,2018-12-31,January 2018 - December 2018,https://dot.nebraska.gov/media/o4gnheao/c-users-royleach-desktop-it-umbraco-docs-aup_j2018_d2018.pdf,aup-january-2018-december-2018.pdf,2019-04-17,2026-08-05,703e66838076021324db0b9b3bca546f0fbfe0f2a5b0694f66981ef451f02f50,71,coordinate_table_legacy,parsed,
ne_ndot_aup_july_june_2018_2019,july_june,2018-07-01,2019-06-30,July 2018 - June 2019,https://dot.nebraska.gov/media/5nrobrwj/aupj2018_j2019.pdf,aup-july-2018-june-2019.pdf,2019-07-01,2026-08-05,6583038fbae312c7fe48a39c6951d11a79e361e63906dc0c8f3892331ff973d1,66,coordinate_table_legacy,parsed,
ne_ndot_aup_calendar_2019,calendar_year,2019-01-01,2019-12-31,January 2019 - December 2019,https://dot.nebraska.gov/media/irflf5ie/aupj2019-d2019.pdf,aup-january-2019-december-2019.pdf,2020-01-07,2026-08-05,2c9165fea76d180996f673871da7d35975a8e0b2e885ab87a46bd644e7d71f69,65,coordinate_table_legacy,parsed,
ne_ndot_aup_july_june_2019_2020,july_june,2019-07-01,2020-06-30,July 2019 - June 2020,https://dot.nebraska.gov/media/53rnpm25/aup-july-2019-june-2020.pdf,aup-july-2019-june-2020.pdf,2020-07-16,2026-08-05,af8630928b8784f467bc2367726ebca0b4ce27a6cca80dd04a20456e731762d8,51,coordinate_table_compact,parsed,
ne_ndot_aup_calendar_2020,calendar_year,2020-01-01,2020-12-31,January 2020 - December 2020,https://dot.nebraska.gov/media/abahjec0/aup-january-2020-december-2020.pdf,aup-january-2020-december-2020.pdf,2021-01-06,2026-08-05,db474d29a74872a5b2101d3e840b260772b3fcdee2ca56626e365194d61e7181,69,coordinate_table_legacy,parsed,
ne_ndot_aup_july_june_2020_2021,july_june,2020-07-01,2021-06-30,July 2020 - June 2021,https://dot.nebraska.gov/media/jzwhlohs/aup-july-2020-june-2021.pdf,aup-july-2020-june-2021.pdf,2021-07-07,2026-08-05,acc16d28283e7d2ff1c003d2598bfbb552481d5f067905b70b625f42f8a8c9fa,47,coordinate_table_compact,parsed,
ne_ndot_aup_calendar_2021,calendar_year,2021-01-01,2021-12-31,January 2021 - December 2021,https://dot.nebraska.gov/media/3uxlzjo1/aup-january-2021-december-2021.pdf,aup-january-2021-december-2021.pdf,2022-01-03,2026-08-05,c71d5089f66272fa9aa5400f3c68c494c867341e32f537bf459f72ca5025e977,34,coordinate_table_compact,parsed,
