source_locator,expected_description_raw,corrected_description,correction_reason,reviewed_by,reviewed_on
"aup-january-2021-december-2021.pdf#page=12;row=36;item=6001.59",BENT EXCAVATION,BENT NO.10 EXCAVATION,source_page_visual_review,source_page_visual_review,2026-08-05
"aup-july-2021-june-2022.pdf#page=11;row=23;item=6001.59",BENT EXCAVATION,BENT NO.10 EXCAVATION,source_page_visual_review,source_page_visual_review,2026-08-05
"aup-january-2021-december-2021.pdf#page=18;row=4;item=7500.38","OSTNOLPY, APHREEAFDO RSYMMEBDO PLA, VWEEMTE RNETF MLAERCKTIIVNEG ,P TRYEPFEO 4RMED PAVEMENT MARKING, TYPE","ONLY, PREFORMED PAVEMENT MARKING, TYPE 4",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-july-2022-june-2023.pdf#page=18;row=21;item=7500.69","GYIREOLDO VLIENDE, PERMANENT PAVEMENT MARKING","YIELD LINE, PERMANENT PAVEMENT MARKING",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-july-2023-june-2024.pdf#page=20;row=7;item=7500.93","RGIRGOHOTV AERDROW, WET REFLECTIVE PREFORMED PAVEMENT MARKING, TYPE 4 GWRROOONVGE WD","RIGHT ARROW, WET REFLECTIVE PREFORMED PAVEMENT MARKING, TYPE 4",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-july-2023-june-2024.pdf#page=20;row=8;item=7501.02","GWRROOONVGE WD AY ARROW, PERMANENT PAVEMENT MARKING","WRONG WAY ARROW, PERMANENT PAVEMENT MARKING",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-january-2021-december-2021.pdf#page=18;row=33;item=7518.05","152"" ""Y YEELLLLOOWW W WEETT R REEFFLELECCTTIVIVEE P PRREEFFOORRMMEEDD P PAAVVEEMMEENNTT M MAARRKKININGG, T, TYYPPEE 4 ,4 G, ROOVED","5"" YELLOW WET REFLECTIVE PREFORMED PAVEMENT MARKING, TYPE 4, GROOVED",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-january-2023-december-2023.pdf#page=19;row=22;item=7518.05","5"" YELLOW WET REFLECTIVE PREFORMED PAVEMENT MARKING, TYPE 4,","5"" YELLOW WET REFLECTIVE PREFORMED PAVEMENT MARKING, TYPE 4, GROOVED",truncated_wrapped_text,source_page_visual_review,2026-08-05
"aup-july-2022-june-2023.pdf#page=19;row=19;item=7520.03","CMRAORKSISNWGA, TLKY,P PEE 4R, MGARNOEONVTE PDAVEMENT MARKING","CROSSWALK, PERMANENT PAVEMENT MARKING",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-july-2023-june-2024.pdf#page=21;row=10;item=7520.03","CMRAORKSISNWGA, TLKYP, PEE 4R, MGARNOEONVTE PDAVEMENT MARKING","CROSSWALK, PERMANENT PAVEMENT MARKING",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
"aup-july-2019-june-2020.pdf#page=28;row=31;item=7541.15","5"" WHITE PREFORMED WET REFLECTIVE CONTRAST PAVEMENT MARKING, TYPE 4, PGARIONOT VSETDRIPING","5"" WHITE PREFORMED WET REFLECTIVE CONTRAST PAVEMENT MARKING, TYPE 4, GROOVED",interleaved_adjacent_row_text,source_page_visual_review,2026-08-05
