catalog_row_id,agency_item_id,agency_item_code,description,unit_raw,unit_normalized,specification_year,specification_reference,item_status,source_id,source_page,source_locator
ne_ndot_catalog_0001.00,ne_ndot_0001.00,0001.00,SURVEILLANCE OF TEMPORARY TRAFFIC CONTROL DEVICES,CAL DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.00
ne_ndot_catalog_0001.04,ne_ndot_0001.04,0001.04,ENDANGERED SPECIES DAILY SURVEYOR,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.04
ne_ndot_catalog_0001.06,ne_ndot_0001.06,0001.06,VERTICAL PANELS,BARR DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.06
ne_ndot_catalog_0001.08,ne_ndot_0001.08,0001.08,"BARRICADE, TYPE II",BARR DAY,DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.08
ne_ndot_catalog_0001.10,ne_ndot_0001.10,0001.10,"BARRICADE, TYPE III",BARR DAY,DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.10
ne_ndot_catalog_0001.20,ne_ndot_0001.20,0001.20,"BARRICADE, TYPE III",EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.20
ne_ndot_catalog_0001.30,ne_ndot_0001.30,0001.30,TYPE B HIGH INTENSITY WARNING LIGHT,LIGHT DAY,LIGHT DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.30
ne_ndot_catalog_0001.45,ne_ndot_0001.45,0001.45,REFLECTORIZED PLASTIC DRUM,BARR DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.45
ne_ndot_catalog_0001.46,ne_ndot_0001.46,0001.46,REFLECTORIZED CONE,BARR DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.46
ne_ndot_catalog_0001.75,ne_ndot_0001.75,0001.75,TEMPORARY SIGN DAY,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.75
ne_ndot_catalog_0001.85,ne_ndot_0001.85,0001.85,SIGN DAY,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.85
ne_ndot_catalog_0001.90,ne_ndot_0001.90,0001.90,SIGN DAY,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.90
ne_ndot_catalog_0001.99,ne_ndot_0001.99,0001.99,CONTRACTOR FURNISHED SIGN DAY,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0001.99
ne_ndot_catalog_0002.12,ne_ndot_0002.12,0002.12,INSTALL OVERHEAD DETOUR SIGN,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0002.12
ne_ndot_catalog_0002.14,ne_ndot_0002.14,0002.14,INSTALL DETOUR OVERLAY PANEL,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0002.14
ne_ndot_catalog_0002.20,ne_ndot_0002.20,0002.20,OBJECT MARKER,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0002.20
ne_ndot_catalog_0002.26,ne_ndot_0002.26,0002.26,"WRONG WAY ARROW, TEMPORARY PAVEMENT MARKING, TYPE 2",EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0002.26
ne_ndot_catalog_0002.27,ne_ndot_0002.27,0002.27,REMOVABLE WET REFLECTIVE TAPE,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0002.27
ne_ndot_catalog_0002.28,ne_ndot_0002.28,0002.28,TEMPORARY PAVEMENT MARKING REMOVAL,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,1,stditeme06252010.pdf#page=1;item=0002.28
ne_ndot_catalog_0002.30,ne_ndot_0002.30,0002.30,PAVEMENT MARKING REMOVAL,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.30
ne_ndot_catalog_0002.31,ne_ndot_0002.31,0002.31,TEMPORARY PAVEMENT MARKING,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.31
ne_ndot_catalog_0002.32,ne_ndot_0002.32,0002.32,PAVEMENT MARKING REMOVAL,SQ FT,SF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.32
ne_ndot_catalog_0002.33,ne_ndot_0002.33,0002.33,TEMPORARY PAVEMENT MARKING,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.33
ne_ndot_catalog_0002.35,ne_ndot_0002.35,0002.35,TEMPORARY PAVEMENT MARKING,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.35
ne_ndot_catalog_0002.37,ne_ndot_0002.37,0002.37,TEMPORARY PAVEMENT MARKING,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.37
ne_ndot_catalog_0002.38,ne_ndot_0002.38,0002.38,"TEMPORARY PAVEMENT MARKING, TYPE I",LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.38
ne_ndot_catalog_0002.39,ne_ndot_0002.39,0002.39,"TEMPORARY PAVEMENT MARKING, TYPE II",LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.39
ne_ndot_catalog_0002.40,ne_ndot_0002.40,0002.40,TEMPORARY SOLID LINES,STATION,STA,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.40
ne_ndot_catalog_0002.41,ne_ndot_0002.41,0002.41,"TEMPORARY PAVEMENT MARKING , TYPE III",LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.41
ne_ndot_catalog_0002.43,ne_ndot_0002.43,0002.43,"TEMPORARY PAVEMENT MARKING, TYPE II BLACK",LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.43
ne_ndot_catalog_0002.44,ne_ndot_0002.44,0002.44,"TEMPORARY PAVEMENT MARKING, TYPE PAINT",LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.44
ne_ndot_catalog_0002.45,ne_ndot_0002.45,0002.45,TEMPORARY BROKEN LINES,STATION,STA,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.45
ne_ndot_catalog_0002.46,ne_ndot_0002.46,0002.46,"TEMPORARY PAVEMENT MARKING, TYPE RPM",LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.46
ne_ndot_catalog_0002.47,ne_ndot_0002.47,0002.47,TEMPORARY PAVEMENT MARKING SURFACE PREPARATION,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.47
ne_ndot_catalog_0002.48,ne_ndot_0002.48,0002.48,TEMPORARY RAISED PAVEMENT MARKER,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.48
ne_ndot_catalog_0002.49,ne_ndot_0002.49,0002.49,RAISED PAVEMENT MARKER,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.49
ne_ndot_catalog_0002.50,ne_ndot_0002.50,0002.50,INSTALL RAISED PAVEMENT MARKER,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.50
ne_ndot_catalog_0002.51,ne_ndot_0002.51,0002.51,RAISED PAVEMENT MARKER ADHESIVE MATERIAL,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,2,stditeme06252010.pdf#page=2;item=0002.51
ne_ndot_catalog_0002.52,ne_ndot_0002.52,0002.52,"TEMPORARY PAVEMENT MARKING, TYPE RPM",EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.52
ne_ndot_catalog_0002.53,ne_ndot_0002.53,0002.53,RAISED PAVEMENT MARKER,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.53
ne_ndot_catalog_0002.55,ne_ndot_0002.55,0002.55,OVERLAY BROKEN LINES,STATION,STA,07,422.00,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.55
ne_ndot_catalog_0002.60,ne_ndot_0002.60,0002.60,OVERLAY SOLID LINES,STATION,STA,07,422.00,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.60
ne_ndot_catalog_0002.61,ne_ndot_0002.61,0002.61,PLOWABLE PAVEMENT MARKER,EACH,EACH,07,419.00,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.61
ne_ndot_catalog_0002.63,ne_ndot_0002.63,0002.63,PLOWABLE PAVEMENT MARKER REFLECTOR,EACH,EACH,07,419.00,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.63
