conflict_id,agency_item_code,agency_item_id,conflict_type,catalog_description,catalog_unit,annual_description_variants,annual_unit_variants,affected_report_count,affected_source_ids,resolution_status,notes
ne_ndot_identity_conflict_1017.00,1017.00,ne_ndot_1017.00,unit,CONSTRUCTION STAKING AND SURVEYING,LUMP SUM,CONSTRUCTION STAKING AND SURVEYING,LS | MILE,4,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2023_2024,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_1017.70,1017.70,ne_ndot_1017.70,unit,,,CONSTRUCTION STAKING,LS | MILE,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_3016.22,3016.22,ne_ndot_3016.22,description,CONCRETE CLASS 47B-3500 SIDEWALK,SQ YD,CONCRETE CLASS 47B-3500 SIDEWALKS,SY,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_3020.32,3020.32,ne_ndot_3020.32,description,CONCRETE 47B-HE-3500 DRIVEWAY,SQ YD,CONCRETE CLASS 47B-HE-3500 DRIVEWAY,SY,3,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_3300.50,3300.50,ne_ndot_3300.50,unit,PORTLAND CEMENT CONCRETE SMOOTHNESS TESTING,LUMP SUM,PORTLAND CEMENT CONCRETE SMOOTHNESS TESTING,LS | MILE,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4015.75,4015.75,ne_ndot_4015.75,unit,MANHOLE,VERT FT,MANHOLE,VFT,4,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2020_2021,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4015.76,4015.76,ne_ndot_4015.76,unit,MANHOLE,VERT FT,MANHOLE,VFT,2,ne_ndot_aup_calendar_2018 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.68,4054.68,ne_ndot_4054.68,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,LS | SF,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.69,4054.69,ne_ndot_4054.69,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,3,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.70,4054.70,ne_ndot_4054.70,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,3,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
