specification_reference,normalized_section,section_found_in_2017_specifications,taxonomy_status,notes
112.00,112,true,supported,Reference matches a 2017 Standard Specifications section.
114.00,114,true,supported,Reference matches a 2017 Standard Specifications section.
202.00,202,true,supported,Reference matches a 2017 Standard Specifications section.
203.00,203,true,supported,Reference matches a 2017 Standard Specifications section.
205.00,205,true,supported,Reference matches a 2017 Standard Specifications section.
206.00,206,true,supported,Reference matches a 2017 Standard Specifications section.
207.00,207,true,supported,Reference matches a 2017 Standard Specifications section.
208.00,208,true,supported,Reference matches a 2017 Standard Specifications section.
209.00,209,true,supported,Reference matches a 2017 Standard Specifications section.
302.00,302,true,supported,Reference matches a 2017 Standard Specifications section.
303.00,303,true,supported,Reference matches a 2017 Standard Specifications section.
304.00,304,true,supported,Reference matches a 2017 Standard Specifications section.
305.00,305,true,supported,Reference matches a 2017 Standard Specifications section.
306.00,306,true,supported,Reference matches a 2017 Standard Specifications section.
307.00,307,true,supported,Reference matches a 2017 Standard Specifications section.
308.00,308,true,supported,Reference matches a 2017 Standard Specifications section.
309.00,309,true,supported,Reference matches a 2017 Standard Specifications section.
310.00,310,true,supported,Reference matches a 2017 Standard Specifications section.
311.00,311,true,supported,Reference matches a 2017 Standard Specifications section.
312.00,312,true,supported,Reference matches a 2017 Standard Specifications section.
405.00,405,true,supported,Reference matches a 2017 Standard Specifications section.
417.00,417,true,supported,Reference matches a 2017 Standard Specifications section.
418.00,418,true,supported,Reference matches a 2017 Standard Specifications section.
419.00,419,true,supported,Reference matches a 2017 Standard Specifications section.
420.00,420,true,supported,Reference matches a 2017 Standard Specifications section.
420.02,420,true,supported,Reference matches a 2017 Standard Specifications section.
421.00,421,true,supported,Reference matches a 2017 Standard Specifications section.
422.00,422,true,supported,Reference matches a 2017 Standard Specifications section.
423.00,423,true,supported,Reference matches a 2017 Standard Specifications section.
425.00,425,false,unclassified_pending_review,No matching 2017 section heading found; keep item in the unclassified fallback until reviewed.
503.00,503,true,supported,Reference matches a 2017 Standard Specifications section.
504.00,504,true,supported,Reference matches a 2017 Standard Specifications section.
505.00,505,true,supported,Reference matches a 2017 Standard Specifications section.
506.00,506,true,supported,Reference matches a 2017 Standard Specifications section.
507.00,507,true,supported,Reference matches a 2017 Standard Specifications section.
