item_code,description,unit,total_quantity,total_cost,average_low_bid_price,average_three_lowest_bids,bid_count,source_page
004E0010,Blading,Hour,100,21783,217.83,228.92,1,4
004E0030,Maintenance of Traffic Diversion(s),LS,10,870518.56,87051.86,75170.23,10,4
004E0050,Remove Traffic Diversion(s),LS,11,1572118.54,142919.87,112384.89,11,4
004E0060,Temporary Detour Structure,Each,1,598221.76,598221.76,449110.88,1,4
009E0010,Mobilization,LS,164,69917135.14,426323.99,486932.81,164,4
009E0720,"Extra Work, Utilities",LS,1,8788.11,8788.11,6762.7,1,4
009E1000,Incentive/Disincentive Pay,Day,0,0,0,0,56,4
009E1350,Restoration of Stockpile Site,LS,3,23705,7901.67,10233.89,3,4
009E3200,Construction Staking,LS,22,510857.62,23220.8,20600.33,22,4
009E3210,Construction Staking,Mile,85.61,122589.83,1431.96,1421.74,4,4
009E3220,Reestablish Right-of-Way and Property Corner,Each,1696,221876.32,130.82,122.12,17,4
009E3230,Grade Staking,Mile,106.59,519763.77,4876.29,4291.26,36,4
009E3240,Graded Centerline Staking,Mile,29.08,100862.75,3468.94,3698.39,4,4
009E3245,Final Cross Section Survey,Mile,54.84,78471.44,1430.94,1352.7,11,4
009E3250,Miscellaneous Staking,Mile,181.21,1093989.21,6037.2,5264.83,41,4
009E3280,Slope Staking,Mile,73.47,324313.15,4414.41,4399.16,34,4
009E3290,Structure Staking,Each,53,283204.17,5343.47,4836.14,28,4
009E3305,As-Built Survey,LS,3,14300,4766.67,7485.83,3,4
009E3310,Bridge Elevation Survey,LS,17,173731.56,10219.5,10638.54,17,4
009E3320,Checker,LS,29,704624.76,24297.41,24485.14,29,4
009E4100,"Construction Schedule, Category I",LS,3,11600,3866.67,3771.43,3,4
009E4200,"Construction Schedule, Category II",LS,21,158536.66,7549.36,7393.08,21,4
009E4220,"Project Management, Category II",LS,2,32695,16347.5,20782.5,2,4
009E4300,"Construction Schedule, Category III",LS,5,133147.55,26629.51,21215.87,5,4
009E4330,"Project Management, Category III",LS,2,400000,200000,137210.46,2,4
009E5000,Concrete Penetrating Sealer,SqYd,67341.3,551428.07,8.19,10.27,14,4
009E9900,Training Program,Hour,24500,134140,5.48,25.79,24,4
100E0010,Clear and Grub Stump,Each,3,2787.84,929.28,598.39,1,4
100E0020,Clear and Grub Tree,Each,406,383430.61,944.41,805.07,19,4
100E0100,Clearing,LS,42,2621966.98,62427.79,50180.14,42,4
110E0010,Remove Concrete Bridge Approach Slab,SqYd,6337.4,411078.5,64.87,71.6,5,4
110E0020,Remove Bridge Railing,Ft,1112,80391.5,72.29,49.26,2,4
110E0040,Remove Concrete Bridge Slab,SqYd,1846,738400,400,360.5,1,4
110E0045,Remove Partial Bridge Joint,Each,8,56000,7000,4275,1,4
110E0100,Remove Concrete Footing(s),LS,5,21369.25,4273.85,7214.98,5,4
110E0130,Remove Traffic Sign,Each,763,23969.13,31.41,35.62,28,4
110E0135,Remove Delineator,Each,1066,12259.39,11.5,13.83,19,4
110E0300,Remove Concrete Curb and/or Gutter,Ft,28811,289129.87,10.04,9.73,19,4
110E0370,Remove Curb Stop,Each,1,436.78,436.78,837.26,1,4
110E0400,Remove Drop Inlet,Each,170,106662.72,627.43,566.63,13,4
110E0420,Remove Drop Inlet Frame and Grate Assembly,Each,33,8405,254.7,239.51,7,4
110E0460,Remove Manhole,Each,29,57363.03,1978.04,1510.06,6,4
110E0500,Remove Pipe Culvert,Ft,3868,236625,61.18,59.41,21,4
110E0510,Remove Pipe End Section,Each,358,159118.1,444.46,448.88,19,4
110E0520,Remove Sewer Pipe,Ft,204,1122,5.5,14.58,1,4
110E0530,Remove Storm Sewer Pipe,Ft,246,2445,9.94,8.47,2,4
110E0550,Remove Cattle Guard,Each,2,11910,5955,4852.5,2,4
110E0595,Remove Cattle Pass End Section,Each,8,15033.38,1879.17,1745.97,2,4
110E0600,Remove Fence,Ft,306582,354098.61,1.15,1.17,38,4
110E0605,Remove Chain Link Fence,Ft,4887,33523.28,6.86,9.41,6,4
110E0650,Remove Crossover Closure,Ft,911,4937.3,5.42,4,2,4
110E0700,Remove 3 Cable Guardrail,Ft,59667,212174.27,3.56,4.17,18,4
110E0707,Remove High Tension 4 Cable Guardrail,Ft,2906,14104.74,4.85,4.75,4,4
110E0730,Remove Beam Guardrail,Ft,42714.6,445808.93,10.44,10.25,29,4
110E0740,Remove 3 Cable Guardrail Anchor Assembly,Each,247,94026.3,380.67,455.89,16,4
110E0745,Remove 3 Cable Guardrail Slip Base Anchor Assembly,Each,10,3980.3,398.03,411.32,4,4
110E0749,Remove High Tension 4 Cable Guardrail Anchor Assembly,Each,8,6660,832.5,802.79,3,5
110E0750,Remove Guardrail Terminal Anchor,Each,4,1704,426,425.33,1,5
110E0760,Remove Beam Guardrail Trailing End Terminal,Each,2,520,260,267.5,1,5
110E0770,Remove W Beam Guardrail Breakaway Cable Terminal,Each,18,5353.8,297.43,288.47,4,5
110E0800,Remove W Beam Guardrail End Terminal,Each,114,80653.52,707.49,693.61,8,5
