item_code_raw,item_code,official_description,official_unit,is_deleted
000E0001,000E0001,Deleted Item,Del,true
000E0002,000E0002,Deleted Item,Del,true
000E0003,000E0003,Deleted Item,Del,true
000E0004,000E0004,Deleted Item,Del,true
000E0005,000E0005,Deleted Item,Del,true
000E0006,000E0006,Deleted Item,Del,true
000E0007,000E0007,Deleted Item,Del,true
000E0008,000E0008,Deleted Item,Del,true
000E0009,000E0009,Deleted Item,Del,true
004E0010,004E0010,Blading,Hour,false
004E0020,004E0020,Construction and Maintenance of Detour(s),LS,false
004E0030,004E0030,Maintenance of Traffic Diversion(s),LS,false
004E0050,004E0050,Remove Traffic Diversion(s),LS,false
004E0060,004E0060,Temporary Detour Structure,Each,false
004E0070,004E0070,Temporary Pedestrian Structure,Each,false
009E0010,009E0010,Mobilization,LS,false
009E0197,009E0197,Mobilization 1,Each,false
009E0198,009E0198,Mobilization 2,Each,false
009E0199,009E0199,Mobilization 3,Each,false
009E0200,009E0200,Claim Payment,LS,false
009E0300,009E0300,Additional Material,LS,false
009E0400,009E0400,Eliminated Materials,LS,false
009E0410,009E0410,Eliminated Materials,FA,false
009E0600,009E0600,Extra Haul,TM,false
009E0700,009E0700,Extra Work,LS,false
009E0710,009E0710,Extra Work,FA,false
009E0720,009E0720,"Extra Work, Utilities",LS,false
009E0800,009E0800,General Laborer,Hour,false
009E0900,009E0900,Fuel Cost Adjustment,LS,false
009E0901,009E0901,Cost Adjustment for Diesel Motor Fuel,LS,false
009E0902,009E0902,Cost Adjustment for Unleaded Motor Fuel,LS,false
009E0905,009E0905,Cost Adjustment for Diesel Burner Fuel,LS,false
009E0906,009E0906,Cost Adjustment for Propane Burner Fuel,LS,false
009E1000,009E1000,Incentive/Disincentive Pay,Day,false
009E1010,009E1010,Incentive Pay,LS,false
009E1100,009E1100,Increased Freight Cost,LS,false
009E1300,009E1300,Stockpile Site Reimbursement,LS,false
009E1350,009E1350,Restoration of Stockpile Site,LS,false
009E1400,009E1400,Value Engineering Credit,Each,false
009E1410,009E1410,Value Engineering Deduction,Each,false
009E2000,009E2000,"Deduction, Material",LS,false
009E2010,009E2010,"Deduction, Plan Deviation",LS,false
009E2020,009E2020,"Deduction, Specification Failure",LS,false
009E2100,009E2100,Addendum,Each,false
009E3000,009E3000,Partnering,LS,false
009E3010,009E3010,Public Information,LS,false
009E3020,009E3020,Public Information/Public Relations,LS,false
009E3100,009E3100,Critical Path Method Schedule Monthly Update,Each,false
009E3110,009E3110,Critical Path Method Schedule,LS,false
009E3120,009E3120,Lane Rental Payment and Assessment,LMD,false
009E3130,009E3130,Block Closure Rental Payment and Assessment,BCD,false
009E3200,009E3200,Construction Staking,LS,false
