contract_id,category,details
sd_sddot_20190123_item_001,abstract_parse,page 10 line 211: malformed quantity ''
sd_sddot_20190123_item_001,abstract_parse,page 24 line 211: malformed quantity ''
sd_sddot_20190123_item_001,abstract_parse,page 38 line 211: malformed quantity ''
sd_sddot_20190123_item_001,bid_total_difference,sd_sddot_20190123_item_001_bid_001 preserves printed item total 12420646 and reported bid total 12467527.57; difference=-46881.57.
sd_sddot_20190123_item_001,bid_total_difference,sd_sddot_20190123_item_001_bid_002 preserves printed item total 12432319.19 and reported bid total 12478983.31; difference=-46664.12.
sd_sddot_20190123_item_001,bid_total_difference,sd_sddot_20190123_item_001_bid_003 preserves printed item total 12887029.75 and reported bid total 12934599.99; difference=-47570.24.
sd_sddot_20190123_item_001,bid_total_difference,sd_sddot_20190123_item_001_bid_004 preserves printed item total 13657095.3 and reported bid total 13704723; difference=-47627.7.
sd_sddot_20190123_item_001,bid_total_difference,sd_sddot_20190123_item_001_bid_005 preserves printed item total 15287140.32 and reported bid total 15332445.31; difference=-45304.99.
sd_sddot_20190206_item_013,line_extension_difference,"sd_sddot_20190206_item_013_line_0017_001 preserves printed quantity 69.5, unit price 15.5, and extension 187077.25; difference=-186000."
sd_sddot_20190206_item_013,line_extension_difference,"sd_sddot_20190206_item_013_line_0017_002 preserves printed quantity 69.5, unit price 13.75, and extension 165955.63; difference=-165000."
sd_sddot_20190206_item_013,line_extension_difference,"sd_sddot_20190206_item_013_line_0017_003 preserves printed quantity 69.5, unit price 17, and extension 205181.5; difference=-204000."
sd_sddot_20190220_item_002,award_amount_difference,"Final award 9174913.03 resolves uniquely by vendor to abstract bid 9324913.03 for Reede Construction, Inc.."
sd_sddot_20190220_item_002,bid_total_difference,sd_sddot_20190220_item_002_bid_001 preserves printed item total 9174913.04 and reported bid total 9324913.03; difference=-149999.99.
sd_sddot_20190220_item_002,bid_total_difference,sd_sddot_20190220_item_002_bid_002 preserves printed item total 10055856.84 and reported bid total 10205856.83; difference=-149999.99.
sd_sddot_20190220_item_002,bid_total_difference,sd_sddot_20190220_item_002_bid_003 preserves printed item total 12455893.31 and reported bid total 12605893.31; difference=-150000.
sd_sddot_20191106_item_002,award_amount_difference,"Final award 16873172.33 resolves uniquely by vendor to abstract bid 17113172.33 for Reede Construction, Inc.."
sd_sddot_20191106_item_002,bid_total_difference,sd_sddot_20191106_item_002_bid_001 preserves printed item total 16873172.37 and reported bid total 17113172.33; difference=-239999.96.
sd_sddot_20191106_item_002,bid_total_difference,sd_sddot_20191106_item_002_bid_002 preserves printed item total 17877373.17 and reported bid total 18117373.16; difference=-239999.99.
sd_sddot_20191106_item_002,bid_total_difference,sd_sddot_20191106_item_002_bid_003 preserves printed item total 18493951.25 and reported bid total 18733951.25; difference=-240000.
sd_sddot_20191106_item_002,bid_total_difference,sd_sddot_20191106_item_002_bid_004 preserves printed item total 18624482.43 and reported bid total 18864482.43; difference=-240000.
sd_sddot_20200603_item_002,line_extension_difference,"sd_sddot_20200603_item_002_line_0088_001 preserves printed quantity 8, unit price 1050, and extension 18900; difference=-10500."
sd_sddot_20200603_item_002,line_extension_difference,"sd_sddot_20200603_item_002_line_0088_002 preserves printed quantity 8, unit price 1070, and extension 19260; difference=-10700."
sd_sddot_20200603_item_002,line_extension_difference,"sd_sddot_20200603_item_002_line_0088_003 preserves printed quantity 8, unit price 1100, and extension 19800; difference=-11000."
sd_sddot_20200603_item_002,line_extension_difference,"sd_sddot_20200603_item_002_line_0088_004 preserves printed quantity 8, unit price 1000, and extension 18000; difference=-10000."
sd_sddot_20200916_item_001,award_amount_difference,Final award 17114000 resolves uniquely by vendor to abstract bid 17384000 for MICHELS CORPORATION.
sd_sddot_20200916_item_001,bid_total_difference,sd_sddot_20200916_item_001_bid_001 preserves printed item total 17114000.01 and reported bid total 17384000; difference=-269999.99.
sd_sddot_20200916_item_001,bid_total_difference,sd_sddot_20200916_item_001_bid_002 preserves printed item total 18323638.3 and reported bid total 18593638.27; difference=-269999.97.
sd_sddot_20200916_item_001,bid_total_difference,sd_sddot_20200916_item_001_bid_003 preserves printed item total 19662026.51 and reported bid total 19932026.5; difference=-269999.99.
sd_sddot_20200916_item_001,bid_total_difference,sd_sddot_20200916_item_001_bid_004 preserves printed item total 19717590.04 and reported bid total 19987590.04; difference=-270000.
sd_sddot_20200916_item_001,bid_total_difference,sd_sddot_20200916_item_001_bid_005 preserves printed item total 19975000 and reported bid total 20245000; difference=-270000.
