agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_000-00005,CO,CDOT,000-00005,Design (NFA CDOT Direct and Indirect Costs),Design (NFA CDOT),L S,
co_cdot_000-00010,CO,CDOT,000-00010,Design (Federal Aid CDOT Inc Eligible Indirects),Design (Federal Aid CDOT),L S,
co_cdot_000-00030,CO,CDOT,000-00030,Construction Engineering (Consultant),Const Engineering (Consultant),L S,
co_cdot_000-00035,CO,CDOT,000-00035,Construction Engineering (Consultant Non-Federal Aid),Const Engineering (Consultant NFA),L S,
co_cdot_000-00040,CO,CDOT,000-00040,"Construction Engineering (CDOT, Bid and F/A)","Const Engineering (CDOT, Bid and F/A)",L S,
co_cdot_000-00045,CO,CDOT,000-00045,"Construction Engineering (CDOT, Bid and F/A - NFA)","Const Engineering (CDOT, Bid & F/A NFA)",L S,
co_cdot_000-00050,CO,CDOT,000-00050,Indirect Costs (CE Only),Indirect Costs (CE Only),L S,
co_cdot_000-00100,CO,CDOT,000-00100,Environmental (Non-Fed Aid CDOT),Environmental (NFA CDOT),L S,
co_cdot_000-00105,CO,CDOT,000-00105,Environmental (Federal Aid CDOT),Environmental (Federal Aid CDOT),L S,
co_cdot_000-00110,CO,CDOT,000-00110,Environmental (Non-Federal Aid Consultant),Environmental (NFA Consultant),L S,
co_cdot_000-00115,CO,CDOT,000-00115,Environmental (Federal Aid Consultant),Environmental (Federal Aid Consultant),L S,
co_cdot_201-00000,CO,CDOT,201-00000,Clearing and Grubbing,Clear and Grub,L S,
co_cdot_201-00001,CO,CDOT,201-00001,Clearing and Grubbing,Clear and Grub,ACRE,
co_cdot_201-00002,CO,CDOT,201-00002,Clearing,Clearing,L S,
co_cdot_201-00005,CO,CDOT,201-00005,Removal of Debris,Rem of Debris,L S,
co_cdot_201-00007,CO,CDOT,201-00007,Removal of Debris,Rem of Debris,EACH,
co_cdot_201-00009,CO,CDOT,201-00009,Removal of Debris,Rem of Debris,CY,
co_cdot_201-00816,CO,CDOT,201-00816,Reset Sign Panel (Special),Res Sign Panel (Spec),EACH,
co_cdot_202-00000,CO,CDOT,202-00000,Removal of Structures and Obstructions,Rem Str and Obstructions,L S,
co_cdot_202-00001,CO,CDOT,202-00001,Removal of Structure,Rem Structure,EACH,
