bidder_item_observation_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_arapahoe_big_dry_creek_20210924_row_0002_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,25000.00,25000.00
fhu_arapahoe_big_dry_creek_20210924_row_0002_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,11507.23,11507.23
fhu_arapahoe_big_dry_creek_20210924_row_0002_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,15000.00,15000.00
fhu_arapahoe_big_dry_creek_20210924_row_0002_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,41000.00,41000.00
fhu_arapahoe_big_dry_creek_20210924_row_0002_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,5000.00,5000.00
fhu_arapahoe_big_dry_creek_20210924_row_0003_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00003,REMOVAL OF STRUCTURE (SPECIAL),LS,L S,1.00,2500.00,2500.00
fhu_arapahoe_big_dry_creek_20210924_row_0003_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00003,REMOVAL OF STRUCTURE (SPECIAL),LS,L S,1.00,1440.40,1440.40
fhu_arapahoe_big_dry_creek_20210924_row_0003_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00003,REMOVAL OF STRUCTURE (SPECIAL),LS,L S,1.00,1010.00,1010.00
fhu_arapahoe_big_dry_creek_20210924_row_0003_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00003,REMOVAL OF STRUCTURE (SPECIAL),LS,L S,1.00,4300.00,4300.00
fhu_arapahoe_big_dry_creek_20210924_row_0003_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00003,REMOVAL OF STRUCTURE (SPECIAL),LS,L S,1.00,2500.00,2500.00
fhu_arapahoe_big_dry_creek_20210924_row_0004_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00010,REMOVAL OF TREE,EACH,EACH,12.00,1325.00,15900.00
fhu_arapahoe_big_dry_creek_20210924_row_0004_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00010,REMOVAL OF TREE,EACH,EACH,12.00,1606.93,19283.16
fhu_arapahoe_big_dry_creek_20210924_row_0004_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00010,REMOVAL OF TREE,EACH,EACH,12.00,1300.00,15600.00
fhu_arapahoe_big_dry_creek_20210924_row_0004_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00010,REMOVAL OF TREE,EACH,EACH,12.00,800.00,9600.00
fhu_arapahoe_big_dry_creek_20210924_row_0004_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00010,REMOVAL OF TREE,EACH,EACH,12.00,700.00,8400.00
fhu_arapahoe_big_dry_creek_20210924_row_0005_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00019,REMOVAL OF INLET,EACH,EACH,3.00,1200.00,3600.00
fhu_arapahoe_big_dry_creek_20210924_row_0005_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00019,REMOVAL OF INLET,EACH,EACH,3.00,1463.74,4391.22
