bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_arapahoe_big_dry_creek_20210924_row_0002,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,2,IFB 21-09-02,,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,20000.00,19501.45,201-00000,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0003,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,3,IFB 21-09-02,,202-00003,CDOT,202-00003,REMOVAL OF STRUCTURE (SPECIAL),202-00003,REMOVAL OF STRUCTURE (SPECIAL),LS,L S,1.00,15000.00,2350.08,202-00003,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0004,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,4,IFB 21-09-02,,202-00010,CDOT,202-00010,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,EACH,EACH,12.00,500.00,1146.39,202-00010,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0005,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,5,IFB 21-09-02,,202-00019,CDOT,202-00019,REMOVAL OF INLET,202-00019,REMOVAL OF INLET,EACH,EACH,3.00,700.00,1180.75,202-00019,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0006,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,6,IFB 21-09-02,,202-00021,CDOT,202-00021,REMOVAL OF MANHOLE,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1.00,750.00,2482.48,202-00021,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0007,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,7,IFB 21-09-02,,202-00026,CDOT,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,SY,112.00,20.00,23.57,202-00026,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0008,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,8,IFB 21-09-02,,202-00035,CDOT,202-00035,REMOVAL OF PIPE,202-00035,REMOVAL OF PIPE,LF,LF,870.00,25.00,31.09,202-00035,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0009,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,9,IFB 21-09-02,,202-00037,CDOT,202-00037,REMOVAL OF END SECTION,202-00037,REMOVAL OF END SECTION,EACH,EACH,1.00,500.00,357.25,202-00037,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0010,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,10,IFB 21-09-02,,202-00155,CDOT,202-00155,REMOVAL OF WALL,202-00155,REMOVAL OF WALL,LF,LF,160.00,60.00,26.68,202-00155,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0011,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,11,IFB 21-09-02,,202-00190,CDOT,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,283.00,10.00,22.58,202-00190,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0012,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,12,IFB 21-09-02,,202-00200,CDOT,202-00200,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,SY,SY,1197.00,10.00,18.53,202-00200,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0013,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,13,IFB 21-09-02,,202-00201,CDOT,202-00201,REMOVAL OF CURB,202-00201,REMOVAL OF CURB,LF,LF,647.00,10.00,7.35,202-00201,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0014,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,14,IFB 21-09-02,,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,20.00,13.96,202-00202,matched,2021-09-24
