bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_arapahoe_big_dry_creek_20210924_row_0002,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0003,202-00003,REMOVAL OF STRUCTURE (SPECIAL),L S,202-00003,Removal of Structure (Special),L S,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0004,202-00010,REMOVAL OF TREE,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0005,202-00019,REMOVAL OF INLET,EACH,202-00019,Removal of Inlet,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0006,202-00021,REMOVAL OF MANHOLE,EACH,202-00021,Removal of Manhole,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0007,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,202-00026,Removal of Slope and Ditch Paving,SY,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0008,202-00035,REMOVAL OF PIPE,LF,202-00035,Removal of Pipe,LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0009,202-00037,REMOVAL OF END SECTION,EACH,202-00037,Removal of End Section,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0010,202-00155,REMOVAL OF WALL,LF,202-00155,Removal of Wall,LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0011,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,202-00190,Removal of Concrete Median Cover Material,SY,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0012,202-00200,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0013,202-00201,REMOVAL OF CURB,LF,202-00201,Removal of Curb,LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0014,202-00202,REMOVAL OF GUTTER,LF,202-00202,Removal of Gutter,LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0015,202-00203,REMOVAL OF CURB AND GUTTER,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0016,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0017,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,202-00210,Removal of Concrete Pavement,SY,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0018,202-00220,REMOVAL OF ASPHALT MAT,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0019,202-00250,REMOVAL OF PAVEMENT MARKING,SF,202-00250,Removal of Pavement Marking,SF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0020,202-00400,REMOVAL OF BRIDGE,EACH,202-00400,Removal of Bridge,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0021,202-00810,REMOVAL OF GROUND SIGN,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0022,202-01000,REMOVAL OF FENCE,LF,202-01000,Removal of Fence,LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0023,202-01175,REMOVAL OF GUARDRAIL (SPECIAL),LF,202-01175,Removal of Guardrail (Special),LF,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0024,202-04002,CLEAN CULVERT,EACH,202-04002,Clean Culvert,EACH,1,single_exact_description_unit_candidate
fhu_arapahoe_big_dry_creek_20210924_row_0025,203-00060,EMBANKMENT MATERIAL (COMPLETE IN PLACE),CY,203-00060,Embankment Material (Complete In Place),CY,1,single_exact_description_unit_candidate
