bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_jc_73_20250220_row_0009_timber_wolf_excavating_llc,fhu_jc_73_20250220_row_0009,fhu_jc_73_20250220_timber_wolf_excavating_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,201-00000,CLEARING AND GRUBBING,L S,L S,1,42500.00,42500.00
fhu_jc_73_20250220_row_0009_rodriguez_construction_organization_llc,fhu_jc_73_20250220_row_0009,fhu_jc_73_20250220_rodriguez_construction_organization_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,201-00000,CLEARING AND GRUBBING,L S,L S,1,40000.00,40000.00
fhu_jc_73_20250220_row_0009_w_w_clyde_co,fhu_jc_73_20250220_row_0009,fhu_jc_73_20250220_w_w_clyde_co,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,201-00000,CLEARING AND GRUBBING,L S,L S,1,50000.00,50000.00
fhu_jc_73_20250220_row_0009_fnf_construction_inc,fhu_jc_73_20250220_row_0009,fhu_jc_73_20250220_fnf_construction_inc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,201-00000,CLEARING AND GRUBBING,L S,L S,1,15000.00,15000.00
fhu_jc_73_20250220_row_0009_flatiron,fhu_jc_73_20250220_row_0009,fhu_jc_73_20250220_flatiron,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,201-00000,CLEARING AND GRUBBING,L S,L S,1,123527.31,123527.31
fhu_jc_73_20250220_row_0010_timber_wolf_excavating_llc,fhu_jc_73_20250220_row_0010,fhu_jc_73_20250220_timber_wolf_excavating_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00010,REMOVAL OF TREE,EACH,EACH,20,750.00,15000.00
fhu_jc_73_20250220_row_0010_rodriguez_construction_organization_llc,fhu_jc_73_20250220_row_0010,fhu_jc_73_20250220_rodriguez_construction_organization_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00010,REMOVAL OF TREE,EACH,EACH,20,900.00,18000.00
fhu_jc_73_20250220_row_0010_w_w_clyde_co,fhu_jc_73_20250220_row_0010,fhu_jc_73_20250220_w_w_clyde_co,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00010,REMOVAL OF TREE,EACH,EACH,20,1460.00,29200.00
fhu_jc_73_20250220_row_0010_fnf_construction_inc,fhu_jc_73_20250220_row_0010,fhu_jc_73_20250220_fnf_construction_inc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00010,REMOVAL OF TREE,EACH,EACH,20,500.00,10000.00
fhu_jc_73_20250220_row_0010_flatiron,fhu_jc_73_20250220_row_0010,fhu_jc_73_20250220_flatiron,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00010,REMOVAL OF TREE,EACH,EACH,20,1795.65,35913.00
fhu_jc_73_20250220_row_0011_timber_wolf_excavating_llc,fhu_jc_73_20250220_row_0011,fhu_jc_73_20250220_timber_wolf_excavating_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00035,REMOVAL OF PIPE,LF,LF,287,50.00,14350.00
fhu_jc_73_20250220_row_0011_rodriguez_construction_organization_llc,fhu_jc_73_20250220_row_0011,fhu_jc_73_20250220_rodriguez_construction_organization_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00035,REMOVAL OF PIPE,LF,LF,287,59.00,16933.00
fhu_jc_73_20250220_row_0011_w_w_clyde_co,fhu_jc_73_20250220_row_0011,fhu_jc_73_20250220_w_w_clyde_co,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00035,REMOVAL OF PIPE,LF,LF,287,72.00,20664.00
fhu_jc_73_20250220_row_0011_fnf_construction_inc,fhu_jc_73_20250220_row_0011,fhu_jc_73_20250220_fnf_construction_inc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00035,REMOVAL OF PIPE,LF,LF,287,28.00,8036.00
fhu_jc_73_20250220_row_0011_flatiron,fhu_jc_73_20250220_row_0011,fhu_jc_73_20250220_flatiron,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00035,REMOVAL OF PIPE,LF,LF,287,185.39,53206.93
fhu_jc_73_20250220_row_0012_timber_wolf_excavating_llc,fhu_jc_73_20250220_row_0012,fhu_jc_73_20250220_timber_wolf_excavating_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00160,REMOVAL OF WALL,SF,SF,362,20.00,7240.00
fhu_jc_73_20250220_row_0012_rodriguez_construction_organization_llc,fhu_jc_73_20250220_row_0012,fhu_jc_73_20250220_rodriguez_construction_organization_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00160,REMOVAL OF WALL,SF,SF,362,22.00,7964.00
fhu_jc_73_20250220_row_0012_w_w_clyde_co,fhu_jc_73_20250220_row_0012,fhu_jc_73_20250220_w_w_clyde_co,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00160,REMOVAL OF WALL,SF,SF,362,64.00,23168.00
fhu_jc_73_20250220_row_0012_fnf_construction_inc,fhu_jc_73_20250220_row_0012,fhu_jc_73_20250220_fnf_construction_inc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00160,REMOVAL OF WALL,SF,SF,362,15.00,5430.00
fhu_jc_73_20250220_row_0012_flatiron,fhu_jc_73_20250220_row_0012,fhu_jc_73_20250220_flatiron,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00160,REMOVAL OF WALL,SF,SF,362,62.75,22715.50
fhu_jc_73_20250220_row_0013_timber_wolf_excavating_llc,fhu_jc_73_20250220_row_0013,fhu_jc_73_20250220_timber_wolf_excavating_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,31,25.00,775.00
fhu_jc_73_20250220_row_0013_rodriguez_construction_organization_llc,fhu_jc_73_20250220_row_0013,fhu_jc_73_20250220_rodriguez_construction_organization_llc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,31,10.00,310.00
fhu_jc_73_20250220_row_0013_w_w_clyde_co,fhu_jc_73_20250220_row_0013,fhu_jc_73_20250220_w_w_clyde_co,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,31,70.00,2170.00
fhu_jc_73_20250220_row_0013_fnf_construction_inc,fhu_jc_73_20250220_row_0013,fhu_jc_73_20250220_fnf_construction_inc,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,31,30.00,930.00
fhu_jc_73_20250220_row_0013_flatiron,fhu_jc_73_20250220_row_0013,fhu_jc_73_20250220_flatiron,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,31,20.05,621.55
