bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_jc_73_20250220_row_0009,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,9,STU C110-053,1,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,L S,L S,1,65139.16,54205.46,201-00000,matched,2025-02-20,1,60000.00,60000.00
fhu_jc_73_20250220_row_0010,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,10,STU C110-053,2,202-00010,CDOT,202-00010,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,EACH,EACH,20,964.02,1081.13,202-00010,matched,2025-02-20,20,1500.00,30000.00
fhu_jc_73_20250220_row_0011,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,11,STU C110-053,3,202-00035,CDOT,202-00035,REMOVAL OF PIPE,202-00035,REMOVAL OF PIPE,LF,LF,287,58.28,78.88,202-00035,matched,2025-02-20,287,90.00,25830.00
fhu_jc_73_20250220_row_0012,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,12,STU C110-053,4,202-00160,CDOT,202-00160,REMOVAL OF WALL,202-00160,REMOVAL OF WALL,SF,SF,362,25.05,36.75,202-00160,matched,2025-02-20,362,115.00,41630.00
fhu_jc_73_20250220_row_0013,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,13,STU C110-053,5,202-00203,CDOT,202-00203,REMOVAL OF CURB AND GUTTER,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,31,20.92,31.01,202-00203,matched,2025-02-20,31,38.00,1178.00
fhu_jc_73_20250220_row_0014,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,14,STU C110-053,6,202-00220,CDOT,202-00220,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,SY,SY,1919,22.54,30.55,202-00220,matched,2025-02-20,1919,35.00,67165.00
fhu_jc_73_20250220_row_0015,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,15,STU C110-053,7,202-00240,CDOT,202-00240,REMOVAL OF ASPHALT MAT (PLANING),202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,SY,7886,5.34,5.90,202-00240,matched,2025-02-20,7886,5.00,39430.00
fhu_jc_73_20250220_row_0016,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,16,STU C110-053,8,202-00250,CDOT,202-00250,REMOVAL OF PAVEMENT MARKING,202-00250,REMOVAL OF PAVEMENT MARKING,SF,SF,7150,2.80,4.72,202-00250,matched,2025-02-20,7150,6.00,42900.00
fhu_jc_73_20250220_row_0017,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,17,STU C110-053,9,202-00400,CDOT,202-00400,REMOVAL OF BRIDGE,202-00400,REMOVAL OF BRIDGE,EACH,EACH,1,117285.55,84615.63,202-00400,matched,2025-02-20,1,175000.00,175000.00
fhu_jc_73_20250220_row_0018,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,18,STU C110-053,10,202-00810,CDOT,202-00810,REMOVAL OF GROUND SIGN,202-00810,REMOVAL OF GROUND SIGN,EACH,EACH,13,240.35,241.47,202-00810,matched,2025-02-20,13,450.00,5850.00
fhu_jc_73_20250220_row_0019,fhu_bid_tab_jc_73_2025_02_20_stu_c110_053,fhu_bid_tab_jc_73_2025_02_20,Cost Estimate Data Tracking-MASTER.xlsx,JC-73,19,STU C110-053,11,202-00895,CDOT,202-00895,REMOVAL OF IMPACT ATTENUATOR,202-00895,REMOVAL OF IMPACT ATTENUATOR,EACH,EACH,3,2038.28,622.25,202-00895,matched,2025-02-20,3,3450.00,10350.00
