bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_jc_73_20250220_row_0009,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0010,202-00010,REMOVAL OF TREE,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0011,202-00035,REMOVAL OF PIPE,LF,202-00035,Removal of Pipe,LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0012,202-00160,REMOVAL OF WALL,SF,202-00160,Removal of Wall,SF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0013,202-00203,REMOVAL OF CURB AND GUTTER,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0014,202-00220,REMOVAL OF ASPHALT MAT,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0015,202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,202-00240,Removal of Asphalt Mat (Planing),SY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0016,202-00250,REMOVAL OF PAVEMENT MARKING,SF,202-00250,Removal of Pavement Marking,SF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0017,202-00400,REMOVAL OF BRIDGE,EACH,202-00400,Removal of Bridge,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0018,202-00810,REMOVAL OF GROUND SIGN,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0019,202-00895,REMOVAL OF IMPACT ATTENUATOR,EACH,202-00895,Removal of Impact Attenuator,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0020,202-01000,REMOVAL OF FENCE,LF,202-01000,Removal of Fence,LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0021,202-01130,REMOVAL OF GUARDRAIL TYPE 3,LF,202-01130,Removal of Guardrail Type 3,LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0022,202-01300,REMOVAL OF END ANCHORAGE,EACH,202-01300,Removal of End Anchorage,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0023,202-04002,CLEAN CULVERT,EACH,202-04002,Clean Culvert,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0024,202-04005,CLEAN VALVE BOX,EACH,202-04005,Clean Valve Box,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0025,203-00050,UNSUITABLE MATERIAL,CY,203-00050,Unsuitable Material,CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0026,203-00400,ROCK EXCAVATION,CY,203-00400,Rock Excavation,CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0027,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,203-00010,Unclassified Excavation (Complete In Place),CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0028,203-01500,BLADING,HOUR,203-01500,Blading,HOUR,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0029,203-01550,DOZING,HOUR,203-01550,Dozing,HOUR,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0030,203-01594,COMBINATION LOADER,HOUR,203-01594,Combination Loader,HOUR,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0031,203-01597,POTHOLING,HOUR,203-01597,Potholing,HOUR,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0032,206-00000,STRUCTURE EXCAVATION,CY,206-00000,Structure Excavation,CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0033,206-00100,STRUCTURE BACKFILL (CLASS 1),CY,206-00100,Structure Backfill (Class 1),CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0034,206-00200,STRUCTURE BACKFILL (CLASS 2),CY,206-00200,Structure Backfill (Class 2),CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0035,206-01781,SHORING (AREA 1),L S,206-01781,Shoring (Area 1),L S,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0036,206-01782,SHORING (AREA 2),L S,206-01782,Shoring (Area 2),L S,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0037,207-00210,STOCKPILE TOPSOIL,CY,207-00210,Stockpile Topsoil,CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0038,207-00700,TOPSOIL (ONSITE),CY,207-00700,Topsoil (Onsite),CY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0039,207-00704,SUBGRADE SOIL PREPARATION,SY,207-00704,Subgrade Soil Preparation,SY,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0040,208-00002,EROSION LOG TYPE 1 (12 INCH),LF,208-00002,Erosion Log Type 1 (12 Inch),LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0041,208-00020,SILT FENCE,LF,208-00020,Silt Fence,LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0042,208-00021,SILT FENCE (REINFORCED),LF,208-00021,Silt Fence (Reinforced),LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0043,208-00035,AGGREGATE BAG,LF,208-00035,Aggregate Bag,LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0044,208-00041,ROCK CHECK DAM,EACH,208-00041,Rock Check Dam,EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0045,208-00046,PRE-FABRICATED CONCRETE WASHOUT STRUCTURE (TYPE 1),EACH,208-00046,Pre-fabricated Concrete Washout Structure (Type 1),EACH,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0046,208-00051,STORM DRAIN INLET PROTECTION (TYPE I),LF,208-00051,Storm Drain Inlet Protection (Type I),LF,1,single_exact_description_unit_candidate
fhu_jc_73_20250220_row_0047,208-00075,PRE-FABRICATED VEHICLE TRACKING PAD,EACH,208-00075,Pre-fabricated Vehicle Tracking Pad,EACH,1,single_exact_description_unit_candidate
