bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_kipling_bowles_20220310_row_0009_sema,fhu_kipling_bowles_20220310_row_0009,fhu_kipling_bowles_20220310_sema,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,201-00000,Clearing and Grubbing,LS,L S,1.00,50000.00,50000.00
fhu_kipling_bowles_20220310_row_0009_american_west,fhu_kipling_bowles_20220310_row_0009,fhu_kipling_bowles_20220310_american_west,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,201-00000,Clearing and Grubbing,LS,L S,1.00,133000.00,133000.00
fhu_kipling_bowles_20220310_row_0009_cei,fhu_kipling_bowles_20220310_row_0009,fhu_kipling_bowles_20220310_cei,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,201-00000,Clearing and Grubbing,LS,L S,1.00,34500.00,34500.00
fhu_kipling_bowles_20220310_row_0009_edge,fhu_kipling_bowles_20220310_row_0009,fhu_kipling_bowles_20220310_edge,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,201-00000,Clearing and Grubbing,LS,L S,1.00,23930.00,23930.00
fhu_kipling_bowles_20220310_row_0010_sema,fhu_kipling_bowles_20220310_row_0010,fhu_kipling_bowles_20220310_sema,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00019,Removal of Inlet,EA,EACH,4.00,3000.00,12000.00
fhu_kipling_bowles_20220310_row_0010_american_west,fhu_kipling_bowles_20220310_row_0010,fhu_kipling_bowles_20220310_american_west,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00019,Removal of Inlet,EA,EACH,4.00,2200.00,8800.00
fhu_kipling_bowles_20220310_row_0010_cei,fhu_kipling_bowles_20220310_row_0010,fhu_kipling_bowles_20220310_cei,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00019,Removal of Inlet,EA,EACH,4.00,1410.00,5640.00
fhu_kipling_bowles_20220310_row_0010_edge,fhu_kipling_bowles_20220310_row_0010,fhu_kipling_bowles_20220310_edge,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00019,Removal of Inlet,EA,EACH,4.00,3710.00,14840.00
fhu_kipling_bowles_20220310_row_0011_sema,fhu_kipling_bowles_20220310_row_0011,fhu_kipling_bowles_20220310_sema,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00032,Removal of Valve,EA,EACH,3.00,210.00,630.00
fhu_kipling_bowles_20220310_row_0011_american_west,fhu_kipling_bowles_20220310_row_0011,fhu_kipling_bowles_20220310_american_west,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00032,Removal of Valve,EA,EACH,3.00,260.00,780.00
fhu_kipling_bowles_20220310_row_0011_cei,fhu_kipling_bowles_20220310_row_0011,fhu_kipling_bowles_20220310_cei,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00032,Removal of Valve,EA,EACH,3.00,125.00,375.00
fhu_kipling_bowles_20220310_row_0011_edge,fhu_kipling_bowles_20220310_row_0011,fhu_kipling_bowles_20220310_edge,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,202-00032,Removal of Valve,EA,EACH,3.00,535.00,1605.00
