bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_kipling_bowles_20220310_row_0009,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,9,5-69-15-4005,,201-00000,CDOT,201-00000,Clearing and Grubbing,201-00000,Clearing and Grubbing,LS,L S,1.00,20000.00,60357.50,201-00000,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0010,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,10,5-69-15-4005,,202-00019,CDOT,202-00019,Removal of Inlet,202-00019,Removal of Inlet,EA,EACH,4.00,1800.00,2580.00,202-00019,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0011,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,11,5-69-15-4005,,202-00032,CDOT,202-00032,Removal of Valve,202-00032,Removal of Valve,EA,EACH,3.00,500.00,282.50,202-00032,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0012,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,12,5-69-15-4005,,202-00035,CDOT,202-00035,Removal of Pipe,202-00035,Removal of Pipe,LF,LF,292.00,40.00,48.13,202-00035,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0013,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,13,5-69-15-4005,,202-00195,CDOT,202-00195,Removal of Median Cover,202-00195,Removal of Median Cover,SY,SY,425.00,27.00,39.50,202-00195,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0014,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,14,5-69-15-4005,,202-00200,CDOT,202-00200,Removal of Sidewalk,202-00200,Removal of Sidewalk,SY,SY,718.00,24.00,33.50,202-00200,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0015,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,15,5-69-15-4005,,202-00202,CDOT,202-00202,Removal of Gutter,202-00202,Removal of Gutter,LF,LF,172.00,25.00,16.88,202-00202,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0016,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,16,5-69-15-4005,,202-00203,CDOT,202-00203,Removal of Curb and Gutter,202-00203,Removal of Curb and Gutter,LF,LF,2928.00,12.00,10.20,202-00203,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0017,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,17,5-69-15-4005,,202-00206,CDOT,202-00206,Removal of Concrete Curb Ramp,202-00206,Removal of Concrete Curb Ramp,SY,SY,210.00,42.00,36.75,202-00206,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0018,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,18,5-69-15-4005,,202-00220,CDOT,202-00220,Removal of Asphalt Mat,202-00220,Removal of Asphalt Mat,SY,SY,1141.00,11.00,49.28,202-00220,matched,2022-03-10
