bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_kipling_bowles_20220310_row_0009,201-00000,Clearing and Grubbing,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0010,202-00019,Removal of Inlet,EACH,202-00019,Removal of Inlet,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0011,202-00032,Removal of Valve,EACH,202-00032,Removal of Valve,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0012,202-00035,Removal of Pipe,LF,202-00035,Removal of Pipe,LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0013,202-00195,Removal of Median Cover,SY,202-00195,Removal of Median Cover,SY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0014,202-00200,Removal of Sidewalk,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0015,202-00202,Removal of Gutter,LF,202-00202,Removal of Gutter,LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0016,202-00203,Removal of Curb and Gutter,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0017,202-00206,Removal of Concrete Curb Ramp,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0018,202-00220,Removal of Asphalt Mat,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0019,202-00240,Removal of Asphalt Mat (Planing),SY,202-00240,Removal of Asphalt Mat (Planing),SY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0020,202-00250,Removal of Pavement Marking,SF,202-00250,Removal of Pavement Marking,SF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0021,202-00810,Removal of Ground Sign,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0022,202-00821,Removal of Sign Panel,EACH,202-00821,Removal of Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0023,202-00828,Removal of Traffic Signal Equipment,L S,202-00828,Removal of Traffic Signal Equipment,L S,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0025,202-04002,Clean Culvert,EACH,202-04002,Clean Culvert,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0026,203-00010,Unclassified Excavation (Complete in Place),CY,203-00010,Unclassified Excavation (Complete In Place),CY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0027,203-01597,Potholing,HOUR,203-01597,Potholing,HOUR,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0028,206-00065,Structure Backfill (Flow-fill),CY,206-00065,Structure Backfill (Flow-Fill),CY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0029,207-00205,Topsoil,CY,207-00205,Topsoil,CY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0030,207-00210,Stockpile Topsoil,CY,207-00210,Stockpile Topsoil,CY,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0031,208-00012,Erosion Log Type 1 (9 Inch),LF,208-00012,Erosion Log Type 1 (9 Inch),LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0032,208-00035,Aggregate Bag,LF,208-00035,Aggregate Bag,LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0034,208-00051,Storm Drain Inlet Protection (Type I),LF,208-00051,Storm Drain Inlet Protection (Type I),LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0035,208-00052,Storm Drain Inlet Protection (Type II),LF,208-00052,Storm Drain Inlet Protection (Type II),LF,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0036,208-00103,Removal and Disposal of Sediment (Labor),HOUR,208-00103,Removal and Disposal of Sediment (Labor),HOUR,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0037,208-00105,Removal and Disposal of Sediment (Equipment),HOUR,208-00105,Removal and Disposal of Sediment (Equipment),HOUR,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0038,208-00106,Sweeping (Sediment Removal),HOUR,208-00106,Sweeping (Sediment Removal),HOUR,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0039,208-00107,Removal of Trash,HOUR,208-00107,Removal of Trash,HOUR,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0041,210-00015,Reset End Section,EACH,210-00015,Reset End Section,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0042,210-00040,Reset Water Line,L S,210-00040,Reset Water Line,L S,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0043,210-00479,Reset Radio Communication Antenna,EACH,210-00479,Reset Radio Communication Antenna,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0044,210-00810,Reset Ground Sign,EACH,210-00810,Reset Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0045,210-00815,Reset Sign Panel,EACH,210-00815,Reset Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_kipling_bowles_20220310_row_0046,210-00867,Reset Fire Preemption Unit,EACH,210-00867,Reset Fire Preemption Unit,EACH,1,single_exact_description_unit_candidate
