bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_lincoln_jordan_20250218_row_0003_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0003,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,0.7,100000.00,70000.00
fhu_lincoln_jordan_20250218_row_0003_hei_civil,fhu_lincoln_jordan_20250218_row_0003,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,0.7,36000.00,25200.00
fhu_lincoln_jordan_20250218_row_0003_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0003,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,0.7,502815.57,351970.90
fhu_lincoln_jordan_20250218_row_0003_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0003,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,0.7,1200000.00,840000.00
fhu_lincoln_jordan_20250218_row_0003_structures_inc,fhu_lincoln_jordan_20250218_row_0003,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,0.7,70071.43,49050.00
fhu_lincoln_jordan_20250218_row_0004_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0004,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00010,REMOVAL OF TREE,Each,EACH,73,952.00,69496.00
fhu_lincoln_jordan_20250218_row_0004_hei_civil,fhu_lincoln_jordan_20250218_row_0004,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00010,REMOVAL OF TREE,Each,EACH,73,1200.00,87600.00
fhu_lincoln_jordan_20250218_row_0004_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0004,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00010,REMOVAL OF TREE,Each,EACH,73,714.00,52122.00
fhu_lincoln_jordan_20250218_row_0004_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0004,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00010,REMOVAL OF TREE,Each,EACH,73,470.00,34310.00
fhu_lincoln_jordan_20250218_row_0004_structures_inc,fhu_lincoln_jordan_20250218_row_0004,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00010,REMOVAL OF TREE,Each,EACH,73,899.25,65645.25
