bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_lincoln_jordan_20250218_row_0003,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,3,FHU-LINCOLN-JORDAN,1,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,0.7,30000.00,381777.40,201-00000,matched,2025-02-18,0.7,,
fhu_lincoln_jordan_20250218_row_0004,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,4,FHU-LINCOLN-JORDAN,2,202-00010,CDOT,202-00010,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,Each,EACH,73,800.00,847.05,202-00010,matched,2025-02-18,73,,
fhu_lincoln_jordan_20250218_row_0005,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,5,FHU-LINCOLN-JORDAN,3,202-00019,CDOT,202-00019,REMOVAL OF INLET,202-00019,REMOVAL OF INLET,Each,EACH,16,1100.00,1485.80,202-00019,matched,2025-02-18,16,,
fhu_lincoln_jordan_20250218_row_0006,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,6,FHU-LINCOLN-JORDAN,4,202-00021,CDOT,202-00021,REMOVAL OF MANHOLE,202-00021,REMOVAL OF MANHOLE,Each,EACH,1,1000.00,1832.35,202-00021,matched,2025-02-18,1,,
fhu_lincoln_jordan_20250218_row_0007,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,7,FHU-LINCOLN-JORDAN,5,202-00035,CDOT,202-00035,REMOVAL OF PIPE,202-00035,REMOVAL OF PIPE,Linear Foot/Feet,LINEAR FOOT/FEET,509,55.00,41.29,202-00035,matched,2025-02-18,509,,
fhu_lincoln_jordan_20250218_row_0008,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,8,FHU-LINCOLN-JORDAN,6,202-00037,CDOT,202-00037,REMOVAL OF END SECTION,202-00037,REMOVAL OF END SECTION,Each,EACH,9,600.00,458.30,202-00037,matched,2025-02-18,9,,
fhu_lincoln_jordan_20250218_row_0009,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,9,FHU-LINCOLN-JORDAN,7,202-00155,CDOT,202-00155,REMOVAL OF WALL,202-00155,REMOVAL OF WALL,Linear Foot/Feet,LINEAR FOOT/FEET,486,70.00,40.65,202-00155,matched,2025-02-18,486,,
fhu_lincoln_jordan_20250218_row_0010,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,10,FHU-LINCOLN-JORDAN,8,202-00195,CDOT,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,Square Yard,SY,374,50.00,20.06,202-00195,matched,2025-02-18,374,,
fhu_lincoln_jordan_20250218_row_0011,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,11,FHU-LINCOLN-JORDAN,9,202-00200,CDOT,202-00200,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,6658,35.00,15.64,202-00200,matched,2025-02-18,6658,,
fhu_lincoln_jordan_20250218_row_0012,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,12,FHU-LINCOLN-JORDAN,10,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,33,20.00,27.55,202-00202,matched,2025-02-18,33,,
