bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_lincoln_jordan_20250218_row_0003,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0004,202-00010,REMOVAL OF TREE,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0005,202-00019,REMOVAL OF INLET,EACH,202-00019,Removal of Inlet,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0006,202-00021,REMOVAL OF MANHOLE,EACH,202-00021,Removal of Manhole,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0008,202-00037,REMOVAL OF END SECTION,EACH,202-00037,Removal of End Section,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0011,202-00200,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0014,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0015,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,202-00210,Removal of Concrete Pavement,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0017,202-00220,REMOVAL OF ASPHALT MAT,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0018,202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,202-00240,Removal of Asphalt Mat (Planing),SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0019,202-00495,REMOVAL OF PORTIONS OF PRESENT STRUCTURE,L S,202-00495,Removal of Portions of Present Structure,L S,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0020,202-00810,REMOVAL OF GROUND SIGN,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0021,202-00828,REMOVAL OF TRAFFIC SIGNAL EQUIPMENT,L S,202-00828,Removal of Traffic Signal Equipment,L S,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0023,202-01300,REMOVAL OF END ANCHORAGE,EACH,202-01300,Removal of End Anchorage,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0024,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,203-00010,Unclassified Excavation (Complete In Place),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0025,203-00050,UNSUITABLE MATERIAL,CY,203-00050,Unsuitable Material,CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0026,203-01597,POTHOLING,HOUR,203-01597,Potholing,HOUR,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0027,206-00000,STRUCTURE EXCAVATION,CY,206-00000,Structure Excavation,CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0028,206-00100,STRUCTURE BACKFILL (CLASS 1),CY,206-00100,Structure Backfill (Class 1),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0029,206-00360,MECHANICAL REINFORCEMENT OF SOIL,CY,206-00360,Mechanical Reinforcement of Soil,CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0030,206-00510,FILTER MATERIAL (CLASS A),CY,206-00510,Filter Material (Class A),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0032,207-00405,TOPSOIL (SPECIAL),CY,207-00405,Topsoil (Special),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0035,208,SEEDING (NATIVE) DRILL,ACRE,212-00706,Seeding (Native) Drill,ACRE,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0036,208,SEEDING (NATIVE) BROADCAST,ACRE,212-00708,Seeding (Native) Broadcast,ACRE,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0037,208,MULCHING (WEED FREE),ACRE,213-00003,Mulching (Weed Free),ACRE,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0042,208,REMOVAL AND DISPOSAL OF SEDIMENT (EQUIPMENT),HOUR,208-00105,Removal and Disposal of Sediment (Equipment),HOUR,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0043,208,EROSION CONTROL MANAGEMENT,DAY,208-00207,Erosion Control Management,DAY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0050,208,TEMPORARY STREAM CROSSING,EACH,208-00521,Temporary Stream Crossing,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0053,208,MAINTENANCE AGGREGATE (VEHICLE TRACKING PAD),CY,208-00071,Maintenance Aggregate (Vehicle Tracking Pad),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0055,210-00001,RESET STRUCTURE,EACH,210-00001,Reset Structure,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0056,210-00050,RESET FIRE HYDRANT,EACH,210-00050,Reset Fire Hydrant,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0057,210-00750,RESET LIGHT STANDARD,EACH,210-00750,Reset Light Standard,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0058,210-00760,RESET LUMINAIRE,EACH,210-00760,Reset Luminaire,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0059,210-00810,RESET GROUND SIGN,EACH,210-00810,Reset Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0061,210-00815,RESET SIGN PANEL,EACH,210-00815,Reset Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0062,210-00820,RESET VARIABLE MESSAGE SIGN,EACH,210-00820,Reset Variable Message Sign,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0063,210-00831,RESET TRAFFIC SIGNAL HEAD,EACH,210-00831,Reset Traffic Signal Head,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0064,210-00860,RESET PEDESTRIAN PUSH BUTTON,EACH,210-00860,Reset Pedestrian Push Button,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0065,210-00867,RESET FIRE PREEMPTION UNIT,EACH,210-00867,Reset Fire Preemption Unit,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0066,210-00890,RESET INTERSECTION DETECTION SYSTEM (CAMERA),EACH,210-00890,Reset Intersection Detection System (Camera),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0068,210-04010,ADJUST MANHOLE,EACH,210-04010,Adjust Manhole,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0069,210-04015,MODIFY MANHOLE,EACH,210-04015,Modify Manhole,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0070,210-04050,ADJUST VALVE BOX,EACH,210-04050,Adjust Valve Box,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0071,210-04060,ADJUST WATER METER,EACH,210-04060,Adjust Water Meter,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0072,211-03005,DEWATERING,L S,211-03005,Dewatering,L S,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0077,213-00070,LANDSCAPE WEED BARRIER FABRIC,SY,213-00070,Landscape Weed Barrier Fabric,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0080,213-00700,LANDSCAPE BOULDER,EACH,213-00700,Landscape Boulder,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0084,217-00020,HERBICIDE TREATMENT,HOUR,217-00020,Herbicide Treatment,HOUR,1,single_exact_description_unit_candidate
