bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_pikes_peak_sidewalks_20230403_row_0009,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,9,FHU-PIKES-PEAK-SW,1,201,CDOT,201,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,1,,20400.00,201-00000,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0010,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,10,FHU-PIKES-PEAK-SW,2,202,CDOT,202,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,Each,EACH,3,,1050.00,202-00010,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0011,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,11,FHU-PIKES-PEAK-SW,3,202,CDOT,202,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,796,,26.15,202-00200,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0012,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,12,FHU-PIKES-PEAK-SW,4,202,CDOT,202,REMOVAL OF CURB,202,REMOVAL OF CURB,Linear Foot/Feet,LINEAR FOOT/FEET,12,,23.85,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0013,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,13,FHU-PIKES-PEAK-SW,5,202,CDOT,202,REMOVAL OF CURB AND GUTTER,202,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,1733,,17.30,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0014,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,14,FHU-PIKES-PEAK-SW,6,202,CDOT,202,REMOVAL OF CONCRETE CURB RAMP,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,41,,27.63,202-00206,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0015,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,15,FHU-PIKES-PEAK-SW,7,202,CDOT,202,REMOVAL OF POLYMER CEMENT SURFACING & CONCRETE BASE,202,REMOVAL OF POLYMER CEMENT SURFACING & CONCRETE BASE,Square Foot/Feet,SQUARE FOOT/FEET,96,,8.43,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0016,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,16,FHU-PIKES-PEAK-SW,8,202,CDOT,202,REMOVAL OF POLYMER CEMENT SURFACING,202,REMOVAL OF POLYMER CEMENT SURFACING,Square Foot/Feet,SQUARE FOOT/FEET,170,,11.03,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0017,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,17,FHU-PIKES-PEAK-SW,9,202,CDOT,202,REMOVAL OF CONCRETE PAVEMENT,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,1199,,30.70,202-00210,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0018,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,18,FHU-PIKES-PEAK-SW,10,202,CDOT,202,REMOVAL OF MAILBOX STRUCTURE CONCRETE BASE,202,REMOVAL OF MAILBOX STRUCTURE CONCRETE BASE,Square Yard,SY,3,,305.00,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0019,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,19,FHU-PIKES-PEAK-SW,11,202,CDOT,202,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,Square Yard,SY,111,,25.25,202-00220,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0020,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,20,FHU-PIKES-PEAK-SW,12,203,CDOT,203,EMBANKMENT MATERIAL (CIP),203,EMBANKMENT MATERIAL (CIP),Cubic Yard,CY,231,,70.50,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0021,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,21,FHU-PIKES-PEAK-SW,13,206,CDOT,206,STRUCTURE BACKFILL (FLOW-FILL),206-00065,STRUCTURE BACKFILL (FLOW-FILL),Cubic Yard,CY,75,,242.50,206-00065,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0022,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,22,FHU-PIKES-PEAK-SW,14,208,CDOT,208,POTHOLING,208,POTHOLING,Hour,HOUR,100,,312.13,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0023,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,23,FHU-PIKES-PEAK-SW,15,208,CDOT,208,CONCRETE WASHOUT AREA (PORTABLE),208,CONCRETE WASHOUT AREA (PORTABLE),Each,EACH,2,,3716.50,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0024,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,24,FHU-PIKES-PEAK-SW,16,208,CDOT,208,VEHICLE TRACKING CONTROL (PORTABLE),208,VEHICLE TRACKING CONTROL (PORTABLE),Each,EACH,4,,5417.50,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0025,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,25,FHU-PIKES-PEAK-SW,17,208,CDOT,208,STABILIZED STAGING AREA,208,STABILIZED STAGING AREA,Each,EACH,1,,5600.00,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0026,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,26,FHU-PIKES-PEAK-SW,18,208,CDOT,208,INLET PROTECTION CURB ON GRADE,208,INLET PROTECTION CURB ON GRADE,Each,EACH,43,,241.00,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0027,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,27,FHU-PIKES-PEAK-SW,19,208,CDOT,208,PORTABLE TOILET PROTECTION,208,PORTABLE TOILET PROTECTION,Each,EACH,1,,274.50,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0028,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,28,FHU-PIKES-PEAK-SW,20,210,CDOT,210,RESET GANG MAILBOX STRUCTURE,210,RESET GANG MAILBOX STRUCTURE,Each,EACH,1,,1165.00,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0029,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,29,FHU-PIKES-PEAK-SW,21,210,CDOT,210,RESET GROUND SIGN,210-00810,RESET GROUND SIGN,Each,EACH,27,,491.00,210-00810,matched,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0030,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,30,FHU-PIKES-PEAK-SW,22,210,CDOT,210,RESET GROUND SIGN (SPECIAL),210,RESET GROUND SIGN (SPECIAL),Each,EACH,4,,1784.00,,source_cdot_prefix_only,2023-04-03,,,
fhu_pikes_peak_sidewalks_20230403_row_0031,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,fhu_bid_tab_pikes_peak_sidewalks_2023_04_03,Cost Estimate Data Tracking-MASTER.xlsx,Pikes Peak SW,31,FHU-PIKES-PEAK-SW,23,210,CDOT,210,ADJUST PULL BOX,210,ADJUST PULL BOX,Each,EACH,1,,407.50,,source_cdot_prefix_only,2023-04-03,,,
