bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_ralston_yukon_garrison_20210205_row_0008,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,8,18-ST-40,1,COA 3.2,COA,COA 3.2,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,50000.00,103247.10,201-00000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0009,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,9,18-ST-40,2,COA 3.5,COA,COA 3.5,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,EA,EACH,41.00,800.00,1135.12,202-00010,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0010,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,10,18-ST-40,3,COA 3.5,COA,COA 3.5,REMOVAL OF INLET,202-00019,REMOVAL OF INLET,EA,EACH,17.00,1500.00,1420.82,202-00019,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0011,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,11,18-ST-40,4,COA 3.5,COA,COA 3.5,REMOVAL OF MANHOLE,202-00021,REMOVAL OF MANHOLE,EA,EACH,4.00,1500.00,1894.33,202-00021,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0012,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,12,18-ST-40,5,COA 3.5,COA,COA 3.5,REMOVAL OF FIRE HYDRANT,202-00031,REMOVAL OF FIRE HYDRANT,EA,EACH,14.00,3500.00,1256.58,202-00031,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0013,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,13,18-ST-40,6,COA 3.5,COA,COA 3.5,REMOVAL OF VALVE,202-00032,REMOVAL OF VALVE,EA,EACH,17.00,800.00,902.87,202-00032,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0014,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,14,18-ST-40,7,COA 3.5,COA,COA 3.5,REMOVAL OF PIPE (STORM SEWERS),202-00033,REMOVAL OF PIPE (STORM SEWERS),EA,EACH,34.00,2000.00,1568.85,202-00033,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0015,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,15,18-ST-40,8,COA 3.5,COA,COA 3.5,REMOVAL OF FIBER OPTIC CABLE,202-00055,REMOVAL OF FIBER OPTIC CABLE,LF,LF,2700.00,2.00,1.72,202-00055,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0016,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,16,18-ST-40,9,COA 3.5,COA,COA 3.5,REMOVAL OF WALL,202-00155,REMOVAL OF WALL,LF,LF,1297.00,40.00,20.61,202-00155,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0017,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,17,18-ST-40,10,COA 3.5,COA,COA 3.5,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,200.00,19.00,20.97,202-00190,matched,2021-02-05
