bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_watson_20211216_row_0019,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,19,320150,,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,LS,L S,1.00,45000.00,95289.61,201-00000,matched,2021-12-16
fhu_watson_20211216_row_0020,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,20,320150,,202-00031,CDOT,202-00031,REMOVAL OF FIRE HYDRANT,202-00031,REMOVAL OF FIRE HYDRANT,EACH,EACH,1.00,3000.00,5845.41,202-00031,matched,2021-12-16
fhu_watson_20211216_row_0021,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,21,320150,,202-00032,CDOT,202-00032,REMOVAL OF VALVE BOX,202-00032,REMOVAL OF VALVE BOX,EACH,EACH,1.00,750.00,405.93,202-00032,matched,2021-12-16
fhu_watson_20211216_row_0022,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,22,320150,,202-00035,CDOT,202-00035,REMOVAL OF PIPE,202-00035,REMOVAL OF PIPE,LF,LF,10.00,50.00,107.84,202-00035,matched,2021-12-16
fhu_watson_20211216_row_0023,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,23,320150,,202-00200,CDOT,202-00200,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,SY,SY,715.00,25.00,14.56,202-00200,matched,2021-12-16
fhu_watson_20211216_row_0024,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,24,320150,,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,LF,LF,371.00,5.00,10.66,202-00202,matched,2021-12-16
fhu_watson_20211216_row_0025,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,25,320150,,202-00203,CDOT,202-00203,REMOVAL OF CURB AND GUTTER,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,2272.00,4.00,6.17,202-00203,matched,2021-12-16
fhu_watson_20211216_row_0026,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,26,320150,,202-00206,CDOT,202-00206,REMOVAL OF CONCRETE CURB RAMP,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,37.00,29.00,35.34,202-00206,matched,2021-12-16
fhu_watson_20211216_row_0027,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,27,320150,,202-00220,CDOT,202-00220,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,SY,SY,5635.00,8.00,8.81,202-00220,matched,2021-12-16
fhu_watson_20211216_row_0028,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,28,320150,,202-00240,CDOT,202-00240,REMOVAL OF ASPHALT MAT (PLANING),202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,SY,1390.00,5.00,13.62,202-00240,matched,2021-12-16
