bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_watson_20211216_row_0019,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0020,202-00031,REMOVAL OF FIRE HYDRANT,EACH,202-00031,Removal of Fire Hydrant,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0022,202-00035,REMOVAL OF PIPE,LF,202-00035,Removal of Pipe,LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0023,202-00200,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0024,202-00202,REMOVAL OF GUTTER,LF,202-00202,Removal of Gutter,LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0025,202-00203,REMOVAL OF CURB AND GUTTER,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0026,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0027,202-00220,REMOVAL OF ASPHALT MAT,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0028,202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,202-00240,Removal of Asphalt Mat (Planing),SY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0029,202-00250,REMOVAL OF PAVEMENT MARKING,SF,202-00250,Removal of Pavement Marking,SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0030,202-00700,REMOVAL OF LIGHT STANDARD,EACH,202-00700,Removal of Light Standard,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0031,202-00705,REMOVAL OF LIGHT STANDARD FOUNDATION,EACH,202-00705,Removal of Light Standard Foundation,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0032,202-00810,REMOVAL OF GROUND SIGN,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0033,202-00821,REMOVAL OF SIGN PANEL,EACH,202-00821,Removal of Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0034,202-00827,REMOVAL OF PULL BOX,EACH,202-00827,Removal of Pull Box,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0035,202-01130,REMOVAL OF GUARDRAIL TYPE 3,LF,202-01130,Removal of Guardrail Type 3,LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0036,202-01300,REMOVAL OF END ANCHORAGE,EACH,202-01300,Removal of End Anchorage,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0037,202-04002,CLEAN CULVERT,EACH,202-04002,Clean Culvert,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0038,202-04005,CLEAN VALVE BOX,EACH,202-04005,Clean Valve Box,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0039,202-05026,SAWING ASPHALT MATERIAL (6 INCH),LF,202-05026,Sawing Asphalt Material (6 Inch),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0040,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,203-00010,Unclassified Excavation (Complete In Place),CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0041,203-00100,MUCK EXCAVATION,CY,203-00100,Muck Excavation,CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0042,203-01597,POTHOLING,HOUR,203-01597,Potholing,HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0043,206-00530,FILTER MATERIAL (CLASS C),CY,206-00530,Filter Material (Class C),CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0044,207-00205,TOPSOIL,CY,207-00205,Topsoil,CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0045,208-00002,EROSION LOG TYPE 1 (12 INCH),LF,208-00002,Erosion Log Type 1 (12 Inch),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0046,208-00009,EROSION LOG TYPE 2 (18 INCH),LF,208-00009,Erosion Log Type 2 (18 Inch),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0047,208-00035,AGGREGATE BAG,LF,208-00035,Aggregate Bag,LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0048,208-00046,PRE-FABRICATED CONCRETE WASHOUT STRUCTURE (TYPE 1),EACH,208-00046,Pre-fabricated Concrete Washout Structure (Type 1),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0049,208-00051,STORM DRAIN INLET PROTECTION (TYPE I),LF,208-00051,Storm Drain Inlet Protection (Type I),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0050,208-00052,STORM DRAIN INLET PROTECTION (TYPE II),LF,208-00052,Storm Drain Inlet Protection (Type II),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0051,208-00075,PRE-FABRICATED VEHICLE TRACKING PAD,EACH,208-00075,Pre-fabricated Vehicle Tracking Pad,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0052,208-00103,REMOVAL AND DISPOSAL OF SEDIMENT (LABOR),HOUR,208-00103,Removal and Disposal of Sediment (Labor),HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0053,208-00105,REMOVAL AND DISPOSAL OF SEDIMENT (EQUIPMENT),HOUR,208-00105,Removal and Disposal of Sediment (Equipment),HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0054,208-00106,SWEEPING (SEDIMENT REMOVAL),HOUR,208-00106,Sweeping (Sediment Removal),HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0055,208-00107,REMOVAL OF TRASH,HOUR,208-00107,Removal of Trash,HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0056,208-00207,EROSION CONTROL MANAGEMENT,DAY,208-00207,Erosion Control Management,DAY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0057,208-00400,WATER CONTROL,L S,208-00400,Water Control,L S,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0058,210-00750,RESET LIGHT STANDARD,EACH,210-00750,Reset Light Standard,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0059,210-00810,RESET GROUND SIGN,EACH,210-00810,Reset Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0060,210-00815,RESET SIGN PANEL,EACH,210-00815,Reset Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0061,210-00827,RESET PULL BOX,EACH,210-00827,Reset Pull Box,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0062,210-04050,ADJUST VALVE BOX,EACH,210-04050,Adjust Valve Box,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0063,210-04010,ADJUST MANHOLE,EACH,210-04010,Adjust Manhole,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0065,212-00032,SOIL CONDITIONING,ACRE,212-00032,Soil Conditioning,ACRE,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0067,212-00701,COMPOST (MECHANICALLY APPLIED),CY,212-00701,Compost (Mechanically Applied),CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0068,212-00703,HUMATE,LB,212-00703,Humate,LB,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0069,212-00704,MYCORRHIZAE,LB,212-00704,Mycorrhizae,LB,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0070,212-00706,SEEDING (NATIVE) DRILL,ACRE,212-00706,Seeding (Native) Drill,ACRE,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0071,213-00003,MULCHING (WEED FREE),ACRE,213-00003,Mulching (Weed Free),ACRE,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0074,213-00462,METAL LANDSCAPE BORDER (3/16 X 5-1/2 INCH),LF,213-00462,Metal Landscape Border (3/16 X 5-1/2 Inch),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0076,214-00220,DECIDUOUS TREE (2 INCH CALIPER),EACH,214-00220,Deciduous Tree (2 Inch Caliper),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0077,214-00225,DECIDUOUS TREE (2.5 INCH CALIPER),EACH,214-00225,Deciduous Tree (2.5 Inch Caliper),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0079,214-00508,EVERGREEN TREE (8 FOOT) (BALL AND BURLAP),EACH,214-00508,Evergreen Tree (8 Foot) (Ball and Burlap),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0080,214-00512,EVERGREEN TREE (12 FOOT) (BALL AND BURLAP),EACH,214-00512,Evergreen Tree (12 Foot) (Ball and Burlap),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0084,217-00020,HERBICIDE TREATMENT,HOUR,217-00020,Herbicide Treatment,HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0085,240-00000,WILDLIFE BIOLOGIST,HOUR,240-00000,Wildlife Biologist,HOUR,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0086,304-01005,AGGREGATE BASE COURSE (CLASS 1),CY,304-01005,Aggregate Base Course (Class 1),CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0087,304-06007,AGGREGATE BASE COURSE (CLASS 6),CY,304-06007,Aggregate Base Course (Class 6),CY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0089,403-34721,HOT MIX ASPHALT (GRADING SX) (75) (PG 58-34),TON,403-34731,Hot Mix Asphalt (Grading SX) (75) (PG 58-34),TON,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0090,411-10253,EMULSIFIED ASPHALT (CSS-1H),GAL,411-10253,Emulsified Asphalt (CSS-1H),GAL,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0091,412-00801,CONCRETE PAVEMENT (8 INCH) (SPECIAL),SY,412-00801,Concrete Pavement (8 Inch) (Special),SY,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0095,508-00520,INSULATION MATERIAL (2 INCH),SF,508-00520,Insulation Material (2 Inch),SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0101,604-00310,INLET TYPE C (10 FOOT),EACH,604-00310,Inlet Type C (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0103,604-16510,INLET TYPE 16 (DOUBLE) (10 FOOT),EACH,604-16510,Inlet Type 16 (Double) (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0104,604-16610,INLET TYPE 16 (TRIPLE) (10 FOOT),EACH,604-16610,Inlet Type 16 (Triple) (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0105,604-19110,INLET TYPE R L 5 (10 FOOT),EACH,604-19110,Inlet Type R L 5 (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0108,604-30010,MANHOLE SLAB BASE (10 FOOT),EACH,604-30010,Manhole Slab Base (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0109,604-30015,MANHOLE SLAB BASE (15 FOOT),EACH,604-30015,Manhole Slab Base (15 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0110,604-39000,MANHOLE (SPECIAL),EACH,604-39000,Manhole Special,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0111,606-00302,GUARDRAIL TYPE 3 (31 INCH MIDWEST GUARDRAIL SYSTEM),LF,606-00302,Guardrail Type 3 (31 Inch Midwest Guardrail System),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0112,606-01340,END ANCHORAGE TYPE 3D,EACH,606-01340,End Anchorage Type 3D,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0113,606-02003,END ANCHORAGE (NONFLARED),EACH,606-02003,End Anchorage (Nonflared),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0114,607-11525,FENCE (PLASTIC),LF,607-11525,Fence (Plastic),LF,1,single_exact_description_unit_candidate
