bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_west_colfax_phase_1_20241003_row_0008_chato_s_concrete_llc,fhu_west_colfax_phase_1_20241003_row_0008,fhu_west_colfax_phase_1_20241003_chato_s_concrete_llc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,201-00000,Clearing and Grubbing,LS,L S,1,15000.00,15000.00
fhu_west_colfax_phase_1_20241003_row_0008_american_west_construction_llc,fhu_west_colfax_phase_1_20241003_row_0008,fhu_west_colfax_phase_1_20241003_american_west_construction_llc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,201-00000,Clearing and Grubbing,LS,L S,1,16000.00,16000.00
fhu_west_colfax_phase_1_20241003_row_0008_fnf_construction_inc,fhu_west_colfax_phase_1_20241003_row_0008,fhu_west_colfax_phase_1_20241003_fnf_construction_inc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,201-00000,Clearing and Grubbing,LS,L S,1,21400.00,21400.00
fhu_west_colfax_phase_1_20241003_row_0008_goodland_construction_inc,fhu_west_colfax_phase_1_20241003_row_0008,fhu_west_colfax_phase_1_20241003_goodland_construction_inc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,201-00000,Clearing and Grubbing,LS,L S,1,87100.00,87100.00
fhu_west_colfax_phase_1_20241003_row_0008_jalisco_international_inc,fhu_west_colfax_phase_1_20241003_row_0008,fhu_west_colfax_phase_1_20241003_jalisco_international_inc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,201-00000,Clearing and Grubbing,LS,L S,1,50000.00,50000.00
fhu_west_colfax_phase_1_20241003_row_0009_chato_s_concrete_llc,fhu_west_colfax_phase_1_20241003_row_0009,fhu_west_colfax_phase_1_20241003_chato_s_concrete_llc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,202-00009,Tree Trimming,LS,L S,1,5000.00,5000.00
fhu_west_colfax_phase_1_20241003_row_0009_american_west_construction_llc,fhu_west_colfax_phase_1_20241003_row_0009,fhu_west_colfax_phase_1_20241003_american_west_construction_llc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,202-00009,Tree Trimming,LS,L S,1,2200.00,2200.00
fhu_west_colfax_phase_1_20241003_row_0009_fnf_construction_inc,fhu_west_colfax_phase_1_20241003_row_0009,fhu_west_colfax_phase_1_20241003_fnf_construction_inc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,202-00009,Tree Trimming,LS,L S,1,9600.00,9600.00
fhu_west_colfax_phase_1_20241003_row_0009_goodland_construction_inc,fhu_west_colfax_phase_1_20241003_row_0009,fhu_west_colfax_phase_1_20241003_goodland_construction_inc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,202-00009,Tree Trimming,LS,L S,1,1885.00,1885.00
fhu_west_colfax_phase_1_20241003_row_0009_jalisco_international_inc,fhu_west_colfax_phase_1_20241003_row_0009,fhu_west_colfax_phase_1_20241003_jalisco_international_inc,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,202-00009,Tree Trimming,LS,L S,1,2200.00,2200.00
