bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_colfax_phase_1_20241003_row_0008,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,8,Bid No. 6039,1,201-00000,CDOT,201-00000,Clearing and Grubbing,201-00000,Clearing and Grubbing,LS,L S,1,30000.00,37900.00,201-00000,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0009,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,9,Bid No. 6039,2,202-00009,CDOT,202-00009,Tree Trimming,202-00009,Tree Trimming,LS,L S,1,12000.00,4177.00,202-00009,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0010,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,10,Bid No. 6039,3,202-00010,CDOT,202-00010,Removal of Tree,202-00010,Removal of Tree,EACH,EACH,11,1000.00,1241.60,202-00010,matched,2024-10-03,11,,
fhu_west_colfax_phase_1_20241003_row_0011,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,11,Bid No. 6039,4,202-00190,CDOT,202-00190,Removal of Concrete Median Cover Material,202-00190,Removal of Concrete Median Cover Material,SY,SY,1463,15.00,22.20,202-00190,matched,2024-10-03,1463,,
fhu_west_colfax_phase_1_20241003_row_0012,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,12,Bid No. 6039,5,202-00203,CDOT,202-00203,Removal of Curb and Gutter,202-00203,Removal of Curb and Gutter,LF,LF,10475,10.00,8.16,202-00203,matched,2024-10-03,10475,,
fhu_west_colfax_phase_1_20241003_row_0013,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,13,Bid No. 6039,6,202-00210,CDOT,202-00210,Removal of Concrete Pavement,202-00210,Removal of Concrete Pavement,SY,SY,2028,80.00,53.00,202-00210,matched,2024-10-03,2028,,
fhu_west_colfax_phase_1_20241003_row_0014,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,14,Bid No. 6039,7,202-00220,CDOT,202-00220,Removal of Asphalt Mat,202-00220,Removal of Asphalt Mat,SY,SY,6891,20.00,22.80,202-00220,matched,2024-10-03,6914,,
fhu_west_colfax_phase_1_20241003_row_0015,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,15,Bid No. 6039,8,202-00250,CDOT,202-00250,Removal of Pavement Marking,202-00250,Removal of Pavement Marking,SF,SF,2224,5.00,3.15,202-00250,matched,2024-10-03,2224,,
fhu_west_colfax_phase_1_20241003_row_0016,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,16,Bid No. 6039,9,202-00810,CDOT,202-00810,Removal of Ground Sign,202-00810,Removal of Ground Sign,EACH,EACH,32,150.00,158.00,202-00810,matched,2024-10-03,32,,
fhu_west_colfax_phase_1_20241003_row_0017,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,17,Bid No. 6039,10,202-00831,CDOT,202-00831,Removal of Traffic Signal Head,202-00831,Removal of Traffic Signal Head,EACH,EACH,5,200.00,222.53,202-00831,matched,2024-10-03,5,,
fhu_west_colfax_phase_1_20241003_row_0018,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,18,Bid No. 6039,11,202-04001,CDOT,202-04001,Plug Culvert,202-04001,Plug Culvert,EACH,EACH,7,2400.00,1578.00,202-04001,matched,2024-10-03,11,,
fhu_west_colfax_phase_1_20241003_row_0019,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,19,Bid No. 6039,12,203-00060,CDOT,203-00060,Embankment Material (Complete In Place),203-00060,Embankment Material (Complete In Place),CY,CY,1534,55.00,56.60,203-00060,matched,2024-10-03,1534,,
fhu_west_colfax_phase_1_20241003_row_0020,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,20,Bid No. 6039,13,203-01597,CDOT,203-01597,Potholing,203-01597,Potholing,HOUR,HOUR,200,300.00,285.00,203-01597,matched,2024-10-03,200,,
fhu_west_colfax_phase_1_20241003_row_0021,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,21,Bid No. 6039,14,207-00405,CDOT,207-00405,Topsoil (Special),207-00405,Topsoil (Special),CY,CY,1593,100.00,97.40,207-00405,matched,2024-10-03,1593,,
fhu_west_colfax_phase_1_20241003_row_0022,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,22,Bid No. 6039,15,208-00035,CDOT,208-00035,Aggregate Bag,208-00035,Aggregate Bag,LF,LF,29,12.00,26.40,208-00035,matched,2024-10-03,29,,
fhu_west_colfax_phase_1_20241003_row_0023,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,23,Bid No. 6039,16,208-00046,CDOT,208-00046,Pre-fabricated Concrete Washout Structure (Type 1),208-00046,Pre-fabricated Concrete Washout Structure (Type 1),EACH,EACH,5,1000.00,3850.00,208-00046,matched,2024-10-03,5,,
