bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_colfax_phase_1_20241003_row_0008,201-00000,Clearing and Grubbing,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0009,202-00009,Tree Trimming,L S,202-00009,Tree Trimming,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0010,202-00010,Removal of Tree,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0011,202-00190,Removal of Concrete Median Cover Material,SY,202-00190,Removal of Concrete Median Cover Material,SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0012,202-00203,Removal of Curb and Gutter,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0013,202-00210,Removal of Concrete Pavement,SY,202-00210,Removal of Concrete Pavement,SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0014,202-00220,Removal of Asphalt Mat,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0015,202-00250,Removal of Pavement Marking,SF,202-00250,Removal of Pavement Marking,SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0016,202-00810,Removal of Ground Sign,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0017,202-00831,Removal of Traffic Signal Head,EACH,202-00831,Removal of Traffic Signal Head,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0018,202-04001,Plug Culvert,EACH,202-04001,Plug Culvert,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0019,203-00060,Embankment Material (Complete In Place),CY,203-00060,Embankment Material (Complete In Place),CY,1,single_exact_description_unit_candidate
