bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_west_mainstreet_20240208_row_0009_capital,fhu_west_mainstreet_20240208_row_0009,fhu_west_mainstreet_20240208_capital,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,CLEARING AND GRUBBING,Lump-Sum,L S,1,10061.07,10061.07
fhu_west_mainstreet_20240208_row_0009_concrete_express_inc,fhu_west_mainstreet_20240208_row_0009,fhu_west_mainstreet_20240208_concrete_express_inc,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,CLEARING AND GRUBBING,Lump-Sum,L S,1,36500.00,36500.00
fhu_west_mainstreet_20240208_row_0009_elite_surface_infrastructure,fhu_west_mainstreet_20240208_row_0009,fhu_west_mainstreet_20240208_elite_surface_infrastructure,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,CLEARING AND GRUBBING,Lump-Sum,L S,1,8650.00,8650.00
fhu_west_mainstreet_20240208_row_0009_goodland_construction_inc,fhu_west_mainstreet_20240208_row_0009,fhu_west_mainstreet_20240208_goodland_construction_inc,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,CLEARING AND GRUBBING,Lump-Sum,L S,1,20555.00,20555.00
fhu_west_mainstreet_20240208_row_0009_jalisco_international_inc,fhu_west_mainstreet_20240208_row_0009,fhu_west_mainstreet_20240208_jalisco_international_inc,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,CLEARING AND GRUBBING,Lump-Sum,L S,1,20000.00,20000.00
fhu_west_mainstreet_20240208_row_0009_native_sun_construction,fhu_west_mainstreet_20240208_row_0009,fhu_west_mainstreet_20240208_native_sun_construction,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,CLEARING AND GRUBBING,Lump-Sum,L S,1,20931.88,20931.88
fhu_west_mainstreet_20240208_row_0010_capital,fhu_west_mainstreet_20240208_row_0010,fhu_west_mainstreet_20240208_capital,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,REMOVAL OF TREE,Each,EACH,2,1709.61,3419.22
fhu_west_mainstreet_20240208_row_0010_concrete_express_inc,fhu_west_mainstreet_20240208_row_0010,fhu_west_mainstreet_20240208_concrete_express_inc,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,REMOVAL OF TREE,Each,EACH,2,1000.00,2000.00
fhu_west_mainstreet_20240208_row_0010_elite_surface_infrastructure,fhu_west_mainstreet_20240208_row_0010,fhu_west_mainstreet_20240208_elite_surface_infrastructure,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,REMOVAL OF TREE,Each,EACH,2,885.00,1770.00
fhu_west_mainstreet_20240208_row_0010_goodland_construction_inc,fhu_west_mainstreet_20240208_row_0010,fhu_west_mainstreet_20240208_goodland_construction_inc,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,REMOVAL OF TREE,Each,EACH,2,1396.00,2792.00
fhu_west_mainstreet_20240208_row_0010_jalisco_international_inc,fhu_west_mainstreet_20240208_row_0010,fhu_west_mainstreet_20240208_jalisco_international_inc,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,REMOVAL OF TREE,Each,EACH,2,500.00,1000.00
fhu_west_mainstreet_20240208_row_0010_native_sun_construction,fhu_west_mainstreet_20240208_row_0010,fhu_west_mainstreet_20240208_native_sun_construction,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,,REMOVAL OF TREE,Each,EACH,2,1386.75,2773.50
