bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_mainstreet_20240208_row_0009,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,9,CIP22-043-CI,1,201,CDOT,201,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,Lump-Sum,L S,1,,19449.66,201-00000,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0010,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,10,CIP22-043-CI,2,202,CDOT,202,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,Each,EACH,2,,1146.23,202-00010,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0011,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,11,CIP22-043-CI,3,202,CDOT,202,REMOVAL OF MEDIAN COVER,202-00195,REMOVAL OF MEDIAN COVER,Square Yard,SY,437,,19.10,202-00195,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0012,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,12,CIP22-043-CI,4,202,CDOT,202,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,227,,23.20,202-00200,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0013,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,13,CIP22-043-CI,5,202,CDOT,202,REMOVAL OF CURB,202,REMOVAL OF CURB,Linear Foot/Feet,LINEAR FOOT/FEET,1482,,9.79,,source_cdot_prefix_only,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0014,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,14,CIP22-043-CI,6,202,CDOT,202,REMOVAL OF CURB AND GUTTER,202,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,481,,12.16,,source_cdot_prefix_only,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0015,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,15,CIP22-043-CI,7,202,CDOT,202,REMOVAL OF CONCRETE CURB RAMP,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,11,,31.89,202-00206,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0016,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,16,CIP22-043-CI,8,202,CDOT,202,REMOVAL OF CONCRETE PAVEMENT,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,430,,42.81,202-00210,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0017,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,17,CIP22-043-CI,9,202,CDOT,202,REMOVAL OF LIGHT STANDARD,202-00700,REMOVAL OF LIGHT STANDARD,Each,EACH,2,,1611.35,202-00700,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0018,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,18,CIP22-043-CI,10,202,CDOT,202,REMOVAL OF GROUND SIGN,202-00810,REMOVAL OF GROUND SIGN,Each,EACH,1,,273.52,202-00810,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0019,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,19,CIP22-043-CI,11,202,CDOT,202,REMOVAL OF PULL BOX,202-00827,REMOVAL OF PULL BOX,Each,EACH,5,,520.45,202-00827,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0020,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,20,CIP22-043-CI,12,202,CDOT,202,REMOVAL OF TRAFFIC SIGNAL HEAD,202-00831,REMOVAL OF TRAFFIC SIGNAL HEAD,Each,EACH,11,,246.96,202-00831,matched,2024-02-08,,,
fhu_west_mainstreet_20240208_row_0021,fhu_bid_tab_west_mainstreet_2024_02_08_cip22_043_ci,fhu_bid_tab_west_mainstreet_2024_02_08,Cost Estimate Data Tracking-MASTER.xlsx,West Mainstreet,21,CIP22-043-CI,13,202,CDOT,202,REMOVAL OF TRAFFIC SIGNAL POLE,202-00840,REMOVAL OF TRAFFIC SIGNAL POLE,Each,EACH,1,,5706.79,202-00840,matched,2024-02-08,,,
