bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_mainstreet_20240208_row_0009,201,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0010,202,REMOVAL OF TREE,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0011,202,REMOVAL OF MEDIAN COVER,SY,202-00195,Removal of Median Cover,SY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0012,202,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0015,202,REMOVAL OF CONCRETE CURB RAMP,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0016,202,REMOVAL OF CONCRETE PAVEMENT,SY,202-00210,Removal of Concrete Pavement,SY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0017,202,REMOVAL OF LIGHT STANDARD,EACH,202-00700,Removal of Light Standard,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0018,202,REMOVAL OF GROUND SIGN,EACH,202-00810,Removal of Ground Sign,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0019,202,REMOVAL OF PULL BOX,EACH,202-00827,Removal of Pull Box,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0020,202,REMOVAL OF TRAFFIC SIGNAL HEAD,EACH,202-00831,Removal of Traffic Signal Head,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0021,202,REMOVAL OF TRAFFIC SIGNAL POLE,EACH,202-00840,Removal of Traffic Signal Pole,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0022,203,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,203-00010,Unclassified Excavation (Complete In Place),CY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0023,203,UNSUITABLE MATERIAL,CY,203-00050,Unsuitable Material,CY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0024,203,POTHOLING,HOUR,203-01597,Potholing,HOUR,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0025,207,TOPSOIL,CY,207-00205,Topsoil,CY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0028,208,CONCRETE WASHOUT STRUCTURE,EACH,208-00045,Concrete Washout Structure,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0033,208,EROSION CONTROL MANAGEMENT,DAY,208-00207,Erosion Control Management,DAY,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0034,210,RESET LUMINAIRE,EACH,210-00760,Reset Luminaire,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0035,210,RESET GROUND SIGN,EACH,210-00810,Reset Ground Sign,EACH,1,single_exact_description_unit_candidate
