bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_colorado_blvd_20260601_row_0009,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,9,FHU-COLORADO-BLVD,1,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,L S,L S,1,100000.00,,201-00000,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0010,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,10,FHU-COLORADO-BLVD,2,240-00000,CDOT,240-00000,WILDLIFE BIOLOGIST,240-00000,WILDLIFE BIOLOGIST,HOUR,HOUR,16,500.00,,240-00000,matched,2026-06-01,16,,
fhu_colorado_blvd_20260601_row_0011,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,11,FHU-COLORADO-BLVD,3,240-00010,CDOT,240-00010,REMOVAL OF NESTS,240-00010,REMOVAL OF NESTS,HOUR,HOUR,16,120.00,,240-00010,matched,2026-06-01,16,,
fhu_colorado_blvd_20260601_row_0012,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,12,FHU-COLORADO-BLVD,4,620-00020,CDOT,620-00020,SANITARY FACILITY,620-00020,SANITARY FACILITY,EACH,EACH,1,6500.00,,620-00020,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0013,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,13,FHU-COLORADO-BLVD,5,625-00000,CDOT,625-00000,CONSTRUCTION SURVEYING,625-00000,CONSTRUCTION SURVEYING,L S,L S,1,125000.00,,625-00000,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0014,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,14,FHU-COLORADO-BLVD,6,626-00000,CDOT,626-00000,MOBILIZATION,626-00000,MOBILIZATION,L S,L S,1,550000.00,,626-00000,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0015,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,15,FHU-COLORADO-BLVD,7,626-01113,CDOT,626-01113,PUBLIC INFORMATION MANAGEMENT (TIER III),626-01113,PUBLIC INFORMATION MANAGEMENT (TIER III),DAY,DAY,272,250.00,,626-01113,matched,2026-06-01,272,,
fhu_colorado_blvd_20260601_row_0016,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,16,FHU-COLORADO-BLVD,8,700-70010,CDOT,700-70010,F/A MINOR CONTRACT REVISIONS,700-70010,F/A MINOR CONTRACT REVISIONS,F A,F A,1,400000.00,,700-70010,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0017,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,17,FHU-COLORADO-BLVD,9,700-70016,CDOT,700-70016,F/A FUEL COST ADJUSTMENT,700-70016,F/A FUEL COST ADJUSTMENT,F A,F A,1,20000.00,,700-70016,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0018,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,18,FHU-COLORADO-BLVD,10,700-70019,CDOT,700-70019,F/A ASPHALT CEMENT COST ADJUSTMENT,700-70019,F/A ASPHALT CEMENT COST ADJUSTMENT,F A,F A,1,20000.00,,700-70019,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0019,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,19,FHU-COLORADO-BLVD,11,700-70023,CDOT,700-70023,F/A ON-THE-JOB TRAINEE,700-70023,F/A ON-THE-JOB TRAINEE,F A,F A,1,15000.00,,700-70023,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0020,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,20,FHU-COLORADO-BLVD,12,700-70031,CDOT,700-70031,F/A INTERIM SURFACE REPAIR,700-70031,F/A INTERIM SURFACE REPAIR,F A,F A,1,10000.00,,700-70031,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0021,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,21,FHU-COLORADO-BLVD,13,700-70380,CDOT,700-70380,F/A EROSION CONTROL,700-70380,F/A EROSION CONTROL,F A,F A,1,5000.00,,700-70380,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0022,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,22,FHU-COLORADO-BLVD,14,700-70586,CDOT,700-70586,F/A DEWATERING,700-70586,F/A DEWATERING,F A,F A,1,10000.00,,700-70586,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0023,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,23,FHU-COLORADO-BLVD,15,700-70589,CDOT,700-70589,F/A ENVIRONMENTAL HEALTH & SAFETY MANAGEMENT,700-70589,F/A ENVIRONMENTAL HEALTH & SAFETY MANAGEMENT,F A,F A,1,10000.00,,700-70589,matched,2026-06-01,1,,
fhu_colorado_blvd_20260601_row_0025,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,25,FHU-COLORADO-BLVD,16,202-00200,CDOT,202-00200,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,SY,SY,5354,18.00,,202-00200,matched,2026-06-01,5354,,
fhu_colorado_blvd_20260601_row_0026,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,26,FHU-COLORADO-BLVD,17,202-00201,CDOT,202-00201,REMOVAL OF CURB,202-00201,REMOVAL OF CURB,LF,LF,229,15.00,,202-00201,matched,2026-06-01,229,,
fhu_colorado_blvd_20260601_row_0027,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,27,FHU-COLORADO-BLVD,18,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,LF,LF,213,28.00,,202-00202,matched,2026-06-01,213,,
fhu_colorado_blvd_20260601_row_0028,fhu_estimate_colorado_blvd_2026_06_01_centennial,fhu_estimate_colorado_blvd_2026_06_01,Cost Estimate Data Tracking-MASTER.xlsx,Colorado Blvd,28,FHU-COLORADO-BLVD,19,202-00203,CDOT,202-00203,REMOVAL OF CURB AND GUTTER,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,10022,20.00,,202-00203,matched,2026-06-01,10022,,
