bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_colorado_blvd_20260601_row_0009,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0010,240-00000,WILDLIFE BIOLOGIST,HOUR,240-00000,Wildlife Biologist,HOUR,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0011,240-00010,REMOVAL OF NESTS,HOUR,240-00010,Removal of Nests,HOUR,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0012,620-00020,SANITARY FACILITY,EACH,620-00020,Sanitary Facility,EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0013,625-00000,CONSTRUCTION SURVEYING,L S,625-00000,Construction Surveying,L S,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0014,626-00000,MOBILIZATION,L S,626-00000,Mobilization,L S,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0015,626-01113,PUBLIC INFORMATION MANAGEMENT (TIER III),DAY,626-01113,Public Information Management (Tier III),DAY,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0016,700-70010,F/A MINOR CONTRACT REVISIONS,F A,700-70010,F/A Minor Contract Revisions,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0017,700-70016,F/A FUEL COST ADJUSTMENT,F A,700-70016,F/A Fuel Cost Adjustment,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0018,700-70019,F/A ASPHALT CEMENT COST ADJUSTMENT,F A,700-70019,F/A Asphalt Cement Cost Adjustment,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0019,700-70023,F/A ON-THE-JOB TRAINEE,F A,700-70023,F/A On-The-Job Trainee,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0020,700-70031,F/A INTERIM SURFACE REPAIR,F A,700-70031,F/A Interim Surface Repair,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0021,700-70380,F/A EROSION CONTROL,F A,700-70380,F/A Erosion Control,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0023,700-70589,F/A ENVIRONMENTAL HEALTH & SAFETY MANAGEMENT,F A,700-70589,F/A Environmental Health & Safety Management,F A,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0025,202-00200,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0026,202-00201,REMOVAL OF CURB,LF,202-00201,Removal of Curb,LF,1,single_exact_description_unit_candidate
