bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_old_hampden_20260205_row_0011,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,11,FHU-OLD-HAMPDEN,1,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,LS,L S,1,5000.00,,201-00000,matched,2026-02-05,1,,
fhu_old_hampden_20260205_row_0012,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,12,FHU-OLD-HAMPDEN,2,202-00010,CDOT,202-00010,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,EA,EACH,2,1000.00,,202-00010,matched,2026-02-05,2,,
fhu_old_hampden_20260205_row_0013,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,13,FHU-OLD-HAMPDEN,3,202-00200,CDOT,202-00200,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,SY,SY,1987,20.00,,202-00200,matched,2026-02-05,1987,,
fhu_old_hampden_20260205_row_0014,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,14,FHU-OLD-HAMPDEN,4,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,LF,LF,288,27.00,,202-00202,matched,2026-02-05,288,,
fhu_old_hampden_20260205_row_0015,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,15,FHU-OLD-HAMPDEN,5,202-00203,CDOT,202-00203,REMOVAL OF CURB AND GUTTER,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,2688,25.00,,202-00203,matched,2026-02-05,2688,,
fhu_old_hampden_20260205_row_0016,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,16,FHU-OLD-HAMPDEN,6,202-00206,CDOT,202-00206,REMOVAL OF CONCRETE CURB RAMP,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,633,35.00,,202-00206,matched,2026-02-05,633,,
fhu_old_hampden_20260205_row_0017,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,17,FHU-OLD-HAMPDEN,7,202-00210,CDOT,202-00210,REMOVAL OF CONCRETE PAVEMENT,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,SY,637,40.00,,202-00210,matched,2026-02-05,637,,
fhu_old_hampden_20260205_row_0018,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,18,FHU-OLD-HAMPDEN,8,202-00220,CDOT,202-00220,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,SY,SY,10319,30.00,,202-00220,matched,2026-02-05,10319,,
fhu_old_hampden_20260205_row_0019,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,19,FHU-OLD-HAMPDEN,9,202-00240,CDOT,202-00240,REMOVAL OF ASPHALT MAT (PLANING),202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,SY,4130,5.00,,202-00240,matched,2026-02-05,4130,,
fhu_old_hampden_20260205_row_0020,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,20,FHU-OLD-HAMPDEN,10,203-00010,CDOT,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,CY,3451,45.00,,203-00010,matched,2026-02-05,3451,,
fhu_old_hampden_20260205_row_0021,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,21,FHU-OLD-HAMPDEN,11,203-00050,CDOT,203-00050,UNSUITABLE MATERIAL,203-00050,UNSUITABLE MATERIAL,CY,CY,37,200.00,,203-00050,matched,2026-02-05,37,,
fhu_old_hampden_20260205_row_0022,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,22,FHU-OLD-HAMPDEN,12,210-99995,CDOT,210-99995,RESET HAND RAIL,210-99995,RESET HAND RAIL,EA,EACH,4,500.00,,210-99995,matched,2026-02-05,4,,
fhu_old_hampden_20260205_row_0023,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,23,FHU-OLD-HAMPDEN,13,210-99996,CDOT,210-99996,RESET BENCH,210-99996,RESET BENCH,EA,EACH,2,500.00,,210-99996,matched,2026-02-05,2,,
fhu_old_hampden_20260205_row_0024,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,24,FHU-OLD-HAMPDEN,14,210-99998,CDOT,210-99998,RESET TRASH RECEPTACLE,210-99998,RESET TRASH RECEPTACLE,EA,EACH,1,500.00,,210-99998,matched,2026-02-05,1,,
fhu_old_hampden_20260205_row_0025,fhu_estimate_old_hampden_2026_02_05_old_hampden_complete_streets,fhu_estimate_old_hampden_2026_02_05,Cost Estimate Data Tracking-MASTER.xlsx,Old Hampden,25,FHU-OLD-HAMPDEN,15,211-03005,CDOT,211-03005,DEWATERING,211-03005,DEWATERING,LS,L S,1,10000.00,,211-03005,matched,2026-02-05,1,,
