bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_old_hampden_20260205_row_0011,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0012,202-00010,REMOVAL OF TREE,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0013,202-00200,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0014,202-00202,REMOVAL OF GUTTER,LF,202-00202,Removal of Gutter,LF,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0015,202-00203,REMOVAL OF CURB AND GUTTER,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0016,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0017,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,202-00210,Removal of Concrete Pavement,SY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0018,202-00220,REMOVAL OF ASPHALT MAT,SY,202-00220,Removal of Asphalt Mat,SY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0019,202-00240,REMOVAL OF ASPHALT MAT (PLANING),SY,202-00240,Removal of Asphalt Mat (Planing),SY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0020,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,203-00010,Unclassified Excavation (Complete In Place),CY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0021,203-00050,UNSUITABLE MATERIAL,CY,203-00050,Unsuitable Material,CY,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0025,211-03005,DEWATERING,L S,211-03005,Dewatering,L S,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0026,240-00000,WILDLIFE BIOLOGIST,HOUR,240-00000,Wildlife Biologist,HOUR,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0027,250-00010,ENVIRONMENTAL HEALTH AND SAFETY MANAGEMENT,L S,250-00010,Environmental Health and Safety Management,L S,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0028,250-00050,MONITORING TECHNICIAN,HOUR,250-00050,Monitoring Technician,HOUR,1,single_exact_description_unit_candidate
fhu_old_hampden_20260205_row_0029,250-00110,HEALTH AND SAFETY OFFICER,HOUR,250-00110,Health and Safety Officer,HOUR,1,single_exact_description_unit_candidate
