bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_colfax_phase_2_20260123_row_0005,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,5,FHU-W-COLFAX-PH2,1,201-00000,CDOT,201-00000,CLEARING AND GRUBBING,201-00000,CLEARING AND GRUBBING,L S,L S,1,80000.00,,201-00000,matched,2026-01-23,1,,
fhu_west_colfax_phase_2_20260123_row_0006,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,6,FHU-W-COLFAX-PH2,2,202-00002,CDOT,202-00002,REMOVAL OF STRUCTURE (SPECIAL),202-00002,REMOVAL OF STRUCTURE (SPECIAL),EACH,EACH,8,5000.00,,202-00002,matched,2026-01-23,8,,
fhu_west_colfax_phase_2_20260123_row_0007,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,7,FHU-W-COLFAX-PH2,3,202-00010,CDOT,202-00010,REMOVAL OF TREE,202-00010,REMOVAL OF TREE,EACH,EACH,6,1200.00,,202-00010,matched,2026-01-23,6,,
fhu_west_colfax_phase_2_20260123_row_0008,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,8,FHU-W-COLFAX-PH2,4,202-00019,CDOT,202-00019,REMOVAL OF INLET,202-00019,REMOVAL OF INLET,EACH,EACH,17,2500.00,,202-00019,matched,2026-01-23,17,,
fhu_west_colfax_phase_2_20260123_row_0009,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,9,FHU-W-COLFAX-PH2,5,202-00021,CDOT,202-00021,REMOVAL OF MANHOLE,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1,2500.00,,202-00021,matched,2026-01-23,1,,
fhu_west_colfax_phase_2_20260123_row_0010,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,10,FHU-W-COLFAX-PH2,6,202-00035,CDOT,202-00035,REMOVAL OF PIPE,202-00035,REMOVAL OF PIPE,LF,LF,663,65.00,,202-00035,matched,2026-01-23,663,,
fhu_west_colfax_phase_2_20260123_row_0011,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,11,FHU-W-COLFAX-PH2,7,202-00039,CDOT,202-00039,REMOVAL OF BOLLARD,202-00039,REMOVAL OF BOLLARD,EACH,EACH,2,100.00,,202-00039,matched,2026-01-23,2,,
fhu_west_colfax_phase_2_20260123_row_0012,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,12,FHU-W-COLFAX-PH2,8,202-00190,CDOT,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,SY,1491,25.00,,202-00190,matched,2026-01-23,1491,,
fhu_west_colfax_phase_2_20260123_row_0013,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,13,FHU-W-COLFAX-PH2,9,202-00200,CDOT,202-00200,REMOVAL OF SIDEWALK,202-00200,REMOVAL OF SIDEWALK,SY,SY,4288,10.00,,202-00200,matched,2026-01-23,4288,,
fhu_west_colfax_phase_2_20260123_row_0014,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,14,FHU-W-COLFAX-PH2,10,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,LF,LF,2615,20.00,,202-00202,matched,2026-01-23,2615,,
