bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_colfax_phase_2_20260123_row_0005,201-00000,CLEARING AND GRUBBING,L S,201-00000,Clearing and Grubbing,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0006,202-00002,REMOVAL OF STRUCTURE (SPECIAL),EACH,202-00002,Removal of Structure (Special),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0007,202-00010,REMOVAL OF TREE,EACH,202-00010,Removal of Tree,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0008,202-00019,REMOVAL OF INLET,EACH,202-00019,Removal of Inlet,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0009,202-00021,REMOVAL OF MANHOLE,EACH,202-00021,Removal of Manhole,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0010,202-00035,REMOVAL OF PIPE,LF,202-00035,Removal of Pipe,LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0011,202-00039,REMOVAL OF BOLLARD,EACH,202-00039,Removal of Bollard,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0012,202-00190,REMOVAL OF CONCRETE MEDIAN COVER MATERIAL,SY,202-00190,Removal of Concrete Median Cover Material,SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0013,202-00200,REMOVAL OF SIDEWALK,SY,202-00200,Removal of Sidewalk,SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0014,202-00202,REMOVAL OF GUTTER,LF,202-00202,Removal of Gutter,LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0015,202-00203,REMOVAL OF CURB AND GUTTER,LF,202-00203,Removal of Curb and Gutter,LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0016,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,202-00206,Removal of Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0017,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,202-00210,Removal of Concrete Pavement,SY,1,single_exact_description_unit_candidate
