index_id,index_name,period_year,period_quarter,period_label,period_start_date,period_end_date,index_value,source_url,notes
fhwa_nhcci_2003_q1,FHWA National Highway Construction Cost Index,2003,1,2003 Q1,2003-01-01,2003-03-31,1,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2003_q2,FHWA National Highway Construction Cost Index,2003,2,2003 Q2,2003-04-01,2003-06-30,1.009624,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2003_q3,FHWA National Highway Construction Cost Index,2003,3,2003 Q3,2003-07-01,2003-09-30,1.02399,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2003_q4,FHWA National Highway Construction Cost Index,2003,4,2003 Q4,2003-10-01,2003-12-31,1.021636,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2004_q1,FHWA National Highway Construction Cost Index,2004,1,2004 Q1,2004-01-01,2004-03-31,1.045945,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2004_q2,FHWA National Highway Construction Cost Index,2004,2,2004 Q2,2004-04-01,2004-06-30,1.100941,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2004_q3,FHWA National Highway Construction Cost Index,2004,3,2004 Q3,2004-07-01,2004-09-30,1.143055,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2004_q4,FHWA National Highway Construction Cost Index,2004,4,2004 Q4,2004-10-01,2004-12-31,1.149222,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2005_q1,FHWA National Highway Construction Cost Index,2005,1,2005 Q1,2005-01-01,2005-03-31,1.240895,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
fhwa_nhcci_2005_q2,FHWA National Highway Construction Cost Index,2005,2,2005 Q2,2005-04-01,2005-06-30,1.281448,https://data.transportation.gov/Research-and-Statistics/NHCCI/r94d-n4f9,Unadjusted FHWA NHCCI quarterly value from DOT public data portal.
