project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
demo_parker_e470_2026,E-470 Parker Road Mobility Improvements,Town of Parker / E-470,CO,Douglas / Denver Metro,Roadway,2026-02-18,demo_fhu_estimates_2026,,,,,,,,
demo_douglas_widening_2025,Douglas County Arterial Widening,Douglas County,CO,Douglas / Denver Metro,Roadway,2025-07-11,demo_cdot_costbook_2025,,,,,,,,
demo_adams_intersection_2025,Adams County Intersection Reconstruction,Adams County,CO,Adams / Denver Metro,Roadway,2025-04-22,demo_cdot_costbook_2025,,,,,,,,
demo_boulder_ada_2024,Boulder Multimodal ADA Package,City of Boulder,CO,Boulder / Front Range,Roadway,2024-09-16,demo_cdot_costbook_2025,,,,,,,,
demo_larimer_widening_2023,Larimer County Rural Widening,Larimer County,CO,Larimer / North Front Range,Roadway,2023-08-03,demo_cdot_costbook_2025,,,,,,,,
demo_jefferson_safety_2022,Jefferson County Roadway Safety Improvements,Jefferson County,CO,Jefferson / Denver Metro,Roadway,2022-05-19,demo_cdot_costbook_2025,,,,,,,,
cdot_2026q1_c_0852_130,SB SANTA FE TO EASTBOUND C470,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-02-11,cdot_cost_data_book_2026_q1,C 0852-130,C 0852-130 SB SANTA FE TO EASTBOUND C470,"AMES CONSTRUCTION, INC.",1,U,3,1251000.00,59.90
cdot_2026q1_cm570_071,GREELEY & EVANS,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-03-26,cdot_cost_data_book_2026_q1,CM570-071,CM570-071 GREELEY & EVANS,RDZ Build,4,P,8,739593.00,106.51
cdot_2026q1_cr400_408,CO157A - MP 0.277; 036B - MP 3,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-01-08,cdot_cost_data_book_2026_q1,CR400-408,CR400-408 CO157A - MP 0.277; 036B - MP 3,Lumin8 Transportation Tech.,4,U,6,885349.00,89.14
cdot_2026q1_er0852_129,SB SANTA FE TO EASTBOUND C470,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-01-30,cdot_cost_data_book_2026_q1,ER0852-129,ER0852-129 SB SANTA FE TO EASTBOUND C470,"AMES CONSTRUCTION, INC.",1,U,3,1251000.00,120.40
cdot_2026q1_fbr006a_078,ATWOOD TO STERLING (MP 398.2-4,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-01-15,cdot_cost_data_book_2026_q1,FBR006A-078,FBR006A-078 ATWOOD TO STERLING (MP 398.2-4,Harper Brothers Construction LLC,4,P,4,20722238.45,100.90
cdot_2026q1_fsa0252_509,I25 FROM MP 108.5 TO 115,CDOT,CO,Colorado / CDOT District 2,Roadway,2026-02-05,cdot_cost_data_book_2026_q1,FSA0252-509,FSA0252-509 I25 FROM MP 108.5 TO 115,"Siete, Inc.",2,R,2,3558000.00,114.77
cdot_2026q1_im025a_056,TRINIDAD,CDOT,CO,Colorado / CDOT District 2,Roadway,2026-02-19,cdot_cost_data_book_2026_q1,IM025A-056,IM025A-056 TRINIDAD,CONCRETE WORKS OF COLORADO INC.,2,U,5,2368693.10,87.73
cdot_2026q1_mtcer300_289,REGION 3,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-03-05,cdot_cost_data_book_2026_q1,MTCER300-289,MTCER300-289 REGION 3,"ROADSAFE TRAFFIC SYSTEMS, INC",3,M,2,288898.50,85.50
cdot_2026q1_mtcer500_236,REGION 5,CDOT,CO,Colorado / CDOT District 5,Roadway,2026-01-08,cdot_cost_data_book_2026_q1,MTCER500-236,MTCER500-236 REGION 5,"ROADSAFE TRAFFIC SYSTEMS, INC",5,R,3,1674227.00,96.06
cdot_2026q1_nhfpr100_433,R3 - Loma - 070A - MM 13.6,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-03-12,cdot_cost_data_book_2026_q1,NHFPR100-433,NHFPR100-433 R3 - Loma - 070A - MM 13.6,Drivewyze Ltd.,1,,5,2511351.69,125.57
cdot_2026q1_nhpp006a_080,US 6 MP 20-26 Resurfacing,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-03-19,cdot_cost_data_book_2026_q1,NHPP006A-080,NHPP006A-080 US 6 MP 20-26 Resurfacing,"OLDCASTLE SW GROUP, INC.",3,U,2,3067017.50,75.57
cdot_2026q1_nhpp0403_072,MM 221.5-226 US 40 GRAND COUNT,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-02-19,cdot_cost_data_book_2026_q1,NHPP0403-072,NHPP0403-072 MM 221.5-226 US 40 GRAND COUNT,"OLDCASTLE SW GROUP, INC.",3,M,2,4716276.25,111.22
cdot_2026q1_nhpp0403_076,US 40 & TONN VALLEY DRIVE,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-03-02,cdot_cost_data_book_2026_q1,NHPP0403-076,NHPP0403-076 US 40 & TONN VALLEY DRIVE,"CONCRETE EXPRESS, INC.",1,M,2,433473.20,114.07
cdot_2026q1_nhpp0501_081,"US50 MP 108-MP113, MONTROSE CO",CDOT,CO,Colorado / CDOT District 3,Roadway,2026-01-29,cdot_cost_data_book_2026_q1,NHPP0501-081,"NHPP0501-081 US50 MP 108-MP113, MONTROSE CO","AMERICAN WEST CONSTRUCTION, LLC",3,R,4,593455.00,47.82
cdot_2026q1_nhpp0702_422,I-70 AND SH 9 IN FRISCO,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-02-05,cdot_cost_data_book_2026_q1,NHPP0702-422,NHPP0702-422 I-70 AND SH 9 IN FRISCO,"ZAK DIRT, INC.",3,M,6,27114489.40,94.01
cdot_2026q1_nhpp0741_026,SH 74 DOWNTOWN EVERGREEN TO CO,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-01-08,cdot_cost_data_book_2026_q1,NHPP0741-026,NHPP0741-026 SH 74 DOWNTOWN EVERGREEN TO CO,"BRANNAN SAND AND GRAVEL, LLC",1,M,4,6365969.25,111.68
cdot_2026q1_nhpp1602_184,US 160 HIGH BRIDGE TO ELMORES,CDOT,CO,Colorado / CDOT District 5,Roadway,2026-01-08,cdot_cost_data_book_2026_q1,NHPP1602-184,NHPP1602-184 US 160 HIGH BRIDGE TO ELMORES,"Kilgore Companies, LLC",5,R,2,11227904.85,83.72
cdot_2026q1_nhpp4701_139,C-470 KEN CARYL TO WADSORTH,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-02-19,cdot_cost_data_book_2026_q1,NHPP4701-139,NHPP4701-139 C-470 KEN CARYL TO WADSORTH,"ASPHALT SPECIALTIES CO., INC.",1,R,4,14495525.35,106.58
cdot_2026q1_sftyr400_413,MULTIPLE CULVERTS IN REGION 4,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-02-05,cdot_cost_data_book_2026_q1,SFTYR400-413,SFTYR400-413 MULTIPLE CULVERTS IN REGION 4,"Whitaker Construction Co., Inc.",4,R,4,257788.00,60.84
cdot_2026q1_star100_429,Various locations on SH83 betw,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-01-29,cdot_cost_data_book_2026_q1,STAR100-429,STAR100-429 Various locations on SH83 betw,"CHATO'S CONCRETE, LLC",1,U,4,1576338.00,91.90
cdot_2026q1_stm006a_076,ATWOOD TO STERLING (MP 398.2-4,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-01-15,cdot_cost_data_book_2026_q1,STM006A-076,STM006A-076 ATWOOD TO STERLING (MP 398.2-4,Harper Brothers Construction LLC,4,P,4,20722238.45,100.90
cdot_2026q1_stm086a_059,CO86 (MM 15.3-16.3),CDOT,CO,Colorado / CDOT District 4,Roadway,2026-03-05,cdot_cost_data_book_2026_q1,STM086A-059,STM086A-059 CO86 (MM 15.3-16.3),"BRANNAN SAND AND GRAVEL, LLC",4,P,4,1427814.20,102.29
cdot_2026q1_str0241_069,SH 24 MP 166 TO 174,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-03-05,cdot_cost_data_book_2026_q1,STR0241-069,STR0241-069 SH 24 MP 166 TO 174,"OLDCASTLE SW GROUP, INC.",3,M,1,12299613.85,102.28
cdot_2026q1_str1151_043,SH 115A from M.P 14.0-18.0 thr,CDOT,CO,Colorado / CDOT District 2,Roadway,2026-02-05,cdot_cost_data_book_2026_q1,STR1151-043,STR1151-043 SH 115A from M.P 14.0-18.0 thr,"ACME CONCRETE PAVING, INC.",2,R,4,3683609.28,97.06
cdot_2026q1_strr200_289,"CO 10A, US 50B, CO 69A, CO 165",CDOT,CO,Colorado / CDOT District 2,Roadway,2026-01-22,cdot_cost_data_book_2026_q1,STRR200-289,"STRR200-289 CO 10A, US 50B, CO 69A, CO 165","TLM CONSTRUCTORS, INC.",2,R,6,1084179.78,57.06
cdot_2026q1_tap0703_530,HOGBACK TRAILS ADJACENT TO I-7,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-03-19,cdot_cost_data_book_2026_q1,TAP0703-530,TAP0703-530 HOGBACK TRAILS ADJACENT TO I-7,RDZ Build,1,M,3,2437169.75,143.36
cdot_2025q4_2670171_111,SH 17 FROM APPROXIMATE MP 2.4,CDOT,CO,Colorado / CDOT District 5,Roadway,2025-12-04,cdot_cost_data_book_2025_q4,2670171-111,2670171-111 SH 17 FROM APPROXIMATE MP 2.4,"OLDCASTLE SW GROUP, INC.",5,R,1,9174121.50,105.58
cdot_2025q4_2670252_499,I-25:MOBILITY HUB (LONE TREE),CDOT,CO,Colorado / CDOT District 1,Roadway,2025-01-16,cdot_cost_data_book_2025_q4,2670252-499,2670252-499 I-25:MOBILITY HUB (LONE TREE),"STRUCTURES, INC.",1,R,6,16509889.28,142.33
cdot_2025q4_br0402_109,US40 MP 108.4 OVER SHELTON DIT,CDOT,CO,Colorado / CDOT District 3,Roadway,2025-12-18,cdot_cost_data_book_2025_q4,BR0402-109,BR0402-109 US40 MP 108.4 OVER SHELTON DIT,"OLDCASTLE SW GROUP, INC.",3,M,5,2440781.14,152.07
cdot_2025q4_br0704_265,I-70 EAST,CDOT,CO,Colorado / CDOT District 1,Roadway,2025-07-24,cdot_cost_data_book_2025_q4,BR0704-265,BR0704-265 I-70 EAST,"STRUCTURES, INC.",1,R,4,7235022.57,99.21
cdot_2025q4_br0761_249,I-76,CDOT,CO,Colorado / CDOT District 4,Roadway,2025-02-27,cdot_cost_data_book_2025_q4,BR0761-249,BR0761-249 I-76,RDZ Build,4,U,6,3259684.20,101.57
cdot_2025q4_brr100_400,"VAR LOCATIONS R1 I25, I225 & I",CDOT,CO,Colorado / CDOT District 1,Roadway,2025-02-06,cdot_cost_data_book_2025_q4,BRR100-400,"BRR100-400 VAR LOCATIONS R1 I25, I225 & I",Native Sun Materials Inc,1,U,4,2684443.68,76.70
cdot_2025q4_c0063_067,US 6 PALISADE IMPROVEMENTS MP,CDOT,CO,Colorado / CDOT District 3,Roadway,2025-10-30,cdot_cost_data_book_2025_q4,C0063-067,C0063-067 US 6 PALISADE IMPROVEMENTS MP,"KSK, LLC",3,U,6,7160000.00,84.32
