section_prefix,division_prefix,division_title,section_title,source_year,source_url
000,000,Administrative Items,Project Development and Construction Engineering,2026,https://www.codot.gov/business/eema/itemcodebook
201,200,Earthwork,Clearing and Grubbing,2026,https://www.codot.gov/business/eema/itemcodebook
202,200,Earthwork,Removal of Structures and Obstructions,2026,https://www.codot.gov/business/eema/itemcodebook
203,200,Earthwork,Excavation and Embankment,2026,https://www.codot.gov/business/eema/itemcodebook
204,200,Earthwork,Haul,2026,https://www.codot.gov/business/eema/itemcodebook
206,200,Earthwork,Excavation and Backfill for Structures,2026,https://www.codot.gov/business/eema/itemcodebook
207,200,Earthwork,Topsoil,2026,https://www.codot.gov/business/eema/itemcodebook
208,200,Earthwork,Erosion Control,2026,https://www.codot.gov/business/eema/itemcodebook
209,200,Earthwork,Watering and Dust Palliative,2026,https://www.codot.gov/business/eema/itemcodebook
210,200,Earthwork,Reset Structures,2026,https://www.codot.gov/business/eema/itemcodebook
211,200,Earthwork,Tunnel Excavation and Rock Reinforcement,2026,https://www.codot.gov/business/eema/itemcodebook
212,200,Earthwork,"Seeding, Fertilizing, Soil Conditioner and Sodding",2026,https://www.codot.gov/business/eema/itemcodebook
213,200,Earthwork,Mulching,2026,https://www.codot.gov/business/eema/itemcodebook
214,200,Earthwork,Planting,2026,https://www.codot.gov/business/eema/itemcodebook
215,200,Earthwork,Transplanting,2026,https://www.codot.gov/business/eema/itemcodebook
216,200,Earthwork,Soil Retention Covering,2026,https://www.codot.gov/business/eema/itemcodebook
217,200,Earthwork,Herbicide Treatment,2026,https://www.codot.gov/business/eema/itemcodebook
218,200,Earthwork,Noxious Weed Management,2026,https://www.codot.gov/business/eema/itemcodebook
240,200,Earthwork,Wildlife Protection,2026,https://www.codot.gov/business/eema/itemcodebook
250,200,Earthwork,"Environmental, Health and Safety Management",2026,https://www.codot.gov/business/eema/itemcodebook
251,200,Earthwork,Paint Testing and Analysis Management,2026,https://www.codot.gov/business/eema/itemcodebook
301,300,Bases,Plant Mix Bituminous Base,2026,https://www.codot.gov/business/eema/itemcodebook
304,300,Bases,Aggregate Base Course,2026,https://www.codot.gov/business/eema/itemcodebook
306,300,Bases,Reconditioning,2026,https://www.codot.gov/business/eema/itemcodebook
307,300,Bases,Lime Treated Subgrade,2026,https://www.codot.gov/business/eema/itemcodebook
308,300,Bases,Stabilized Bases,2026,https://www.codot.gov/business/eema/itemcodebook
310,300,Bases,Full Depth Reclamation,2026,https://www.codot.gov/business/eema/itemcodebook
403,400,Pavements,Hot Mix Asphalt,2026,https://www.codot.gov/business/eema/itemcodebook
405,400,Pavements,Heating and Scarifying Treatment,2026,https://www.codot.gov/business/eema/itemcodebook
406,400,Pavements,Cold Asphalt Pavement (Recycle),2026,https://www.codot.gov/business/eema/itemcodebook
407,400,Pavements,"Prime Coat, Tack Coat and Rejuvenating Agent",2026,https://www.codot.gov/business/eema/itemcodebook
408,400,Pavements,Joint and Crack Sealer,2026,https://www.codot.gov/business/eema/itemcodebook
409,400,Pavements,Chip Seal,2026,https://www.codot.gov/business/eema/itemcodebook
410,400,Pavements,Slurry Seal Coat,2026,https://www.codot.gov/business/eema/itemcodebook
411,400,Pavements,Asphalt Materials,2026,https://www.codot.gov/business/eema/itemcodebook
412,400,Pavements,Portland Cement Concrete Pavement,2026,https://www.codot.gov/business/eema/itemcodebook
420,400,Pavements,Geosynthetics,2026,https://www.codot.gov/business/eema/itemcodebook
501,500,Structures,Steel Sheet Piling,2026,https://www.codot.gov/business/eema/itemcodebook
502,500,Structures,Piling,2026,https://www.codot.gov/business/eema/itemcodebook
503,500,Structures,Drilled Shafts,2026,https://www.codot.gov/business/eema/itemcodebook
504,500,Structures,Walls,2026,https://www.codot.gov/business/eema/itemcodebook
506,500,Structures,Riprap,2026,https://www.codot.gov/business/eema/itemcodebook
507,500,Structures,Slope and Ditch Paving,2026,https://www.codot.gov/business/eema/itemcodebook
508,500,Structures,Timber Structures,2026,https://www.codot.gov/business/eema/itemcodebook
509,500,Structures,Steel Structures,2026,https://www.codot.gov/business/eema/itemcodebook
510,500,Structures,Structural Plate Structures,2026,https://www.codot.gov/business/eema/itemcodebook
511,500,Structures,Structural Precast Concrete Arch Units,2026,https://www.codot.gov/business/eema/itemcodebook
512,500,Structures,Bearing Device,2026,https://www.codot.gov/business/eema/itemcodebook
513,500,Structures,Bridge Drains,2026,https://www.codot.gov/business/eema/itemcodebook
514,500,Structures,Pedestrian and Bikeway Railing,2026,https://www.codot.gov/business/eema/itemcodebook
515,500,Structures,Waterproofing Membrane,2026,https://www.codot.gov/business/eema/itemcodebook
516,500,Structures,Dampproofing,2026,https://www.codot.gov/business/eema/itemcodebook
517,500,Structures,Waterproofing,2026,https://www.codot.gov/business/eema/itemcodebook
518,500,Structures,Waterstops and Expansion Joints,2026,https://www.codot.gov/business/eema/itemcodebook
519,500,Structures,Concrete Structure Repair,2026,https://www.codot.gov/business/eema/itemcodebook
520,500,Structures,Bridge Hanger Cable Assembly,2026,https://www.codot.gov/business/eema/itemcodebook
521,500,Structures,Slurry Walls,2026,https://www.codot.gov/business/eema/itemcodebook
522,500,Structures,Galvanized Surface Treatment,2026,https://www.codot.gov/business/eema/itemcodebook
601,600,Miscellaneous Construction,Structural Concrete,2026,https://www.codot.gov/business/eema/itemcodebook
602,600,Miscellaneous Construction,Reinforcing Steel,2026,https://www.codot.gov/business/eema/itemcodebook
603,600,Miscellaneous Construction,Culverts and Sewers,2026,https://www.codot.gov/business/eema/itemcodebook
604,600,Miscellaneous Construction,"Manholes, Inlets and Meter Vaults",2026,https://www.codot.gov/business/eema/itemcodebook
605,600,Miscellaneous Construction,Subsurface Drains,2026,https://www.codot.gov/business/eema/itemcodebook
606,600,Miscellaneous Construction,Guardrail,2026,https://www.codot.gov/business/eema/itemcodebook
607,600,Miscellaneous Construction,Fences,2026,https://www.codot.gov/business/eema/itemcodebook
608,600,Miscellaneous Construction,Sidewalks and Bikeways,2026,https://www.codot.gov/business/eema/itemcodebook
609,600,Miscellaneous Construction,Curb and Gutter,2026,https://www.codot.gov/business/eema/itemcodebook
610,600,Miscellaneous Construction,Median Cover Material,2026,https://www.codot.gov/business/eema/itemcodebook
611,600,Miscellaneous Construction,Cattle Guards,2026,https://www.codot.gov/business/eema/itemcodebook
612,600,Miscellaneous Construction,Delineators and Reflectors,2026,https://www.codot.gov/business/eema/itemcodebook
613,600,Miscellaneous Construction,Lighting,2026,https://www.codot.gov/business/eema/itemcodebook
614,600,Miscellaneous Construction,Traffic Control Devices,2026,https://www.codot.gov/business/eema/itemcodebook
615,600,Miscellaneous Construction,Water Control Devices,2026,https://www.codot.gov/business/eema/itemcodebook
