agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
co_cdot_000-00005_v2026,co_cdot_000-00005,2026-01-01,,Design (NFA CDOT Direct and Indirect Costs),Design (NFA CDOT),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00010_v2026,co_cdot_000-00010,2026-01-01,,Design (Federal Aid CDOT Inc Eligible Indirects),Design (Federal Aid CDOT),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00030_v2026,co_cdot_000-00030,2026-01-01,,Construction Engineering (Consultant),Const Engineering (Consultant),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00035_v2026,co_cdot_000-00035,2026-01-01,,Construction Engineering (Consultant Non-Federal Aid),Const Engineering (Consultant NFA),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00040_v2026,co_cdot_000-00040,2026-01-01,,"Construction Engineering (CDOT, Bid and F/A)","Const Engineering (CDOT, Bid and F/A)",L S,000,cdot_item_code_book_2026,true
co_cdot_000-00045_v2026,co_cdot_000-00045,2026-01-01,,"Construction Engineering (CDOT, Bid and F/A - NFA)","Const Engineering (CDOT, Bid & F/A NFA)",L S,000,cdot_item_code_book_2026,true
co_cdot_000-00050_v2026,co_cdot_000-00050,2026-01-01,,Indirect Costs (CE Only),Indirect Costs (CE Only),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00100_v2026,co_cdot_000-00100,2026-01-01,,Environmental (Non-Fed Aid CDOT),Environmental (NFA CDOT),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00105_v2026,co_cdot_000-00105,2026-01-01,,Environmental (Federal Aid CDOT),Environmental (Federal Aid CDOT),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00110_v2026,co_cdot_000-00110,2026-01-01,,Environmental (Non-Federal Aid Consultant),Environmental (NFA Consultant),L S,000,cdot_item_code_book_2026,true
co_cdot_000-00115_v2026,co_cdot_000-00115,2026-01-01,,Environmental (Federal Aid Consultant),Environmental (Federal Aid Consultant),L S,000,cdot_item_code_book_2026,true
co_cdot_201-00000_v2026,co_cdot_201-00000,2026-01-01,,Clearing and Grubbing,Clear and Grub,L S,201,cdot_item_code_book_2026,true
co_cdot_201-00001_v2026,co_cdot_201-00001,2026-01-01,,Clearing and Grubbing,Clear and Grub,ACRE,201,cdot_item_code_book_2026,true
co_cdot_201-00002_v2026,co_cdot_201-00002,2026-01-01,,Clearing,Clearing,L S,201,cdot_item_code_book_2026,true
co_cdot_201-00005_v2026,co_cdot_201-00005,2026-01-01,,Removal of Debris,Rem of Debris,L S,201,cdot_item_code_book_2026,true
co_cdot_201-00007_v2026,co_cdot_201-00007,2026-01-01,,Removal of Debris,Rem of Debris,EACH,201,cdot_item_code_book_2026,true
co_cdot_201-00009_v2026,co_cdot_201-00009,2026-01-01,,Removal of Debris,Rem of Debris,CY,201,cdot_item_code_book_2026,true
co_cdot_201-00816_v2026,co_cdot_201-00816,2026-01-01,,Reset Sign Panel (Special),Res Sign Panel (Spec),EACH,201,cdot_item_code_book_2026,true
co_cdot_202-00000_v2026,co_cdot_202-00000,2026-01-01,,Removal of Structures and Obstructions,Rem Str and Obstructions,L S,202,cdot_item_code_book_2026,true
co_cdot_202-00001_v2026,co_cdot_202-00001,2026-01-01,,Removal of Structure,Rem Structure,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00002_v2026,co_cdot_202-00002,2026-01-01,,Removal of Structure (Special),Rem of Structure (Spec),EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00003_v2026,co_cdot_202-00003,2026-01-01,,Removal of Structure (Special),Rem of Structure (Spec),L S,202,cdot_item_code_book_2026,true
co_cdot_202-00004_v2026,co_cdot_202-00004,2026-01-01,,Removal of Steel H or Pipe Piling,Rem Steel H or Pipe Piling,LF,202,cdot_item_code_book_2026,true
co_cdot_202-00005_v2026,co_cdot_202-00005,2026-01-01,,Removal of Temporary Supports,Rem Temporary Supports,L S,202,cdot_item_code_book_2026,true
co_cdot_202-00008_v2026,co_cdot_202-00008,2026-01-01,,Tree Trimming,Tree Trimming,HOUR,202,cdot_item_code_book_2026,true
co_cdot_202-00009_v2026,co_cdot_202-00009,2026-01-01,,Tree Trimming,Tree Trimming,L S,202,cdot_item_code_book_2026,true
co_cdot_202-00010_v2026,co_cdot_202-00010,2026-01-01,,Removal of Tree,Rem Tree,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00011_v2026,co_cdot_202-00011,2026-01-01,,Tree Trimming,Tree Trimming,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00012_v2026,co_cdot_202-00012,2026-01-01,,Removal of Tree Stump,Rem Tree Stump,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00013_v2026,co_cdot_202-00013,2026-01-01,,Removal of Erosion Mat,Rem Erosion Mat,SY,202,cdot_item_code_book_2026,true
co_cdot_202-00014_v2026,co_cdot_202-00014,2026-01-01,,Brush Clearing,Brush Clearing,HOUR,202,cdot_item_code_book_2026,true
co_cdot_202-00015_v2026,co_cdot_202-00015,2026-01-01,,Removal of Headwall,Rem Headwall,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00016_v2026,co_cdot_202-00016,2026-01-01,,Removal of Tree Support,Rem Tree Support,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00019_v2026,co_cdot_202-00019,2026-01-01,,Removal of Inlet,Rem Inlet,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00020_v2026,co_cdot_202-00020,2026-01-01,,Removal of Concrete Box Culvert,Rem CBC,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00021_v2026,co_cdot_202-00021,2026-01-01,,Removal of Manhole,Rem Manhole,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00022_v2026,co_cdot_202-00022,2026-01-01,,Removal of Headgate,Rem Headgate,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00023_v2026,co_cdot_202-00023,2026-01-01,,Removal of Embankment Protector Type 3,Rem Emb Prot Ty 3,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00024_v2026,co_cdot_202-00024,2026-01-01,,Removal of Embankment Protector Type 5,Rem Emb Prot Ty 5,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00025_v2026,co_cdot_202-00025,2026-01-01,,Removal of Ditch Lining,Rem Ditch Lining,LF,202,cdot_item_code_book_2026,true
co_cdot_202-00026_v2026,co_cdot_202-00026,2026-01-01,,Removal of Slope and Ditch Paving,Rem S and D Pave,SY,202,cdot_item_code_book_2026,true
co_cdot_202-00027_v2026,co_cdot_202-00027,2026-01-01,,Removal of Riprap,Rem Riprap,SY,202,cdot_item_code_book_2026,true
co_cdot_202-00028_v2026,co_cdot_202-00028,2026-01-01,,Removal of Erosion Control BMPs (Special),Rem of Eros Cntrl BMPS (Spec),L S,202,cdot_item_code_book_2026,true
co_cdot_202-00029_v2026,co_cdot_202-00029,2026-01-01,,Removal of Gabion,Rem Gabion,CY,202,cdot_item_code_book_2026,true
co_cdot_202-00030_v2026,co_cdot_202-00030,2026-01-01,,Removal of Water Service,Rem Water Service,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00031_v2026,co_cdot_202-00031,2026-01-01,,Removal of Fire Hydrant,Rem of Fire Hydrant,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00032_v2026,co_cdot_202-00032,2026-01-01,,Removal of Valve,Rem Valve,EACH,202,cdot_item_code_book_2026,true
co_cdot_202-00033_v2026,co_cdot_202-00033,2026-01-01,,Removal of Pipe,Rem Pipe,EACH,202,cdot_item_code_book_2026,true
