agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
co_cdot_000-00005,CO,co_cdot,CDOT,000-00005,co_cdot_000-00005_v2026,current,
co_cdot_000-00010,CO,co_cdot,CDOT,000-00010,co_cdot_000-00010_v2026,current,
co_cdot_000-00030,CO,co_cdot,CDOT,000-00030,co_cdot_000-00030_v2026,current,
co_cdot_000-00035,CO,co_cdot,CDOT,000-00035,co_cdot_000-00035_v2026,current,
co_cdot_000-00040,CO,co_cdot,CDOT,000-00040,co_cdot_000-00040_v2026,current,
co_cdot_000-00045,CO,co_cdot,CDOT,000-00045,co_cdot_000-00045_v2026,current,
co_cdot_000-00050,CO,co_cdot,CDOT,000-00050,co_cdot_000-00050_v2026,current,
co_cdot_000-00100,CO,co_cdot,CDOT,000-00100,co_cdot_000-00100_v2026,current,
co_cdot_000-00105,CO,co_cdot,CDOT,000-00105,co_cdot_000-00105_v2026,current,
co_cdot_000-00110,CO,co_cdot,CDOT,000-00110,co_cdot_000-00110_v2026,current,
co_cdot_000-00115,CO,co_cdot,CDOT,000-00115,co_cdot_000-00115_v2026,current,
co_cdot_201-00000,CO,co_cdot,CDOT,201-00000,co_cdot_201-00000_v2026,current,
co_cdot_201-00001,CO,co_cdot,CDOT,201-00001,co_cdot_201-00001_v2026,current,
co_cdot_201-00002,CO,co_cdot,CDOT,201-00002,co_cdot_201-00002_v2026,current,
co_cdot_201-00005,CO,co_cdot,CDOT,201-00005,co_cdot_201-00005_v2026,current,
co_cdot_201-00007,CO,co_cdot,CDOT,201-00007,co_cdot_201-00007_v2026,current,
co_cdot_201-00009,CO,co_cdot,CDOT,201-00009,co_cdot_201-00009_v2026,current,
co_cdot_201-00816,CO,co_cdot,CDOT,201-00816,co_cdot_201-00816_v2026,current,
co_cdot_202-00000,CO,co_cdot,CDOT,202-00000,co_cdot_202-00000_v2026,current,
co_cdot_202-00001,CO,co_cdot,CDOT,202-00001,co_cdot_202-00001_v2026,current,
co_cdot_202-00002,CO,co_cdot,CDOT,202-00002,co_cdot_202-00002_v2026,current,
co_cdot_202-00003,CO,co_cdot,CDOT,202-00003,co_cdot_202-00003_v2026,current,
co_cdot_202-00004,CO,co_cdot,CDOT,202-00004,co_cdot_202-00004_v2026,current,
co_cdot_202-00005,CO,co_cdot,CDOT,202-00005,co_cdot_202-00005_v2026,current,
co_cdot_202-00008,CO,co_cdot,CDOT,202-00008,co_cdot_202-00008_v2026,current,
co_cdot_202-00009,CO,co_cdot,CDOT,202-00009,co_cdot_202-00009_v2026,current,
co_cdot_202-00010,CO,co_cdot,CDOT,202-00010,co_cdot_202-00010_v2026,current,
co_cdot_202-00011,CO,co_cdot,CDOT,202-00011,co_cdot_202-00011_v2026,current,
co_cdot_202-00012,CO,co_cdot,CDOT,202-00012,co_cdot_202-00012_v2026,current,
co_cdot_202-00013,CO,co_cdot,CDOT,202-00013,co_cdot_202-00013_v2026,current,
co_cdot_202-00014,CO,co_cdot,CDOT,202-00014,co_cdot_202-00014_v2026,current,
co_cdot_202-00015,CO,co_cdot,CDOT,202-00015,co_cdot_202-00015_v2026,current,
co_cdot_202-00016,CO,co_cdot,CDOT,202-00016,co_cdot_202-00016_v2026,current,
co_cdot_202-00019,CO,co_cdot,CDOT,202-00019,co_cdot_202-00019_v2026,current,
co_cdot_202-00020,CO,co_cdot,CDOT,202-00020,co_cdot_202-00020_v2026,current,
co_cdot_202-00021,CO,co_cdot,CDOT,202-00021,co_cdot_202-00021_v2026,current,
co_cdot_202-00022,CO,co_cdot,CDOT,202-00022,co_cdot_202-00022_v2026,current,
co_cdot_202-00023,CO,co_cdot,CDOT,202-00023,co_cdot_202-00023_v2026,current,
co_cdot_202-00024,CO,co_cdot,CDOT,202-00024,co_cdot_202-00024_v2026,current,
co_cdot_202-00025,CO,co_cdot,CDOT,202-00025,co_cdot_202-00025_v2026,current,
co_cdot_202-00026,CO,co_cdot,CDOT,202-00026,co_cdot_202-00026_v2026,current,
co_cdot_202-00027,CO,co_cdot,CDOT,202-00027,co_cdot_202-00027_v2026,current,
co_cdot_202-00028,CO,co_cdot,CDOT,202-00028,co_cdot_202-00028_v2026,current,
co_cdot_202-00029,CO,co_cdot,CDOT,202-00029,co_cdot_202-00029_v2026,current,
co_cdot_202-00030,CO,co_cdot,CDOT,202-00030,co_cdot_202-00030_v2026,current,
co_cdot_202-00031,CO,co_cdot,CDOT,202-00031,co_cdot_202-00031_v2026,current,
co_cdot_202-00032,CO,co_cdot,CDOT,202-00032,co_cdot_202-00032_v2026,current,
co_cdot_202-00033,CO,co_cdot,CDOT,202-00033,co_cdot_202-00033_v2026,current,
co_cdot_202-00035,CO,co_cdot,CDOT,202-00035,co_cdot_202-00035_v2026,current,
co_cdot_202-00036,CO,co_cdot,CDOT,202-00036,co_cdot_202-00036_v2026,current,
co_cdot_202-00037,CO,co_cdot,CDOT,202-00037,co_cdot_202-00037_v2026,current,
co_cdot_202-00039,CO,co_cdot,CDOT,202-00039,co_cdot_202-00039_v2026,current,
co_cdot_202-00040,CO,co_cdot,CDOT,202-00040,co_cdot_202-00040_v2026,current,
co_cdot_202-00045,CO,co_cdot,CDOT,202-00045,co_cdot_202-00045_v2026,current,
co_cdot_202-00047,CO,co_cdot,CDOT,202-00047,co_cdot_202-00047_v2026,current,
co_cdot_202-00050,CO,co_cdot,CDOT,202-00050,co_cdot_202-00050_v2026,current,
co_cdot_202-00055,CO,co_cdot,CDOT,202-00055,co_cdot_202-00055_v2026,current,
co_cdot_202-00060,CO,co_cdot,CDOT,202-00060,co_cdot_202-00060_v2026,current,
co_cdot_202-00070,CO,co_cdot,CDOT,202-00070,co_cdot_202-00070_v2026,current,
co_cdot_202-00080,CO,co_cdot,CDOT,202-00080,co_cdot_202-00080_v2026,current,
co_cdot_202-00090,CO,co_cdot,CDOT,202-00090,co_cdot_202-00090_v2026,current,
co_cdot_202-00100,CO,co_cdot,CDOT,202-00100,co_cdot_202-00100_v2026,current,
co_cdot_202-00120,CO,co_cdot,CDOT,202-00120,co_cdot_202-00120_v2026,current,
co_cdot_202-00127,CO,co_cdot,CDOT,202-00127,co_cdot_202-00127_v2026,current,
co_cdot_202-00150,CO,co_cdot,CDOT,202-00150,co_cdot_202-00150_v2026,current,
co_cdot_202-00155,CO,co_cdot,CDOT,202-00155,co_cdot_202-00155_v2026,current,
co_cdot_202-00160,CO,co_cdot,CDOT,202-00160,co_cdot_202-00160_v2026,current,
co_cdot_202-00165,CO,co_cdot,CDOT,202-00165,co_cdot_202-00165_v2026,current,
co_cdot_202-00170,CO,co_cdot,CDOT,202-00170,co_cdot_202-00170_v2026,current,
co_cdot_202-00172,CO,co_cdot,CDOT,202-00172,co_cdot_202-00172_v2026,current,
co_cdot_202-00175,CO,co_cdot,CDOT,202-00175,co_cdot_202-00175_v2026,current,
co_cdot_202-00190,CO,co_cdot,CDOT,202-00190,co_cdot_202-00190_v2026,current,
co_cdot_202-00195,CO,co_cdot,CDOT,202-00195,co_cdot_202-00195_v2026,current,
co_cdot_202-00200,CO,co_cdot,CDOT,202-00200,co_cdot_202-00200_v2026,current,
co_cdot_202-00201,CO,co_cdot,CDOT,202-00201,co_cdot_202-00201_v2026,current,
co_cdot_202-00202,CO,co_cdot,CDOT,202-00202,co_cdot_202-00202_v2026,current,
co_cdot_202-00203,CO,co_cdot,CDOT,202-00203,co_cdot_202-00203_v2026,current,
co_cdot_202-00204,CO,co_cdot,CDOT,202-00204,co_cdot_202-00204_v2026,current,
co_cdot_202-00205,CO,co_cdot,CDOT,202-00205,co_cdot_202-00205_v2026,current,
co_cdot_202-00206,CO,co_cdot,CDOT,202-00206,co_cdot_202-00206_v2026,current,
co_cdot_202-00207,CO,co_cdot,CDOT,202-00207,co_cdot_202-00207_v2026,current,
co_cdot_202-00210,CO,co_cdot,CDOT,202-00210,co_cdot_202-00210_v2026,current,
co_cdot_202-00212,CO,co_cdot,CDOT,202-00212,co_cdot_202-00212_v2026,current,
co_cdot_202-00215,CO,co_cdot,CDOT,202-00215,co_cdot_202-00215_v2026,current,
co_cdot_202-00217,CO,co_cdot,CDOT,202-00217,co_cdot_202-00217_v2026,current,
co_cdot_202-00220,CO,co_cdot,CDOT,202-00220,co_cdot_202-00220_v2026,current,roadway_pavement_removal
co_cdot_202-00222,CO,co_cdot,CDOT,202-00222,co_cdot_202-00222_v2026,current,
co_cdot_202-00226,CO,co_cdot,CDOT,202-00226,co_cdot_202-00226_v2026,current,
co_cdot_202-00240,CO,co_cdot,CDOT,202-00240,co_cdot_202-00240_v2026,current,
co_cdot_202-00241,CO,co_cdot,CDOT,202-00241,co_cdot_202-00241_v2026,current,
co_cdot_202-00245,CO,co_cdot,CDOT,202-00245,co_cdot_202-00245_v2026,current,
co_cdot_202-00246,CO,co_cdot,CDOT,202-00246,co_cdot_202-00246_v2026,current,
co_cdot_202-00247,CO,co_cdot,CDOT,202-00247,co_cdot_202-00247_v2026,current,
