contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
cdot_2026q1_c_0852_130_project_1,cdot_2026q1_c_0852_130,C 0852-130,SB SANTA FE TO EASTBOUND C470,Roadway,Colorado / CDOT District 1,,C 0852-130 SB SANTA FE TO EASTBOUND C470,1251000.00
cdot_2026q1_cm570_071_project_1,cdot_2026q1_cm570_071,CM570-071,GREELEY & EVANS,Roadway,Colorado / CDOT District 4,,CM570-071 GREELEY & EVANS,739593.00
cdot_2026q1_cr400_408_project_1,cdot_2026q1_cr400_408,CR400-408,CO157A - MP 0.277; 036B - MP 3,Roadway,Colorado / CDOT District 4,,CR400-408 CO157A - MP 0.277; 036B - MP 3,885349.00
cdot_2026q1_er0852_129_project_1,cdot_2026q1_er0852_129,ER0852-129,SB SANTA FE TO EASTBOUND C470,Roadway,Colorado / CDOT District 1,,ER0852-129 SB SANTA FE TO EASTBOUND C470,1251000.00
cdot_2026q1_fbr006a_078_project_1,cdot_2026q1_fbr006a_078,FBR006A-078,ATWOOD TO STERLING (MP 398.2-4,Roadway,Colorado / CDOT District 4,,FBR006A-078 ATWOOD TO STERLING (MP 398.2-4,20722238.45
cdot_2026q1_fsa0252_509_project_1,cdot_2026q1_fsa0252_509,FSA0252-509,I25 FROM MP 108.5 TO 115,Roadway,Colorado / CDOT District 2,,FSA0252-509 I25 FROM MP 108.5 TO 115,3558000.00
cdot_2026q1_im025a_056_project_1,cdot_2026q1_im025a_056,IM025A-056,TRINIDAD,Roadway,Colorado / CDOT District 2,,IM025A-056 TRINIDAD,2368693.10
cdot_2026q1_mtcer300_289_project_1,cdot_2026q1_mtcer300_289,MTCER300-289,REGION 3,Roadway,Colorado / CDOT District 3,,MTCER300-289 REGION 3,288898.50
cdot_2026q1_mtcer500_236_project_1,cdot_2026q1_mtcer500_236,MTCER500-236,REGION 5,Roadway,Colorado / CDOT District 5,,MTCER500-236 REGION 5,1674227.00
cdot_2026q1_nhfpr100_433_project_1,cdot_2026q1_nhfpr100_433,NHFPR100-433,R3 - Loma - 070A - MM 13.6,Roadway,Colorado / CDOT District 1,,NHFPR100-433 R3 - Loma - 070A - MM 13.6,2511351.69
cdot_2026q1_nhpp006a_080_project_1,cdot_2026q1_nhpp006a_080,NHPP006A-080,US 6 MP 20-26 Resurfacing,Roadway,Colorado / CDOT District 3,,NHPP006A-080 US 6 MP 20-26 Resurfacing,3067017.50
