contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
cdot_2026q1_c_0852_130,co_cdot_cost_data_book_2026_q1_20260211,cdot_cost_data_book_2026_q1,CO,co_cdot,C 0852-130,,AWARDED,"AMES CONSTRUCTION, INC.",1251000.00,Colorado / CDOT District 1,,Roadway,,,3,C 0852-130 SB SANTA FE TO EASTBOUND C470,1,U,59.90
cdot_2026q1_cm570_071,co_cdot_cost_data_book_2026_q1_20260326,cdot_cost_data_book_2026_q1,CO,co_cdot,CM570-071,,AWARDED,RDZ Build,739593.00,Colorado / CDOT District 4,,Roadway,,,8,CM570-071 GREELEY & EVANS,4,P,106.51
cdot_2026q1_cr400_408,co_cdot_cost_data_book_2026_q1_20260108,cdot_cost_data_book_2026_q1,CO,co_cdot,CR400-408,,AWARDED,Lumin8 Transportation Tech.,885349.00,Colorado / CDOT District 4,,Roadway,,,6,CR400-408 CO157A - MP 0.277; 036B - MP 3,4,U,89.14
cdot_2026q1_er0852_129,co_cdot_cost_data_book_2026_q1_20260130,cdot_cost_data_book_2026_q1,CO,co_cdot,ER0852-129,,AWARDED,"AMES CONSTRUCTION, INC.",1251000.00,Colorado / CDOT District 1,,Roadway,,,3,ER0852-129 SB SANTA FE TO EASTBOUND C470,1,U,120.40
cdot_2026q1_fbr006a_078,co_cdot_cost_data_book_2026_q1_20260115,cdot_cost_data_book_2026_q1,CO,co_cdot,FBR006A-078,,AWARDED,Harper Brothers Construction LLC,20722238.45,Colorado / CDOT District 4,,Roadway,,,4,FBR006A-078 ATWOOD TO STERLING (MP 398.2-4,4,P,100.90
cdot_2026q1_fsa0252_509,co_cdot_cost_data_book_2026_q1_20260205,cdot_cost_data_book_2026_q1,CO,co_cdot,FSA0252-509,,AWARDED,"Siete, Inc.",3558000.00,Colorado / CDOT District 2,,Roadway,,,2,FSA0252-509 I25 FROM MP 108.5 TO 115,2,R,114.77
cdot_2026q1_im025a_056,co_cdot_cost_data_book_2026_q1_20260219,cdot_cost_data_book_2026_q1,CO,co_cdot,IM025A-056,,AWARDED,CONCRETE WORKS OF COLORADO INC.,2368693.10,Colorado / CDOT District 2,,Roadway,,,5,IM025A-056 TRINIDAD,2,U,87.73
cdot_2026q1_mtcer300_289,co_cdot_cost_data_book_2026_q1_20260305,cdot_cost_data_book_2026_q1,CO,co_cdot,MTCER300-289,,AWARDED,"ROADSAFE TRAFFIC SYSTEMS, INC",288898.50,Colorado / CDOT District 3,,Roadway,,,2,MTCER300-289 REGION 3,3,M,85.50
cdot_2026q1_mtcer500_236,co_cdot_cost_data_book_2026_q1_20260108,cdot_cost_data_book_2026_q1,CO,co_cdot,MTCER500-236,,AWARDED,"ROADSAFE TRAFFIC SYSTEMS, INC",1674227.00,Colorado / CDOT District 5,,Roadway,,,3,MTCER500-236 REGION 5,5,R,96.06
cdot_2026q1_nhfpr100_433,co_cdot_cost_data_book_2026_q1_20260312,cdot_cost_data_book_2026_q1,CO,co_cdot,NHFPR100-433,,AWARDED,Drivewyze Ltd.,2511351.69,Colorado / CDOT District 1,,Roadway,,,5,NHFPR100-433 R3 - Loma - 070A - MM 13.6,1,,125.57
cdot_2026q1_nhpp006a_080,co_cdot_cost_data_book_2026_q1_20260319,cdot_cost_data_book_2026_q1,CO,co_cdot,NHPP006A-080,,AWARDED,"OLDCASTLE SW GROUP, INC.",3067017.50,Colorado / CDOT District 3,,Roadway,,,2,NHPP006A-080 US 6 MP 20-26 Resurfacing,3,U,75.57
