mapping_id,state,source_agency_id,source_item_code,target_agency_item_id,match_status,confidence,reviewed_by,reviewed_on,notes
co_map_coa_coa_3_2_co_cdot_201_00000,CO,co_coa,COA 3.2,co_cdot_201-00000,reviewed,reviewed,FHU,,COA 3.2
co_map_coa_coa_3_5_co_cdot_202_00010,CO,co_coa,COA 3.5,co_cdot_202-00010,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00019,CO,co_coa,COA 3.5,co_cdot_202-00019,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00021,CO,co_coa,COA 3.5,co_cdot_202-00021,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00031,CO,co_coa,COA 3.5,co_cdot_202-00031,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00032,CO,co_coa,COA 3.5,co_cdot_202-00032,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00033,CO,co_coa,COA 3.5,co_cdot_202-00033,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00055,CO,co_coa,COA 3.5,co_cdot_202-00055,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00155,CO,co_coa,COA 3.5,co_cdot_202-00155,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00190,CO,co_coa,COA 3.5,co_cdot_202-00190,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00200,CO,co_coa,COA 3.5,co_cdot_202-00200,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00201,CO,co_coa,COA 3.5,co_cdot_202-00201,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00202,CO,co_coa,COA 3.5,co_cdot_202-00202,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00203,CO,co_coa,COA 3.5,co_cdot_202-00203,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00206,CO,co_coa,COA 3.5,co_cdot_202-00206,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00207,CO,co_coa,COA 3.5,co_cdot_202-00207,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00210,CO,co_coa,COA 3.5,co_cdot_202-00210,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00220,CO,co_coa,COA 3.5,co_cdot_202-00220,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00250,CO,co_coa,COA 3.5,co_cdot_202-00250,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00700,CO,co_coa,COA 3.5,co_cdot_202-00700,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00705,CO,co_coa,COA 3.5,co_cdot_202-00705,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00750,CO,co_coa,COA 3.5,co_cdot_202-00750,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00810,CO,co_coa,COA 3.5,co_cdot_202-00810,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00821,CO,co_coa,COA 3.5,co_cdot_202-00821,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00828,CO,co_coa,COA 3.5,co_cdot_202-00828,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_01000,CO,co_coa,COA 3.5,co_cdot_202-01000,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_5_co_cdot_202_00035,CO,co_coa,COA 3.5,co_cdot_202-00035,reviewed,reviewed,FHU,,COA 3.5
co_map_coa_coa_3_55_co_cdot_202_00035,CO,co_coa,COA 3.55,co_cdot_202-00035,reviewed,reviewed,FHU,,COA 3.55
co_map_coa_coa_3_33_co_cdot_203_00000,CO,co_coa,COA 3.33,co_cdot_203-00000,reviewed,reviewed,FHU,,COA 3.33
co_map_coa_coa_3_20_co_cdot_206_00100,CO,co_coa,COA 3.20,co_cdot_206-00100,reviewed,reviewed,FHU,,COA 3.20
co_map_coa_coa_3_52_co_cdot_207_00205,CO,co_coa,COA 3.52,co_cdot_207-00205,reviewed,reviewed,FHU,,COA 3.52
co_map_coa_coa_5_7_2_co_cdot_208_00002,CO,co_coa,COA 5.7.2,co_cdot_208-00002,reviewed,reviewed,FHU,,COA 5.7.2
co_map_coa_coa_5_7_2_co_cdot_208_00035,CO,co_coa,COA 5.7.2,co_cdot_208-00035,reviewed,reviewed,FHU,,COA 5.7.2
co_map_coa_coa_5_7_2_co_cdot_208_00045,CO,co_coa,COA 5.7.2,co_cdot_208-00045,reviewed,reviewed,FHU,,COA 5.7.2
co_map_coa_coa_5_7_2_co_cdot_208_00051,CO,co_coa,COA 5.7.2,co_cdot_208-00051,reviewed,reviewed,FHU,,COA 5.7.2
co_map_coa_coa_5_7_2_co_cdot_208_00052,CO,co_coa,COA 5.7.2,co_cdot_208-00052,reviewed,reviewed,FHU,,COA 5.7.2
co_map_coa_coa_5_7_2_co_cdot_208_00070,CO,co_coa,COA 5.7.2,co_cdot_208-00070,reviewed,reviewed,FHU,,COA 5.7.2
co_map_coa_coa_5_7_co_cdot_208_00207,CO,co_coa,COA 5.7,co_cdot_208-00207,reviewed,reviewed,FHU,,COA 5.7
co_map_coa_coa_3_6_co_cdot_210_00300,CO,co_coa,COA 3.6,co_cdot_210-00300,reviewed,reviewed,FHU,,COA 3.6
co_map_coa_coa_3_6_co_cdot_210_01710,CO,co_coa,COA 3.6,co_cdot_210-01710,reviewed,reviewed,FHU,,COA 3.6
co_map_coa_coa_3_6_co_cdot_210_00035,CO,co_coa,COA 3.6,co_cdot_210-00035,reviewed,reviewed,FHU,,COA 3.6
co_map_coa_coa_3_6_co_cdot_210_00810,CO,co_coa,COA 3.6,co_cdot_210-00810,reviewed,reviewed,FHU,,COA 3.6
co_map_coa_coa_3_6_co_cdot_201_00816,CO,co_coa,COA 3.6,co_cdot_201-00816,reviewed,reviewed,FHU,,COA 3.6
co_map_coa_coa_3_6_co_cdot_210_00825,CO,co_coa,COA 3.6,co_cdot_210-00825,reviewed,reviewed,FHU,,COA 3.6
