source_id,source_type,agency_id,agency_name,state,source_label,source_date,data_year,source_url,source_file_name,sha256,parser_name,parser_version,notes
cdot_cost_data_book_2026_q1,cost_book,co_cdot,CDOT,CO,CDOT 2026 Q1 Cost Data Book,,2026,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public CDOT Cost Data Book 2026 Q1 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2025_q4,cost_book,co_cdot,CDOT,CO,CDOT 2025 Q4 Cost Data Book,,2025,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public CDOT Cost Data Book 2025 Q4 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2024_q4,cost_book,co_cdot,CDOT,CO,CDOT 2024 Q4 Cost Data Book,,2024,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public CDOT Cost Data Book 2024 Q4 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2023_q4,cost_book,co_cdot,CDOT,CO,CDOT 2023 Q4 Cost Data Book,,2023,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public CDOT Cost Data Book 2023 Q4 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2022_q4,cost_book,co_cdot,CDOT,CO,CDOT 2022 Q4 Cost Data Book,,2022,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public CDOT Cost Data Book 2022 Q4 item-level project rows promoted from reviewed staging CSV.
fhu_bid_tab_watson_ave_roundabout_2021_12_16,bid_tab,co_local,Town of Breckenridge,CO,FHU Civil Group Bid Tabs - Watson Avenue Roundabout,,2021,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public bid tab workbook promoted from 2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx. Apparent low is not confirmed award.
fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,bid_tab,co_local,Arapahoe County,CO,FHU Civil Group Bid Tabs - Arapahoe Road over Big Dry Creek,,2021,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public bid tab workbook promoted from 2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx. Apparent low is not confirmed award.
fhu_bid_tab_ralston_yukon_garrison_2021_02_05,bid_tab,co_local,City of Arvada,CO,FHU Civil Group Bid Tabs - Ralston Road Yukon to Garrison,,2021,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public bid tab workbook promoted from Ralston_Rd_CDOT_reconciliation.xlsx. Apparent low is not confirmed award.
fhu_bid_tab_kipling_bowles_2022_03_10,bid_tab,co_local,Jefferson County,CO,FHU Civil Group Bid Tabs - S Kipling Pkwy at W Bowles Ave,,2022,,,72d2140b5706d1bf597ef105f4c38d6de54af862848407d3e178d872e516cb01,legacy_schema_v1_migration,2.0.0,Public bid tab workbook promoted from 2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx. Apparent low is not confirmed award.
cdot_item_code_book_2026,item_catalog,co_cdot,CDOT,CO,CDOT 2026 Item Code Book,2026-01-01,2026,https://www.codot.gov/business/designsupport/cdot-construction-specifications/2026-construction-specifications,agency_items.csv,e96968ead87a5098f25c3c43f73fb8ab53a949b90cb00cd2c37bef86326ceb59,legacy_schema_v1_migration,2.0.0,Schema-v2 provenance record for the migrated official item catalog.
