agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
ia_idot_2101_0850001_v20260706,ia_idot_2101_0850001,2026-07-06,,CLEARING AND GRUBBING,CLEAR+GRUBB,ACRE,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2101_0850002_v20260706,ia_idot_2101_0850002,2026-07-06,,CLEARING AND GRUBBING,CLEAR+GRUBB,UNIT,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2101_1001005_v20260706,ia_idot_2101_1001005,2026-07-06,,REMOVAL OF FLOOD DEBRIS,RMVL OF FLOOD DEBRIS,TON,DS,ia_idot_item_catalog_2026_07_06,true
ia_idot_2101_1001010_v20260706,ia_idot_2101_1001010,2026-07-06,,REMOVAL OF DEBRIS FROM WATERWAY AREAS,RMVL OF DEBRIS FROM WATERWAYS,L S,SP2,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_0425046_v20260706,ia_idot_2102_0425046,2026-07-06,,SELECTED BACKFILL,SELECTED BACKFILL,CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_0425070_v20260706,ia_idot_2102_0425070,2026-07-06,,SPECIAL BACKFILL,SPECIAL BACKFILL,TON,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_0425071_v20260706,ia_idot_2102_0425071,2026-07-06,,SPECIAL BACKFILL,SPECIAL BACKFILL,CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_0425120_v20260706,ia_idot_2102_0425120,2026-07-06,,"SPECIAL BACKFILL MATERIAL, PLACE ONLY","SPECIAL BACKFILL MAT'L, PLACE ONLY",TON,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_0425220_v20260706,ia_idot_2102_0425220,2026-07-06,,"SPECIAL BACKFILL MATERIAL, PLACE ONLY","SPECIAL BACKFILL MAT'L, PLACE ONLY",CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2200000_v20260706,ia_idot_2102_2200000,2026-07-06,,INTERCEPTING DITCHES AND FLUMES,INTERCEPT DITCH+FLUME,LF,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2624980_v20260706,ia_idot_2102_2624980,2026-07-06,,CONTRACTOR FURNISHED SELECT TREATMENT,CONTRACTOR FURNISH SELECT TREATMENT,CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2625000_v20260706,ia_idot_2102_2625000,2026-07-06,,EMBANKMENT-IN-PLACE,EMBANKMENT-IN-PLACE,CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2625001_v20260706,ia_idot_2102_2625001,2026-07-06,,"EMBANKMENT-IN-PLACE, CONTRACTOR FURNISHED","EMBANKMENT-IN-PLACE, CONTRACTOR FURNISH",CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2625010_v20260706,ia_idot_2102_2625010,2026-07-06,,"EMBANKMENT-IN-PLACE, STOCKPILE","EMBANKMENT-IN-PLACE, STKP",CY,STD6,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2710070_v20260706,ia_idot_2102_2710070,2026-07-06,,"EXCAVATION, CLASS 10, ROADWAY AND BORROW","EXCAVATION, CL 10, RDWY+BORROW",CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2710080_v20260706,ia_idot_2102_2710080,2026-07-06,,"EXCAVATION, CLASS 10, UNSUITABLE OR UNSTABLE MATERIAL","EXCAVATION, CL 10, UNSUIT/UNSTABLE MAT'L",CY,STD,ia_idot_item_catalog_2026_07_06,true
ia_idot_2102_2710090_v20260706,ia_idot_2102_2710090,2026-07-06,,"EXCAVATION, CLASS 10, WASTE","EXCAVATION, CL 10, WASTE",CY,STD,ia_idot_item_catalog_2026_07_06,true
