agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
ia_idot_2101_0850001,IA,ia_idot,Iowa DOT,2101-0850001,ia_idot_2101_0850001_v20260706,current,
ia_idot_2101_0850002,IA,ia_idot,Iowa DOT,2101-0850002,ia_idot_2101_0850002_v20260706,current,
ia_idot_2101_1001005,IA,ia_idot,Iowa DOT,2101-1001005,ia_idot_2101_1001005_v20260706,current,
ia_idot_2101_1001010,IA,ia_idot,Iowa DOT,2101-1001010,ia_idot_2101_1001010_v20260706,current,
ia_idot_2102_0425046,IA,ia_idot,Iowa DOT,2102-0425046,ia_idot_2102_0425046_v20260706,current,
ia_idot_2102_0425070,IA,ia_idot,Iowa DOT,2102-0425070,ia_idot_2102_0425070_v20260706,current,
ia_idot_2102_0425071,IA,ia_idot,Iowa DOT,2102-0425071,ia_idot_2102_0425071_v20260706,current,
ia_idot_2102_0425120,IA,ia_idot,Iowa DOT,2102-0425120,ia_idot_2102_0425120_v20260706,current,
ia_idot_2102_0425220,IA,ia_idot,Iowa DOT,2102-0425220,ia_idot_2102_0425220_v20260706,current,
ia_idot_2102_2200000,IA,ia_idot,Iowa DOT,2102-2200000,ia_idot_2102_2200000_v20260706,current,
ia_idot_2102_2624980,IA,ia_idot,Iowa DOT,2102-2624980,ia_idot_2102_2624980_v20260706,current,
ia_idot_2102_2625000,IA,ia_idot,Iowa DOT,2102-2625000,ia_idot_2102_2625000_v20260706,current,
ia_idot_2102_2625001,IA,ia_idot,Iowa DOT,2102-2625001,ia_idot_2102_2625001_v20260706,current,
ia_idot_2102_2625010,IA,ia_idot,Iowa DOT,2102-2625010,ia_idot_2102_2625010_v20260706,current,
ia_idot_2102_2710070,IA,ia_idot,Iowa DOT,2102-2710070,ia_idot_2102_2710070_v20260706,current,
ia_idot_2102_2710080,IA,ia_idot,Iowa DOT,2102-2710080,ia_idot_2102_2710080_v20260706,current,
ia_idot_2102_2710090,IA,ia_idot,Iowa DOT,2102-2710090,ia_idot_2102_2710090_v20260706,current,
ia_idot_2102_2712015,IA,ia_idot,Iowa DOT,2102-2712015,ia_idot_2102_2712015_v20260706,current,
ia_idot_2102_2712070,IA,ia_idot,Iowa DOT,2102-2712070,ia_idot_2102_2712070_v20260706,current,
ia_idot_2102_2713070,IA,ia_idot,Iowa DOT,2102-2713070,ia_idot_2102_2713070_v20260706,current,
ia_idot_2102_2713090,IA,ia_idot,Iowa DOT,2102-2713090,ia_idot_2102_2713090_v20260706,current,
ia_idot_2102_3240000,IA,ia_idot,Iowa DOT,2102-3240000,ia_idot_2102_3240000_v20260706,current,
ia_idot_2102_4560000,IA,ia_idot,Iowa DOT,2102-4560000,ia_idot_2102_4560000_v20260706,current,
ia_idot_2102_4600000,IA,ia_idot,Iowa DOT,2102-4600000,ia_idot_2102_4600000_v20260706,current,
ia_idot_2102_5020010,IA,ia_idot,Iowa DOT,2102-5020010,ia_idot_2102_5020010_v20260706,current,
ia_idot_2103_0000100,IA,ia_idot,Iowa DOT,2103-0000100,ia_idot_2103_0000100_v20260706,current,
ia_idot_2104_2710020,IA,ia_idot,Iowa DOT,2104-2710020,ia_idot_2104_2710020_v20260706,current,
ia_idot_2104_2712020,IA,ia_idot,Iowa DOT,2104-2712020,ia_idot_2104_2712020_v20260706,current,
ia_idot_2104_2713020,IA,ia_idot,Iowa DOT,2104-2713020,ia_idot_2104_2713020_v20260706,current,
ia_idot_2105_8425005,IA,ia_idot,Iowa DOT,2105-8425005,ia_idot_2105_8425005_v20260706,current,
ia_idot_2105_8425011,IA,ia_idot,Iowa DOT,2105-8425011,ia_idot_2105_8425011_v20260706,current,
ia_idot_2105_8425015,IA,ia_idot,Iowa DOT,2105-8425015,ia_idot_2105_8425015_v20260706,current,
ia_idot_2105_8425020,IA,ia_idot,Iowa DOT,2105-8425020,ia_idot_2105_8425020_v20260706,current,
ia_idot_2107_0425020,IA,ia_idot,Iowa DOT,2107-0425020,ia_idot_2107_0425020_v20260706,current,
ia_idot_2107_0875000,IA,ia_idot,Iowa DOT,2107-0875000,ia_idot_2107_0875000_v20260706,current,
ia_idot_2107_0875100,IA,ia_idot,Iowa DOT,2107-0875100,ia_idot_2107_0875100_v20260706,current,
ia_idot_2107_0890000,IA,ia_idot,Iowa DOT,2107-0890000,ia_idot_2107_0890000_v20260706,current,
ia_idot_2107_3825025,IA,ia_idot,Iowa DOT,2107-3825025,ia_idot_2107_3825025_v20260706,current,
ia_idot_2109_8225100,IA,ia_idot,Iowa DOT,2109-8225100,ia_idot_2109_8225100_v20260706,current,
ia_idot_2109_9300100,IA,ia_idot,Iowa DOT,2109-9300100,ia_idot_2109_9300100_v20260706,current,
ia_idot_2110_3825010,IA,ia_idot,Iowa DOT,2110-3825010,ia_idot_2110_3825010_v20260706,current,
ia_idot_2110_8200000,IA,ia_idot,Iowa DOT,2110-8200000,ia_idot_2110_8200000_v20260706,current,
ia_idot_2111_8174100,IA,ia_idot,Iowa DOT,2111-8174100,ia_idot_2111_8174100_v20260706,current,
ia_idot_2111_8174200,IA,ia_idot,Iowa DOT,2111-8174200,ia_idot_2111_8174200_v20260706,current,
ia_idot_2112_0000100,IA,ia_idot,Iowa DOT,2112-0000100,ia_idot_2112_0000100_v20260706,current,
ia_idot_2112_0000200,IA,ia_idot,Iowa DOT,2112-0000200,ia_idot_2112_0000200_v20260706,current,
ia_idot_2112_0000300,IA,ia_idot,Iowa DOT,2112-0000300,ia_idot_2112_0000300_v20260706,current,
ia_idot_2113_0001000,IA,ia_idot,Iowa DOT,2113-0001000,ia_idot_2113_0001000_v20260706,current,
ia_idot_2113_0001100,IA,ia_idot,Iowa DOT,2113-0001100,ia_idot_2113_0001100_v20260706,current,
ia_idot_2115_0100000,IA,ia_idot,Iowa DOT,2115-0100000,ia_idot_2115_0100000_v20260706,current,
ia_idot_2115_0100200,IA,ia_idot,Iowa DOT,2115-0100200,ia_idot_2115_0100200_v20260706,current,
ia_idot_2116_0000100,IA,ia_idot,Iowa DOT,2116-0000100,ia_idot_2116_0000100_v20260706,current,
ia_idot_2116_0000210,IA,ia_idot,Iowa DOT,2116-0000210,ia_idot_2116_0000210_v20260706,current,
ia_idot_2116_0000220,IA,ia_idot,Iowa DOT,2116-0000220,ia_idot_2116_0000220_v20260706,current,
ia_idot_2116_0000300,IA,ia_idot,Iowa DOT,2116-0000300,ia_idot_2116_0000300_v20260706,current,
ia_idot_2121_7425010,IA,ia_idot,Iowa DOT,2121-7425010,ia_idot_2121_7425010_v20260706,current,
ia_idot_2121_7425011,IA,ia_idot,Iowa DOT,2121-7425011,ia_idot_2121_7425011_v20260706,current,
ia_idot_2121_7425020,IA,ia_idot,Iowa DOT,2121-7425020,ia_idot_2121_7425020_v20260706,current,
ia_idot_2121_7425021,IA,ia_idot,Iowa DOT,2121-7425021,ia_idot_2121_7425021_v20260706,current,
ia_idot_2121_7425022,IA,ia_idot,Iowa DOT,2121-7425022,ia_idot_2121_7425022_v20260706,current,
ia_idot_2121_8450810,IA,ia_idot,Iowa DOT,2121-8450810,ia_idot_2121_8450810_v20260706,current,
ia_idot_2122_5190006,IA,ia_idot,Iowa DOT,2122-5190006,ia_idot_2122_5190006_v20260706,current,
ia_idot_2122_5190007,IA,ia_idot,Iowa DOT,2122-5190007,ia_idot_2122_5190007_v20260706,current,
ia_idot_2122_5190008,IA,ia_idot,Iowa DOT,2122-5190008,ia_idot_2122_5190008_v20260706,current,
ia_idot_2122_5190009,IA,ia_idot,Iowa DOT,2122-5190009,ia_idot_2122_5190009_v20260706,current,
