contract_item_id,contract_id,source_id,section_number,section_title,line_number,source_item_code,agency_item_id,description_raw,quantity,unit_raw,unit_normalized,alternate_set,alternate_member,mapping_status,source_page,source_locator
ia_idot_20260616_54_0211_046_a_sec_0001_line_0010,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0010,2104-2710020,ia_idot_2104_2710020,"EXCAVATION, CLASS 10, CHANNEL",1006,CY,CY,,,direct,3,page:3:section:0001:line:0010
ia_idot_20260616_54_0211_046_a_sec_0001_line_0020,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0020,2401-6745625,ia_idot_2401_6745625,REMOVAL OF EXISTING BRIDGE,1,LS,L S,,,direct,3,page:3:section:0001:line:0020
ia_idot_20260616_54_0211_046_a_sec_0001_line_0030,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0030,2402-2720000,ia_idot_2402_2720000,"EXCAVATION, CLASS 20",150,CY,CY,,,direct,3,page:3:section:0001:line:0030
ia_idot_20260616_54_0211_046_a_sec_0001_line_0040,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0040,2403-0100010,ia_idot_2403_0100010,STRUCTURAL CONCRETE (BRIDGE),612.5,CY,CY,,,direct,3,page:3:section:0001:line:0040
ia_idot_20260616_54_0211_046_a_sec_0001_line_0050,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0050,2403-1000005,ia_idot_2403_1000005,FIBER REINFORCEMENT FOR STRUCTURAL CONCRETE,447.4,CY,CY,,,direct,3,page:3:section:0001:line:0050
ia_idot_20260616_54_0211_046_a_sec_0001_line_0060,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0060,2403-1000010,ia_idot_2403_1000010,TRIAL BATCH AND TEST PLACEMENT (FIBER REINFORCED CONCRETE),1,LS,L S,,,direct,3,page:3:section:0001:line:0060
ia_idot_20260616_54_0211_046_a_sec_0001_line_0070,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0070,2404-7775000,ia_idot_2404_7775000,REINFORCING STEEL,36843,LB,LB,,,direct,3,page:3:section:0001:line:0070
ia_idot_20260616_54_0211_046_a_sec_0001_line_0080,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0080,2404-7775005,ia_idot_2404_7775005,"REINFORCING STEEL, EPOXY COATED",126486,LB,LB,,,direct,4,page:4:section:0001:line:0080
ia_idot_20260616_54_0211_046_a_sec_0001_line_0090,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0090,2404-7775009,ia_idot_2404_7775009,"REINFORCING STEEL, STAINLESS STEEL",3712,LB,LB,,,direct,4,page:4:section:0001:line:0090
ia_idot_20260616_54_0211_046_a_sec_0001_line_0100,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,0001,DESIGN NO. 0326; 140'-0 X 40'-0 CONTINUOUS CONCRETE SLAB BRIDGE,0100,2408-7800000,ia_idot_2408_7800000,STRUCTURAL STEEL,1878,LB,LB,,,direct,4,page:4:section:0001:line:0100
