contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
ia_idot_20240117_06_1502_024_project_1,ia_idot_20240117_06_1502_024,BRFN-150-2(24)--39-06,Prairie Creek 1.8 mi N of Co Rd V71,BRIDGE REPLACEMENT - PPCB,BENTON,IOWA 150,Prairie Creek 1.8 mi N of Co Rd V71,1271408.57
ia_idot_20240117_06_c006_121_project_1,ia_idot_20240117_06_c006_121,FM-C006(121)--55-06,"On 63rd ST, Over MUD CREEK, S12 T84 R11",BRIDGE REPLACEMENT - CCS,BENTON,63RD STREET,"On 63rd ST, Over MUD CREEK, S12 T84 R11",482882.4
ia_idot_20240117_06_c006_122_project_1,ia_idot_20240117_06_c006_122,BROS-C006(122)--8J-06,"On 21 AVE DR, Over MUD CREEK, S13 T84 R11",BRIDGE REPLACEMENT - CCS,BENTON,21 AVENUE DRIVE,"On 21 AVE DR, Over MUD CREEK, S13 T84 R11",615355.4
ia_idot_20240117_07_0202_508_project_1,ia_idot_20240117_07_0202_508,MB-020-2(508)239--77-07,Over NB-WB Ramp At E I-380 Interchange (EB/WB),BRIDGE PAINTING,BLACK HAWK,U.S. 20,Over NB-WB Ramp At E I-380 Interchange (EB/WB),441100
ia_idot_20240117_09_2188_143_project_1,ia_idot_20240117_09_2188_143,NHSN-218-8(143)--2R-09,"Parcel No 1, 1406 260th St, Waverly",SALVAGE AND REMOVAL,BREMER,U.S. 218,"Parcel No 1, 1406 260th St, Waverly",24000
ia_idot_20240117_10_0207_045_project_1,ia_idot_20240117_10_0207_045,NHSX-020-7(045)--3H-10,IA 187 to IA 38,HMA RESURFACING,BUCHANAN,U.S. 20,IA 187 to IA 38,3920790.73
ia_idot_20240117_15_0802_257_project_1,ia_idot_20240117_15_0802_257,IMN-080-2(257)72--0E-15,770th St 1.9 mi E of IA 148 Interchange (EB/WB),BRIDGE REPAIR,CASS,I-80,770th St 1.9 mi E of IA 148 Interchange (EB/WB),47200
ia_idot_20240117_16_0308_049_project_1,ia_idot_20240117_16_0308_049,NHSN-030-8(49)--2R-16,"In Clarence, from WCL to ECL",HMA RESURFACING,CEDAR,U.S. 30,"In Clarence, from WCL to ECL",787263.25
ia_idot_20240117_16_0308_049_project_2,ia_idot_20240117_16_0308_049,NHSN-030-8(056)--2R-16,"In Clarence, WCL to ECL",PCC SIDEWALK/TRAIL,CEDAR,U.S. 30,"In Clarence, WCL to ECL",712735.48
ia_idot_20240117_16_c016_116_project_1,ia_idot_20240117_16_c016_116,BROS-C016(116)--5F-16,"On F 51, Over ELKHORN CREEK (LITTLE), S28 T79 R01",BRIDGE REPLACEMENT - CCS,CEDAR,F51,"On F 51, Over ELKHORN CREEK (LITTLE), S28 T79 R01",588907.06
ia_idot_20240117_17_0182_713_project_1,ia_idot_20240117_17_0182_713,MP-018-2(713)182--76-17,Lark Ave to W of Co Rd B35 - Various Locations,MISCELLANEOUS,CERRO GORDO,U.S. 18,Lark Ave to W of Co Rd B35 - Various Locations,403814
ia_idot_20240117_18_c018_085_project_1,ia_idot_20240117_18_c018_085,FM-C018(85)--55-18,"On L56, from C44 to Cherokee City limits",HMA RESURFACING WITH MILLING,CHEROKEE,L56,"On L56, from C44 to Cherokee City limits",1619853.31
ia_idot_20240117_19_c019_113_project_1,ia_idot_20240117_19_c019_113,STP-S-C019(113)--5E-19,"On V18, from U.S. Hwy. 18 North approximately 8.6 miles to the South Corporate Limits of the City of Alta Vista",PCC OVERLAY,CHICKASAW,V18,"On V18, from U.S. Hwy. 18 North approximately 8.6 miles to the South Corporate Limits of the City of Alta Vista",4216487.17
ia_idot_20240117_22_0562_010_project_1,ia_idot_20240117_22_0562_010,STP-056-1(005)--2C-33,IA 150 in West Union to Clayton Co Line,HMA RESURFACING WITH MILLING,FAYETTE,IOWA 56,IA 150 in West Union to Clayton Co Line,3011421.28
ia_idot_20240117_22_0562_010_project_2,ia_idot_20240117_22_0562_010,MP-150-2(707)80--76-33,From IA 56 to Intake in West Union,HMA RESURFACING WITH MILLING,FAYETTE,IOWA 150,From IA 56 to Intake in West Union,27921.86
ia_idot_20240117_22_0562_010_project_3,ia_idot_20240117_22_0562_010,STP-056-2(010)--2C-22,Fayette Co Line to WCL of Elkader,HMA RESURFACING WITH MILLING,CLAYTON,IOWA 56,Fayette Co Line to WCL of Elkader,2304499.9
ia_idot_20240117_23_c023_134_project_1,ia_idot_20240117_23_c023_134,BHS-C023(134)--63-23,"On Z 50, Over ELK RIVER, S15 T83 R06E",BRIDGE DECK OVERLAY,CLINTON,Z50,"On Z 50, Over ELK RIVER, S15 T83 R06E",360074.6
ia_idot_20240117_23_c023_137_project_1,ia_idot_20240117_23_c023_137,FM-C023(137)--55-23,"On Y-46 (185th Ave), from Hwy 136 N 2.8 miles to County Line",HMA RESURFACING WITH MILLING,CLINTON,Y46,"On Y-46 (185th Ave), from Hwy 136 N 2.8 miles to County Line",634724.45
ia_idot_20240117_24_0391_032_project_1,ia_idot_20240117_24_0391_032,STPN-039-1(32)--2J-24,Deloit to SCL of Odebolt,HMA RESURFACING WITH MILLING,CRAWFORD,IOWA 39,Deloit to SCL of Odebolt,10289576.07
ia_idot_20240117_24_0595_058_project_1,ia_idot_20240117_24_0595_058,BRFN-059-5(58)--39-24,Coon Creek 2.1 mi S of US 30,PIPE CULVERTS,CRAWFORD,U.S. 59,Coon Creek 2.1 mi S of US 30,1610667.47
ia_idot_20240117_24_1413_500_project_1,ia_idot_20240117_24_1413_500,MB-141-3(500)42--77-24,East Soldier River 0.1 mi W of Co Rd L51,BRIDGE PAINTING,CRAWFORD,IOWA 141,East Soldier River 0.1 mi W of Co Rd L51,131945
ia_idot_20240117_24_c024_131_project_1,ia_idot_20240117_24_c024_131,BRS-C024(131)--60-24,"On E 16, Over SMALL STREAM, S21 T85 R41",RCB CULVERT REPLACEMENT - TWIN BOX,CRAWFORD,E16,"On E 16, Over SMALL STREAM, S21 T85 R41",874128.06
