observation_id,contract_id,source_id,agency_item_id,agency_item_code,description_raw,description_normalized,unit_raw,unit_normalized,quantity,unit_price,extended_price,discipline,price_type,date_basis,derivation_method,derivation_input_count
ia_idot_20260616_54_0211_046_a_sec_0001_line_0010_awarded,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2104_2710020,2104-2710020,"EXCAVATION, CLASS 10, CHANNEL",excavation class 10 channel,CY,CY,1006,12,12072,Roadway,awarded_bid,2026-06-16,explicit_awarded_vendor,1
ia_idot_20260616_54_0211_046_a_sec_0001_line_0010_average,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2104_2710020,2104-2710020,"EXCAVATION, CLASS 10, CHANNEL",excavation class 10 channel,CY,CY,1006,11,11066,Roadway,average_bid,2026-06-16,unweighted_bidder_mean,2
ia_idot_20260616_54_0211_046_a_sec_0001_line_0020_awarded,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2401_6745625,2401-6745625,REMOVAL OF EXISTING BRIDGE,removal of existing bridge,LS,L S,1,180000,180000,Roadway,awarded_bid,2026-06-16,explicit_awarded_vendor,1
ia_idot_20260616_54_0211_046_a_sec_0001_line_0020_average,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2401_6745625,2401-6745625,REMOVAL OF EXISTING BRIDGE,removal of existing bridge,LS,L S,1,215000,215000,Roadway,average_bid,2026-06-16,unweighted_bidder_mean,2
ia_idot_20260616_54_0211_046_a_sec_0001_line_0030_awarded,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2402_2720000,2402-2720000,"EXCAVATION, CLASS 20",excavation class 20,CY,CY,150,38.5,5775,Roadway,awarded_bid,2026-06-16,explicit_awarded_vendor,1
ia_idot_20260616_54_0211_046_a_sec_0001_line_0030_average,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2402_2720000,2402-2720000,"EXCAVATION, CLASS 20",excavation class 20,CY,CY,150,34.25,5137.5,Roadway,average_bid,2026-06-16,unweighted_bidder_mean,2
ia_idot_20260616_54_0211_046_a_sec_0001_line_0040_awarded,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2403_0100010,2403-0100010,STRUCTURAL CONCRETE (BRIDGE),structural concrete bridge,CY,CY,612.5,1050,643125,Roadway,awarded_bid,2026-06-16,explicit_awarded_vendor,1
ia_idot_20260616_54_0211_046_a_sec_0001_line_0040_average,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2403_0100010,2403-0100010,STRUCTURAL CONCRETE (BRIDGE),structural concrete bridge,CY,CY,612.5,1325,811562.5,Roadway,average_bid,2026-06-16,unweighted_bidder_mean,2
ia_idot_20260616_54_0211_046_a_sec_0001_line_0050_awarded,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2403_1000005,2403-1000005,FIBER REINFORCEMENT FOR STRUCTURAL CONCRETE,fiber reinforcement for structural concrete,CY,CY,447.4,40,17896,Roadway,awarded_bid,2026-06-16,explicit_awarded_vendor,1
ia_idot_20260616_54_0211_046_a_sec_0001_line_0050_average,ia_idot_20260616_54_0211_046_a,ia_idot_bid_tabs_2026_06_16,ia_idot_2403_1000005,2403-1000005,FIBER REINFORCEMENT FOR STRUCTURAL CONCRETE,fiber reinforcement for structural concrete,CY,CY,447.4,32.5,14540.5,Roadway,average_bid,2026-06-16,unweighted_bidder_mean,2
