taxonomy_id,state,agency_id,taxonomy_level,taxonomy_code,parent_taxonomy_id,taxonomy_label,match_prefix,source_year,source_url
ia_idot_div_21,IA,ia_idot,division,21,,"Earthwork, Subgrades, and Subbases",21,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_22,IA,ia_idot,division,22,,Base Courses,22,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_23,IA,ia_idot,division,23,,Surface Courses,23,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_24,IA,ia_idot,division,24,,Structures,24,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_25,IA,ia_idot,division,25,,Miscellaneous Construction,25,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_26,IA,ia_idot,division,26,,Roadside Development,26,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_60,IA,ia_idot,division,60,,Special Bid Items,60,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_61,IA,ia_idot,division,61,,Bid Item Adjustments,61,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_div_62,IA,ia_idot,division,62,,Price Adjustments,62,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav.htm
ia_idot_sec_2101,IA,ia_idot,section,2101,ia_idot_div_21,Clearing and Grubbing,2101,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav21.htm
ia_idot_sec_2102,IA,ia_idot,section,2102,ia_idot_div_21,Roadway and Borrow Excavation,2102,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav21.htm
ia_idot_sec_2103,IA,ia_idot,section,2103,ia_idot_div_21,Pre-Splitting and Production Blasting of Rock Slope Cuts,2103,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav21.htm
ia_idot_sec_2104,IA,ia_idot,section,2104,ia_idot_div_21,Channel Excavation,2104,2026,https://ia.iowadot.gov/erl/current/GS/Navigation/nav21.htm
