letting_id,source_id,state,agency_id,letting_date,letting_label
ia_idot_2024_01_17,ia_idot_bid_tabs_2024_01_17,IA,ia_idot,2024-01-17,Iowa DOT 2024-01-17 Letting
ia_idot_2024_02_20,ia_idot_bid_tabs_2024_02_20,IA,ia_idot,2024-02-20,Iowa DOT 2024-02-20 Letting
ia_idot_2024_03_19,ia_idot_bid_tabs_2024_03_19,IA,ia_idot,2024-03-19,Iowa DOT 2024-03-19 Letting
ia_idot_2024_04_16,ia_idot_bid_tabs_2024_04_16,IA,ia_idot,2024-04-16,Iowa DOT 2024-04-16 Letting
ia_idot_2024_05_21,ia_idot_bid_tabs_2024_05_21,IA,ia_idot,2024-05-21,Iowa DOT 2024-05-21 Letting
ia_idot_2024_06_18,ia_idot_bid_tabs_2024_06_18,IA,ia_idot,2024-06-18,Iowa DOT 2024-06-18 Letting
ia_idot_2024_07_16,ia_idot_bid_tabs_2024_07_16,IA,ia_idot,2024-07-16,Iowa DOT 2024-07-16 Letting
ia_idot_2024_07_30,ia_idot_bid_tabs_2024_07_30,IA,ia_idot,2024-07-30,Iowa DOT 2024-07-30 Letting
ia_idot_2024_08_06,ia_idot_bid_tabs_2024_08_06,IA,ia_idot,2024-08-06,Iowa DOT 2024-08-06 Letting
ia_idot_2024_08_20,ia_idot_bid_tabs_2024_08_20,IA,ia_idot,2024-08-20,Iowa DOT 2024-08-20 Letting
ia_idot_2024_09_04,ia_idot_bid_tabs_2024_09_04,IA,ia_idot,2024-09-04,Iowa DOT 2024-09-04 Letting
ia_idot_2024_09_17,ia_idot_bid_tabs_2024_09_17,IA,ia_idot,2024-09-17,Iowa DOT 2024-09-17 Letting
ia_idot_2024_09_24,ia_idot_bid_tabs_2024_09_24,IA,ia_idot,2024-09-24,Iowa DOT 2024-09-24 Letting
ia_idot_2024_10_08,ia_idot_bid_tabs_2024_10_08,IA,ia_idot,2024-10-08,Iowa DOT 2024-10-08 Letting
ia_idot_2024_10_15,ia_idot_bid_tabs_2024_10_15,IA,ia_idot,2024-10-15,Iowa DOT 2024-10-15 Letting
ia_idot_2024_10_22,ia_idot_bid_tabs_2024_10_22,IA,ia_idot,2024-10-22,Iowa DOT 2024-10-22 Letting
ia_idot_2024_11_19,ia_idot_bid_tabs_2024_11_19,IA,ia_idot,2024-11-19,Iowa DOT 2024-11-19 Letting
ia_idot_2024_12_03,ia_idot_bid_tabs_2024_12_03,IA,ia_idot,2024-12-03,Iowa DOT 2024-12-03 Letting
ia_idot_2024_12_17,ia_idot_bid_tabs_2024_12_17,IA,ia_idot,2024-12-17,Iowa DOT 2024-12-17 Letting
ia_idot_2025_01_22,ia_idot_bid_tabs_2025_01_22,IA,ia_idot,2025-01-22,Iowa DOT 2025-01-22 Letting
ia_idot_2025_02_18,ia_idot_bid_tabs_2025_02_18,IA,ia_idot,2025-02-18,Iowa DOT 2025-02-18 Letting
ia_idot_2025_03_18,ia_idot_bid_tabs_2025_03_18,IA,ia_idot,2025-03-18,Iowa DOT 2025-03-18 Letting
ia_idot_2025_04_01,ia_idot_bid_tabs_2025_04_01,IA,ia_idot,2025-04-01,Iowa DOT 2025-04-01 Letting
ia_idot_2025_04_15,ia_idot_bid_tabs_2025_04_15,IA,ia_idot,2025-04-15,Iowa DOT 2025-04-15 Letting
ia_idot_2025_05_20,ia_idot_bid_tabs_2025_05_20,IA,ia_idot,2025-05-20,Iowa DOT 2025-05-20 Letting
ia_idot_2025_06_03,ia_idot_bid_tabs_2025_06_03,IA,ia_idot,2025-06-03,Iowa DOT 2025-06-03 Letting
ia_idot_2025_06_17,ia_idot_bid_tabs_2025_06_17,IA,ia_idot,2025-06-17,Iowa DOT 2025-06-17 Letting
ia_idot_2025_07_15,ia_idot_bid_tabs_2025_07_15,IA,ia_idot,2025-07-15,Iowa DOT 2025-07-15 Letting
ia_idot_2025_08_19,ia_idot_bid_tabs_2025_08_19,IA,ia_idot,2025-08-19,Iowa DOT 2025-08-19 Letting
ia_idot_2025_09_16,ia_idot_bid_tabs_2025_09_16,IA,ia_idot,2025-09-16,Iowa DOT 2025-09-16 Letting
ia_idot_2025_09_23,ia_idot_bid_tabs_2025_09_23,IA,ia_idot,2025-09-23,Iowa DOT 2025-09-23 Letting
ia_idot_2025_10_22,ia_idot_bid_tabs_2025_10_22,IA,ia_idot,2025-10-22,Iowa DOT 2025-10-22 Letting
ia_idot_2025_11_18,ia_idot_bid_tabs_2025_11_18,IA,ia_idot,2025-11-18,Iowa DOT 2025-11-18 Letting
ia_idot_2025_12_16,ia_idot_bid_tabs_2025_12_16,IA,ia_idot,2025-12-16,Iowa DOT 2025-12-16 Letting
ia_idot_2026_01_21,ia_idot_bid_tabs_2026_01_21,IA,ia_idot,2026-01-21,Iowa DOT 2026-01-21 Letting
ia_idot_2026_02_10,ia_idot_bid_tabs_2026_02_10,IA,ia_idot,2026-02-10,Iowa DOT 2026-02-10 Letting
ia_idot_2026_02_17,ia_idot_bid_tabs_2026_02_17,IA,ia_idot,2026-02-17,Iowa DOT 2026-02-17 Letting
ia_idot_2026_03_17,ia_idot_bid_tabs_2026_03_17,IA,ia_idot,2026-03-17,Iowa DOT 2026-03-17 Letting
ia_idot_2026_04_14,ia_idot_bid_tabs_2026_04_14,IA,ia_idot,2026-04-14,Iowa DOT 2026-04-14 Letting
ia_idot_2026_04_21,ia_idot_bid_tabs_2026_04_21,IA,ia_idot,2026-04-21,Iowa DOT 2026-04-21 Letting
ia_idot_2026_05_19,ia_idot_bid_tabs_2026_05_19,IA,ia_idot,2026-05-19,Iowa DOT 2026-05-19 Letting
