agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
ne_ndot_version_0001.00_current,ne_ndot_0001.00,,,SURVEILLANCE OF TEMPORARY TRAFFIC CONTROL DEVICES,,CAL DAY,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.04_current,ne_ndot_0001.04,,,ENDANGERED SPECIES DAILY SURVEYOR,,DAY,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.05_historical,ne_ndot_0001.05,,,BRIDGE DECK SURVEILLANCE,,DAY,,ne_ndot_aup_july_june_2021_2022,false
ne_ndot_version_0001.06_current,ne_ndot_0001.06,,,VERTICAL PANELS,,BARR DAY,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.07_historical,ne_ndot_0001.07,,,SURVEILLANCE OF TEMPORARY TRAFFIC CONTROL DEVICES,,DAY,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0001.08_current,ne_ndot_0001.08,,,"BARRICADE, TYPE II",,BARR DAY,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.09_historical,ne_ndot_0001.09,,,"BARRICADE, TYPE II",,BDAY,,ne_ndot_aup_july_june_2020_2021,false
ne_ndot_version_0001.10_current,ne_ndot_0001.10,,,"BARRICADE, TYPE III",,BARR DAY,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.11_historical,ne_ndot_0001.11,,,PUBLIC RELATIONS SPOKESPERSON,,LS,,ne_ndot_aup_calendar_2022,false
ne_ndot_version_0001.20_current,ne_ndot_0001.20,,,"BARRICADE, TYPE III",,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.30_current,ne_ndot_0001.30,,,TYPE B HIGH INTENSITY WARNING LIGHT,,LIGHT DAY,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.45_current,ne_ndot_0001.45,,,REFLECTORIZED PLASTIC DRUM,,BARR DAY,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.46_current,ne_ndot_0001.46,,,REFLECTORIZED CONE,,BARR DAY,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.50_historical,ne_ndot_0001.50,,,FLAGGING,,DAY,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0001.51_historical,ne_ndot_0001.51,,,SHOULDER CLOSURE 2-LANE ROADWAY,,DAY,,ne_ndot_aup_calendar_2023,false
ne_ndot_version_0001.52_historical,ne_ndot_0001.52,,,SHOULDER CLOSURE 4-LANE ROADWAY,,DAY,,ne_ndot_aup_calendar_2023,false
ne_ndot_version_0001.53_historical,ne_ndot_0001.53,,,LANE CLOSURE 2-LANE ROADWAY,,DAY,,ne_ndot_aup_calendar_2023,false
ne_ndot_version_0001.54_historical,ne_ndot_0001.54,,,LANE CLOSURE 4-LANE ROADWAY,,DAY,,ne_ndot_aup_calendar_2023,false
ne_ndot_version_0001.75_current,ne_ndot_0001.75,,,TEMPORARY SIGN DAY,,EACH,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.85_current,ne_ndot_0001.85,,,SIGN DAY,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.90_current,ne_ndot_0001.90,,,SIGN DAY,,EACH,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0001.91_historical,ne_ndot_0001.91,,,BARRICADE FURNISHED SIGN DAY,,EACH,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0001.97_historical,ne_ndot_0001.97,,,BARRICADE SIGN DAY,,EACH,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0001.99_current,ne_ndot_0001.99,,,CONTRACTOR FURNISHED SIGN DAY,,EACH,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.01_historical,ne_ndot_0002.01,,,PERMANENT SIGNING,,EACH,,ne_ndot_aup_calendar_2023,false
ne_ndot_version_0002.08_historical,ne_ndot_0002.08,,,"4"" YELLOW REMOVABLE WET REFLECTIVE TAPE",,LF,,ne_ndot_aup_july_june_2018_2019,false
ne_ndot_version_0002.09_historical,ne_ndot_0002.09,,,"4"" WHITE REMOVABLE WET REFLECTIVE TAPE",,LF,,ne_ndot_aup_july_june_2018_2019,false
ne_ndot_version_0002.11_historical,ne_ndot_0002.11,,,"4"" BLACK REMOVABLE WET REFLECTIVE TAPE",,LF,,ne_ndot_aup_calendar_2020,false
ne_ndot_version_0002.12_current,ne_ndot_0002.12,,,INSTALL OVERHEAD DETOUR SIGN,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.14_current,ne_ndot_0002.14,,,INSTALL DETOUR OVERLAY PANEL,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.17_historical,ne_ndot_0002.17,,,"4"" BLACK REMOVABLE TAPE, TYPE 4",,LF,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0002.18_historical,ne_ndot_0002.18,,,"4"" WHITE REMOVABLE WET REFLECTIVE TAPE, TYPE 4",,LF,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0002.19_historical,ne_ndot_0002.19,,,"4"" YELLOW REMOVABLE WET REFLECTIVE TAPE, TYPE 4",,LF,,ne_ndot_aup_july_june_2025_2026,false
ne_ndot_version_0002.20_current,ne_ndot_0002.20,,,OBJECT MARKER,,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.26_current,ne_ndot_0002.26,,,"WRONG WAY ARROW, TEMPORARY PAVEMENT MARKING, TYPE 2",,EACH,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.27_current,ne_ndot_0002.27,,,REMOVABLE WET REFLECTIVE TAPE,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.28_current,ne_ndot_0002.28,,,TEMPORARY PAVEMENT MARKING REMOVAL,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.30_current,ne_ndot_0002.30,,,PAVEMENT MARKING REMOVAL,,LIN FT,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.31_current,ne_ndot_0002.31,,,TEMPORARY PAVEMENT MARKING,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.32_current,ne_ndot_0002.32,,,PAVEMENT MARKING REMOVAL,,SQ FT,422.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_0002.33_current,ne_ndot_0002.33,,,TEMPORARY PAVEMENT MARKING,,LIN FT,,ne_ndot_english_standard_item_list_2010,true
