taxonomy_id,state,agency_id,taxonomy_level,taxonomy_code,parent_taxonomy_id,taxonomy_label,match_prefix,source_year,source_url
ne_ndot_div_100,NE,ne_ndot,division,100,,Division 100 - General Requirements and Covenants,1,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_1000,NE,ne_ndot,division,1000,,Division 1000 - Material Details,1,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_200,NE,ne_ndot,division,200,,Division 200 - Earthwork,2,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_300,NE,ne_ndot,division,300,,"Division 300 - Subgrade Preparation, Foundation Courses, Base Courses, Shoulder Construction, and Aggregate Surfacing",3,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_400,NE,ne_ndot,division,400,,"Division 400 - Lighting, Signs, and Traffic Control",4,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_500,NE,ne_ndot,division,500,,Division 500 - Bituminous Pavement,5,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_600,NE,ne_ndot,division,600,,Division 600 - Portland Cement Concrete Pavements,6,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_700,NE,ne_ndot,division,700,,"Division 700 - Bridges, Culverts, and Related Construction",7,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_800,NE,ne_ndot,division,800,,Division 800 - Roadside Development and Erosion Control,8,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_900,NE,ne_ndot,division,900,,Division 900 - Incidental Construction,9,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_div_unclassified,NE,ne_ndot,division,UNCLASSIFIED,,Unclassified / special items,U,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_112,NE,ne_ndot,section,112,ne_ndot_div_100,Section 112 - MOBILIZATION,112,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_114,NE,ne_ndot,section,114,ne_ndot_div_100,Section 114 - CONSTRUCTION STAKING,114,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_202,NE,ne_ndot,section,202,ne_ndot_div_200,Section 202 - CLEARING AND GRUBBING,202,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_203,NE,ne_ndot,section,203,ne_ndot_div_200,Section 203 - REMOVAL OF STRUCTURES AND OBSTRUCTIONS,203,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_205,NE,ne_ndot,section,205,ne_ndot_div_200,Section 205 - EXCAVATION AND EMBANKMENT,205,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_206,NE,ne_ndot,section,206,ne_ndot_div_200,Section 206 - ROADWAY GRADING,206,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_207,NE,ne_ndot,section,207,ne_ndot_div_200,Section 207 - SALVAGING AND PLACING TOPSOIL,207,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_208,NE,ne_ndot,section,208,ne_ndot_div_200,Section 208 - BORROW AND WASTE SITE RESTORATION,208,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_209,NE,ne_ndot,section,209,ne_ndot_div_200,Section 209 - OVERHAUL,209,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_302,NE,ne_ndot,section,302,ne_ndot_div_300,"Section 302 - SUBGRADE PREPARATION, SHOULDER SUBGRADE",302,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_303,NE,ne_ndot,section,303,ne_ndot_div_300,Section 303 - SUBGRADE STABILIZATION,303,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_304,NE,ne_ndot,section,304,ne_ndot_div_300,Section 304 - EARTH SHOULDER CONSTRUCTION,304,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_305,NE,ne_ndot,section,305,ne_ndot_div_300,Section 305 - CRUSHED ROCK BASE COURSE,305,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
ne_ndot_sec_306,NE,ne_ndot,section,306,ne_ndot_div_300,Section 306 - GRANULAR FILL,306,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf
