membership_id,state,agency_id,agency_item_id,taxonomy_id,source_id,match_status,notes
ne_ndot_membership_0001.00,NE,ne_ndot,ne_ndot_0001.00,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.04,NE,ne_ndot,ne_ndot_0001.04,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.05,NE,ne_ndot,ne_ndot_0001.05,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.06,NE,ne_ndot,ne_ndot_0001.06,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.07,NE,ne_ndot,ne_ndot_0001.07,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.08,NE,ne_ndot,ne_ndot_0001.08,ne_ndot_sec_422,ne_ndot_2017_standard_specifications,catalog_exact,Catalog specification reference matched 2017 Standard Specifications.
ne_ndot_membership_0001.09,NE,ne_ndot,ne_ndot_0001.09,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.10,NE,ne_ndot,ne_ndot_0001.10,ne_ndot_sec_422,ne_ndot_2017_standard_specifications,catalog_exact,Catalog specification reference matched 2017 Standard Specifications.
ne_ndot_membership_0001.11,NE,ne_ndot,ne_ndot_0001.11,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.20,NE,ne_ndot,ne_ndot_0001.20,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.30,NE,ne_ndot,ne_ndot_0001.30,ne_ndot_sec_422,ne_ndot_2017_standard_specifications,catalog_exact,Catalog specification reference matched 2017 Standard Specifications.
ne_ndot_membership_0001.45,NE,ne_ndot,ne_ndot_0001.45,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.46,NE,ne_ndot,ne_ndot_0001.46,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.50,NE,ne_ndot,ne_ndot_0001.50,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
ne_ndot_membership_0001.51,NE,ne_ndot,ne_ndot_0001.51,ne_ndot_sec_unclassified,ne_ndot_2017_standard_specifications,unclassified,No supported catalog specification reference; explicit fallback membership.
