source_id,source_type,agency_id,agency_name,state,source_label,source_date,data_year,source_url,source_file_name,sha256,parser_name,parser_version,notes
ne_ndot_2017_standard_specifications,specification_taxonomy,ne_ndot,Nebraska Department of Transportation,NE,NDOT 2017 Standard Specifications,2017-08-01,2017,https://dot.nebraska.gov/media/g4qp4y0d/2017-specbook.pdf,2017-specbook.pdf,3ddc080ff7346357f522f6e758ce804d487ee845aad9a9feb63a1d5d61bf54a6,pypdf_specification_hierarchy,pypdf-5,Official specification hierarchy used for explicit taxonomy memberships.
ne_ndot_aup_calendar_2018,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2019-04-17,2018,https://dot.nebraska.gov/media/o4gnheao/c-users-royleach-desktop-it-umbraco-docs-aup_j2018_d2018.pdf,aup-january-2018-december-2018.pdf,703e66838076021324db0b9b3bca546f0fbfe0f2a5b0694f66981ef451f02f50,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2018 - December 2018; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2019,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2020-01-07,2019,https://dot.nebraska.gov/media/irflf5ie/aupj2019-d2019.pdf,aup-january-2019-december-2019.pdf,2c9165fea76d180996f673871da7d35975a8e0b2e885ab87a46bd644e7d71f69,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2019 - December 2019; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2020,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2021-01-06,2020,https://dot.nebraska.gov/media/abahjec0/aup-january-2020-december-2020.pdf,aup-january-2020-december-2020.pdf,db474d29a74872a5b2101d3e840b260772b3fcdee2ca56626e365194d61e7181,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2020 - December 2020; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2021,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2022-01-03,2021,https://dot.nebraska.gov/media/3uxlzjo1/aup-january-2021-december-2021.pdf,aup-january-2021-december-2021.pdf,c71d5089f66272fa9aa5400f3c68c494c867341e32f537bf459f72ca5025e977,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2021 - December 2021; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2022,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2023-01-05,2022,https://dot.nebraska.gov/media/yv5bn0pv/aup-jan-2022-dec-2022.pdf,aup-january-2022-december-2022.pdf,a5fd5830068525d114d435608a6121533a2226a553018427823d25b16f65de5f,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2022 - December 2022; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2023,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2024-01-30,2023,https://dot.nebraska.gov/media/k2eh1k20/aup-january-2023-december-2023.pdf,aup-january-2023-december-2023.pdf,374ef12b5f2d8158dc4cb6d3fb7b7a89254b7f8ecdadf85c5b171890cc8129d5,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2023 - December 2023; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2024,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2025-03-02,2024,https://dot.nebraska.gov/media/m2rdvuuc/aup-january-2024-december-2024.pdf,aup-january-2024-december-2024.pdf,9ad82b48f5db75567990d307320b2baa00e2f72e1815a74e1ed11e7acca8ba44,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2024 - December 2024; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_calendar_2025,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2026-06-18,2025,https://dot.nebraska.gov/media/xqvdpg0p/aup-january-2025-december-2025.pdf,aup-january-2025-december-2025.pdf,43cd11e001b18eb3f1d226649c1aca483b70a42ace71b1b9e7274fce2867b206,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published January 2025 - December 2025; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_july_june_2017_2018,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2018-06-30,2018,https://dot.nebraska.gov/media/s2nfx2ca/aup_j2017_j2018.pdf,aup-july-2017-june-2018.pdf,81faaae13c2cc16f8bd848afe91a1089dcbb76559f7163a8d509f0d75e0e5c8f,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published July 2017 - June 2018; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_july_june_2018_2019,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2019-07-01,2019,https://dot.nebraska.gov/media/5nrobrwj/aupj2018_j2019.pdf,aup-july-2018-june-2019.pdf,6583038fbae312c7fe48a39c6951d11a79e361e63906dc0c8f3892331ff973d1,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published July 2018 - June 2019; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_july_june_2019_2020,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2020-07-16,2020,https://dot.nebraska.gov/media/53rnpm25/aup-july-2019-june-2020.pdf,aup-july-2019-june-2020.pdf,af8630928b8784f467bc2367726ebca0b4ce27a6cca80dd04a20456e731762d8,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published July 2019 - June 2020; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_july_june_2020_2021,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2021-07-07,2021,https://dot.nebraska.gov/media/jzwhlohs/aup-july-2020-june-2021.pdf,aup-july-2020-june-2021.pdf,acc16d28283e7d2ff1c003d2598bfbb552481d5f067905b70b625f42f8a8c9fa,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published July 2020 - June 2021; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_july_june_2021_2022,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2022-07-15,2022,https://dot.nebraska.gov/media/tqtp0wci/aup-july-2021-june-2022.pdf,aup-july-2021-june-2022.pdf,126954fae642556b31d619c21c9c43e04d6c79e3d0c728c0ec0a6334a91bbfe7,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published July 2021 - June 2022; annual period aggregate; rows remain independent when periods overlap.
ne_ndot_aup_july_june_2022_2023,annual_price_summary,ne_ndot,Nebraska Department of Transportation,NE,NDOT average unit price summaries,2023-08-16,2023,https://dot.nebraska.gov/media/igigdl0o/aup-july-2022-june-2023.pdf,aup-july-2022-june-2023.pdf,7cb504858578acd9d33b6aa770566331e074942688b89dd9e0494ede090951ec,pdfplumber_coordinate_table,pdfplumber-0.11.9,Published July 2022 - June 2023; annual period aggregate; rows remain independent when periods overlap.
