agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
sd_sddot_004E0010_v20260727,sd_sddot_004E0010,2026-07-27,,Blading,Blading,HOUR,004,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_004E0020_v20260727,sd_sddot_004E0020,2026-07-27,,Construction and Maintenance of Detour(s),Construction and Maintenance of Detour(s),L S,004,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_004E0030_v20260727,sd_sddot_004E0030,2026-07-27,,Maintenance of Traffic Diversion(s),Maintenance of Traffic Diversion(s),L S,004,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_004E0050_v20260727,sd_sddot_004E0050,2026-07-27,,Remove Traffic Diversion(s),Remove Traffic Diversion(s),L S,004,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_004E0060_v20260727,sd_sddot_004E0060,2026-07-27,,Temporary Detour Structure,Temporary Detour Structure,EACH,004,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_004E0070_v20260727,sd_sddot_004E0070,2026-07-27,,Temporary Pedestrian Structure,Temporary Pedestrian Structure,EACH,004,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0010_v20260727,sd_sddot_009E0010,2026-07-27,,Mobilization,Mobilization,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0197_v20260727,sd_sddot_009E0197,2026-07-27,,Mobilization 1,Mobilization 1,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0198_v20260727,sd_sddot_009E0198,2026-07-27,,Mobilization 2,Mobilization 2,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0199_v20260727,sd_sddot_009E0199,2026-07-27,,Mobilization 3,Mobilization 3,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0200_v20260727,sd_sddot_009E0200,2026-07-27,,Claim Payment,Claim Payment,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0300_v20260727,sd_sddot_009E0300,2026-07-27,,Additional Material,Additional Material,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0400_v20260727,sd_sddot_009E0400,2026-07-27,,Eliminated Materials,Eliminated Materials,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0410_v20260727,sd_sddot_009E0410,2026-07-27,,Eliminated Materials,Eliminated Materials,FA,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0600_v20260727,sd_sddot_009E0600,2026-07-27,,Extra Haul,Extra Haul,TM,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0700_v20260727,sd_sddot_009E0700,2026-07-27,,Extra Work,Extra Work,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0710_v20260727,sd_sddot_009E0710,2026-07-27,,Extra Work,Extra Work,FA,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0720_v20260727,sd_sddot_009E0720,2026-07-27,,"Extra Work, Utilities","Extra Work, Utilities",L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0800_v20260727,sd_sddot_009E0800,2026-07-27,,General Laborer,General Laborer,HOUR,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0900_v20260727,sd_sddot_009E0900,2026-07-27,,Fuel Cost Adjustment,Fuel Cost Adjustment,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0901_v20260727,sd_sddot_009E0901,2026-07-27,,Cost Adjustment for Diesel Motor Fuel,Cost Adjustment for Diesel Motor Fuel,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0902_v20260727,sd_sddot_009E0902,2026-07-27,,Cost Adjustment for Unleaded Motor Fuel,Cost Adjustment for Unleaded Motor Fuel,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0905_v20260727,sd_sddot_009E0905,2026-07-27,,Cost Adjustment for Diesel Burner Fuel,Cost Adjustment for Diesel Burner Fuel,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E0906_v20260727,sd_sddot_009E0906,2026-07-27,,Cost Adjustment for Propane Burner Fuel,Cost Adjustment for Propane Burner Fuel,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1000_v20260727,sd_sddot_009E1000,2026-07-27,,Incentive/Disincentive Pay,Incentive/Disincentive Pay,DAY,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1010_v20260727,sd_sddot_009E1010,2026-07-27,,Incentive Pay,Incentive Pay,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1100_v20260727,sd_sddot_009E1100,2026-07-27,,Increased Freight Cost,Increased Freight Cost,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1300_v20260727,sd_sddot_009E1300,2026-07-27,,Stockpile Site Reimbursement,Stockpile Site Reimbursement,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1350_v20260727,sd_sddot_009E1350,2026-07-27,,Restoration of Stockpile Site,Restoration of Stockpile Site,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1400_v20260727,sd_sddot_009E1400,2026-07-27,,Value Engineering Credit,Value Engineering Credit,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E1410_v20260727,sd_sddot_009E1410,2026-07-27,,Value Engineering Deduction,Value Engineering Deduction,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E2000_v20260727,sd_sddot_009E2000,2026-07-27,,"Deduction, Material","Deduction, Material",L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E2010_v20260727,sd_sddot_009E2010,2026-07-27,,"Deduction, Plan Deviation","Deduction, Plan Deviation",L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E2020_v20260727,sd_sddot_009E2020,2026-07-27,,"Deduction, Specification Failure","Deduction, Specification Failure",L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E2100_v20260727,sd_sddot_009E2100,2026-07-27,,Addendum,Addendum,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3000_v20260727,sd_sddot_009E3000,2026-07-27,,Partnering,Partnering,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3010_v20260727,sd_sddot_009E3010,2026-07-27,,Public Information,Public Information,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3020_v20260727,sd_sddot_009E3020,2026-07-27,,Public Information/Public Relations,Public Information/Public Relations,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3100_v20260727,sd_sddot_009E3100,2026-07-27,,Critical Path Method Schedule Monthly Update,Critical Path Method Schedule Monthly Update,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3110_v20260727,sd_sddot_009E3110,2026-07-27,,Critical Path Method Schedule,Critical Path Method Schedule,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3120_v20260727,sd_sddot_009E3120,2026-07-27,,Lane Rental Payment and Assessment,Lane Rental Payment and Assessment,LMD,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3130_v20260727,sd_sddot_009E3130,2026-07-27,,Block Closure Rental Payment and Assessment,Block Closure Rental Payment and Assessment,BCD,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3200_v20260727,sd_sddot_009E3200,2026-07-27,,Construction Staking,Construction Staking,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3210_v20260727,sd_sddot_009E3210,2026-07-27,,Construction Staking,Construction Staking,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3220_v20260727,sd_sddot_009E3220,2026-07-27,,Reestablish Right-of-Way and Property Corner,Reestablish Right-of-Way and Property Corner,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3225_v20260727,sd_sddot_009E3225,2026-07-27,,Reestablish Public Land Survey System Corner,Reestablish Public Land Survey System Corner,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3228_v20260727,sd_sddot_009E3228,2026-07-27,,Reestablish Survey Control Point,Reestablish Survey Control Point,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3230_v20260727,sd_sddot_009E3230,2026-07-27,,Grade Staking,Grade Staking,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3240_v20260727,sd_sddot_009E3240,2026-07-27,,Graded Centerline Staking,Graded Centerline Staking,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3245_v20260727,sd_sddot_009E3245,2026-07-27,,Final Cross Section Survey,Final Cross Section Survey,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3250_v20260727,sd_sddot_009E3250,2026-07-27,,Miscellaneous Staking,Miscellaneous Staking,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3260_v20260727,sd_sddot_009E3260,2026-07-27,,Miscellaneous Staking,Miscellaneous Staking,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3270_v20260727,sd_sddot_009E3270,2026-07-27,,Pavement Staking,Pavement Staking,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3280_v20260727,sd_sddot_009E3280,2026-07-27,,Slope Staking,Slope Staking,MILE,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3290_v20260727,sd_sddot_009E3290,2026-07-27,,Structure Staking,Structure Staking,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3298_v20260727,sd_sddot_009E3298,2026-07-27,,Contractor Furnished GPS Inspection Equipment,Contractor Furnished GPS Inspection Equipment,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3300_historical,sd_sddot_009E3300,,,Three Man Survey Crew,Three Man Survey Crew,HOUR,009,sd_sddot_bid_tabs_2020_09_16,false
sd_sddot_009E3301_v20260727,sd_sddot_009E3301,2026-07-27,,Engineer Directed Surveying/Staking,Engineer Directed Surveying/Staking,HOUR,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3303_v20260727,sd_sddot_009E3303,2026-07-27,,LiDAR Preconstruction Survey,LiDAR Preconstruction Survey,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3305_v20260727,sd_sddot_009E3305,2026-07-27,,As-Built Survey,As-Built Survey,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3310_v20260727,sd_sddot_009E3310,2026-07-27,,Bridge Elevation Survey,Bridge Elevation Survey,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3320_v20260727,sd_sddot_009E3320,2026-07-27,,Checker,Checker,L S,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3450_v20260727,sd_sddot_009E3450,2026-07-27,,Roadway Weather Information System,Roadway Weather Information System,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3490_v20260727,sd_sddot_009E3490,2026-07-27,,Commercial Vehicle License Plate Reader System,Commercial Vehicle License Plate Reader System,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3492_v20260727,sd_sddot_009E3492,2026-07-27,,Mainline/Ramp Electronic Screening System,Mainline/Ramp Electronic Screening System,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3493_v20260727,sd_sddot_009E3493,2026-07-27,,Tire Anomaly and Classification System,Tire Anomaly and Classification System,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3494_v20260727,sd_sddot_009E3494,2026-07-27,,Automatic Thermal Brake Inspection System,Automatic Thermal Brake Inspection System,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3500_v20260727,sd_sddot_009E3500,2026-07-27,,Weigh-In-Motion System,Weigh-In-Motion System,EACH,009,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_009E3510_v20260727,sd_sddot_009E3510,2026-07-27,,Locate State Owned Utilities,Locate State Owned Utilities,HOUR,009,sd_sddot_item_catalog_2026_07_27,true
