agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
sd_sddot_004E0010,SD,sd_sddot,South Dakota Department of Transportation,004E0010,sd_sddot_004E0010_v20260727,current,
sd_sddot_004E0020,SD,sd_sddot,South Dakota Department of Transportation,004E0020,sd_sddot_004E0020_v20260727,current,
sd_sddot_004E0030,SD,sd_sddot,South Dakota Department of Transportation,004E0030,sd_sddot_004E0030_v20260727,current,
sd_sddot_004E0050,SD,sd_sddot,South Dakota Department of Transportation,004E0050,sd_sddot_004E0050_v20260727,current,
sd_sddot_004E0060,SD,sd_sddot,South Dakota Department of Transportation,004E0060,sd_sddot_004E0060_v20260727,current,
sd_sddot_004E0070,SD,sd_sddot,South Dakota Department of Transportation,004E0070,sd_sddot_004E0070_v20260727,current,
sd_sddot_009E0010,SD,sd_sddot,South Dakota Department of Transportation,009E0010,sd_sddot_009E0010_v20260727,current,
sd_sddot_009E0197,SD,sd_sddot,South Dakota Department of Transportation,009E0197,sd_sddot_009E0197_v20260727,current,
sd_sddot_009E0198,SD,sd_sddot,South Dakota Department of Transportation,009E0198,sd_sddot_009E0198_v20260727,current,
sd_sddot_009E0199,SD,sd_sddot,South Dakota Department of Transportation,009E0199,sd_sddot_009E0199_v20260727,current,
sd_sddot_009E0200,SD,sd_sddot,South Dakota Department of Transportation,009E0200,sd_sddot_009E0200_v20260727,current,
sd_sddot_009E0300,SD,sd_sddot,South Dakota Department of Transportation,009E0300,sd_sddot_009E0300_v20260727,current,
sd_sddot_009E0400,SD,sd_sddot,South Dakota Department of Transportation,009E0400,sd_sddot_009E0400_v20260727,current,
sd_sddot_009E0410,SD,sd_sddot,South Dakota Department of Transportation,009E0410,sd_sddot_009E0410_v20260727,current,
sd_sddot_009E0600,SD,sd_sddot,South Dakota Department of Transportation,009E0600,sd_sddot_009E0600_v20260727,current,
sd_sddot_009E0700,SD,sd_sddot,South Dakota Department of Transportation,009E0700,sd_sddot_009E0700_v20260727,current,
sd_sddot_009E0710,SD,sd_sddot,South Dakota Department of Transportation,009E0710,sd_sddot_009E0710_v20260727,current,
sd_sddot_009E0720,SD,sd_sddot,South Dakota Department of Transportation,009E0720,sd_sddot_009E0720_v20260727,current,
sd_sddot_009E0800,SD,sd_sddot,South Dakota Department of Transportation,009E0800,sd_sddot_009E0800_v20260727,current,
sd_sddot_009E0900,SD,sd_sddot,South Dakota Department of Transportation,009E0900,sd_sddot_009E0900_v20260727,current,
sd_sddot_009E0901,SD,sd_sddot,South Dakota Department of Transportation,009E0901,sd_sddot_009E0901_v20260727,current,
sd_sddot_009E0902,SD,sd_sddot,South Dakota Department of Transportation,009E0902,sd_sddot_009E0902_v20260727,current,
sd_sddot_009E0905,SD,sd_sddot,South Dakota Department of Transportation,009E0905,sd_sddot_009E0905_v20260727,current,
sd_sddot_009E0906,SD,sd_sddot,South Dakota Department of Transportation,009E0906,sd_sddot_009E0906_v20260727,current,
