contract_project_id,contract_id,project_number,project_control_number,project_name,work_type,county_region,route,location,project_award_amount
sd_sddot_20190116_item_001_project_001,sd_sddot_20190116_item_001,NH 0010(00)17,04UQ,Structure Repair,Structure Repair,Brown,,"US12 WB, 3.5 miles west of Groton",
sd_sddot_20190116_item_002_project_001,sd_sddot_20190116_item_002,NH 0012(176)399,03U2,Structure Repair,Structure Repair,"Grant, Hamlin",,"US12 0.6 miles east of SD109 over the Whetstone River Diversion Channel & SD22, 3.2 miles east of US81 over the Big Sioux River",
sd_sddot_20190116_item_002_project_002,sd_sddot_20190116_item_002,P 0022(41)352,03U3,Structure Repair,Structure Repair,"Grant, Hamlin",,"US12 0.6 miles east of SD109 over the Whetstone River Diversion Channel & SD22, 3.2 miles east of US81 over the Big Sioux River",
sd_sddot_20190116_item_003_project_001,sd_sddot_20190116_item_003,NH-EM 0083(74)55,036E,"Grading, Structures, Interim Surfacing","Grading, Structures, Interim Surfacing","Jones, Mellette",,US83 from north of the Mellette/Jones Co. Line to south of Murdo,
sd_sddot_20190116_item_004_project_001,sd_sddot_20190116_item_004,BRO 8042(09),6093,Str (2-12'x7' RCBC) & Appr Grading,Str (2-12'x7' RCBC) & Appr Grading,Lincoln,,Structure 8 miles south & 1.6 miles east of Lennox over Snake Creek,
sd_sddot_20190116_item_005_project_001,sd_sddot_20190116_item_005,NH 014A(14)38,04FX,Structure & Approach Grading,Structure & Approach Grading,Lawrence,,"US14A, in Central City over Deadwood Creek",
sd_sddot_20190116_item_006_project_001,sd_sddot_20190116_item_006,IM-NH-P 0021(151),041F,Culvert Repair,Culvert Repair,"Davison, McCook Project Withdrawn From 1/16/2019 Letting",,Various Locations in the Mitchell Area,
sd_sddot_20190116_item_007_project_001,sd_sddot_20190116_item_007,P 0034(179)9,05EW,"Mill & AC Resurfacing, Pipe Work","Mill & AC Resurfacing, Pipe Work","Butte, Lawrence",,"SD34 from US85 to I90, & I90 ramps at Exit 23",
sd_sddot_20190116_item_007_project_002,sd_sddot_20190116_item_007,IM 0901(197)23,05F2,"Mill & AC Resurfacing, Pipe Work","Mill & AC Resurfacing, Pipe Work","Butte, Lawrence",,"SD34 from US85 to I90, & I90 ramps at Exit 23",
sd_sddot_20190116_item_008_project_001,sd_sddot_20190116_item_008,NH 0016(90)37,068L,Cold Mill AC & AC Resurfacing,Cold Mill AC & AC Resurfacing,Pennington,,"US16 from SD244 to south of the US16B south Jct in Hill City, & US16 between Hill City and Three Forks",
sd_sddot_20190116_item_009_project_001,sd_sddot_20190116_item_009,P 0028(38)341,05EV,"Cold Mill AC, AC Resurf, & Pipe Repair","Cold Mill AC, AC Resurf, & Pipe Repair",Hamlin,,SD28 from US81 east through Estelline,
sd_sddot_20190123_item_001_project_001,sd_sddot_20190123_item_001,IM-FP 2292(06)5,4778,Interchange Improv & High Frict. Treatmt,Interchange Improv & High Frict. Treatmt,Minnehaha,,I229 at Exit 5 (26th St. Intch/Yeager Rd) & the curve at Cliff Ave on I229 in Sioux Falls,
sd_sddot_20190123_item_001_project_002,sd_sddot_20190123_item_001,PH 0229(05)4,0727,Interchange Improv & High Frict. Treatmt,Interchange Improv & High Frict. Treatmt,Minnehaha,,I229 at Exit 5 (26th St. Intch/Yeager Rd) & the curve at Cliff Ave on I229 in Sioux Falls,
sd_sddot_20190123_item_002_project_001,sd_sddot_20190123_item_002,P 1358(05),05JE,Urban Reconstruction w/Structures,Urban Reconstruction w/Structures,Minnehaha,,"26th Street from Cleveland Avenue to 1,050 feet West of Southeastern Avenue in Sioux Falls",
