letting_id,source_id,state,agency_id,letting_date,letting_label
sd_sddot_2019_01_16,sd_sddot_bid_tabs_2019_01_16,SD,sd_sddot,2019-01-16,"January 16, 2019"
sd_sddot_2019_01_23,sd_sddot_bid_tabs_2019_01_23,SD,sd_sddot,2019-01-23,"January 23, 2019"
sd_sddot_2019_02_06,sd_sddot_bid_tabs_2019_02_06,SD,sd_sddot,2019-02-06,"February 6, 2019"
sd_sddot_2019_02_20,sd_sddot_bid_tabs_2019_02_20,SD,sd_sddot,2019-02-20,"February 20,2019"
sd_sddot_2019_03_06,sd_sddot_bid_tabs_2019_03_06,SD,sd_sddot,2019-03-06,"March 6, 2019"
sd_sddot_2019_03_20,sd_sddot_bid_tabs_2019_03_20,SD,sd_sddot,2019-03-20,"March 20, 2019"
sd_sddot_2019_03_27,sd_sddot_bid_tabs_2019_03_27,SD,sd_sddot,2019-03-27,"March 27, 2019"
sd_sddot_2019_04_03,sd_sddot_bid_tabs_2019_04_03,SD,sd_sddot,2019-04-03,"April 3, 2019"
sd_sddot_2019_04_10,sd_sddot_bid_tabs_2019_04_10,SD,sd_sddot,2019-04-10,"April 10, 2019"
sd_sddot_2019_04_17,sd_sddot_bid_tabs_2019_04_17,SD,sd_sddot,2019-04-17,"April 17, 2019"
sd_sddot_2019_05_01,sd_sddot_bid_tabs_2019_05_01,SD,sd_sddot,2019-05-01,"May 1, 2019"
sd_sddot_2019_05_15,sd_sddot_bid_tabs_2019_05_15,SD,sd_sddot,2019-05-15,"May 15, 2019"
sd_sddot_2019_06_05,sd_sddot_bid_tabs_2019_06_05,SD,sd_sddot,2019-06-05,"June 5, 2019"
sd_sddot_2019_06_19,sd_sddot_bid_tabs_2019_06_19,SD,sd_sddot,2019-06-19,"June 19, 2019"
sd_sddot_2019_07_17,sd_sddot_bid_tabs_2019_07_17,SD,sd_sddot,2019-07-17,"July 17, 2019"
sd_sddot_2019_08_21,sd_sddot_bid_tabs_2019_08_21,SD,sd_sddot,2019-08-21,"August 21, 2019"
sd_sddot_2019_09_04,sd_sddot_bid_tabs_2019_09_04,SD,sd_sddot,2019-09-04,"September 4, 2019"
sd_sddot_2019_09_18,sd_sddot_bid_tabs_2019_09_18,SD,sd_sddot,2019-09-18,"September 18, 2019"
sd_sddot_2019_10_02,sd_sddot_bid_tabs_2019_10_02,SD,sd_sddot,2019-10-02,"October 2, 2019"
sd_sddot_2019_10_16,sd_sddot_bid_tabs_2019_10_16,SD,sd_sddot,2019-10-16,"October 16, 2019"
